"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"46";"45715 √ ―";"46";"Участвуете в конкурсе";"1001572";"—"
"2";"1";"—";"20";"49590 ―";"20";"Участвуете в конкурсе";"1628363";"—"
"3";"1";"—";"20";"52818 ―";"20";"Участвуете в конкурсе";"1975015";"—"
"4";"1";"—";"19";"47112 ―";"19";"Участвуете в конкурсе";"1281190";"—"
"5";"1";"—";"18";"46975 ―";"18";"Участвуете в конкурсе";"1238365";"—"
"6";"10";"—";"17";"51160 ―";"17";"Участвуете в конкурсе";"1764095";"—"
"7";"2";"—";"16";"56934 √ ―";"16";"Участвуете в конкурсе";"2184400";"—"
"8";"4";"—";"14";"51185 ―";"14";"Участвуете в конкурсе";"1728454";"—"
"9";"1";"—";"14";"55762 ―";"14";"Участвуете в конкурсе";"2183657";"—"
"10";"5";"—";"13";"46275 √ ―";"13";"Участвуете в конкурсе";"1133737";"—"
"11";"4";"—";"11";"51546 ―";"11";"Участвуете в конкурсе";"1799078";"—"
"12";"4";"—";"11";"54641 ―";"11";"Участвуете в конкурсе";"2099560";"—"
"13";"5";"—";"11";"57450 √ ―";"11";"Участвуете в конкурсе";"2315805";"—"
"14";"3";"—";"10";"45729 √ ―";"10";"Участвуете в конкурсе";"1004808";"—"
"15";"4";"—";"10";"45806 ―";"10";"Участвуете в конкурсе";"1018087";"—"
"16";"3";"—";"10";"46013 ―";"10";"Участвуете в конкурсе";"1083194";"—"
"17";"3";"—";"10";"46024 √ ―";"10";"Участвуете в конкурсе";"1084156";"—"
"18";"6";"—";"10";"46041 √ ―";"10";"Участвуете в конкурсе";"1092074";"—"
"19";"5";"—";"10";"46047 √ ―";"10";"Участвуете в конкурсе";"1092132";"—"
"20";"4";"—";"10";"46332 ―";"10";"Участвуете в конкурсе";"1149422";"—"
"21";"1";"—";"10";"54839 ―";"10";"Участвуете в конкурсе";"1195927";"—"
"22";"2";"—";"10";"48413 √ ―";"10";"Участвуете в конкурсе";"1478122";"—"
"23";"7";"—";"10";"49063 ―";"10";"Участвуете в конкурсе";"1562457";"—"
"24";"2";"—";"10";"51172 ―";"10";"Участвуете в конкурсе";"1606458";"—"
"25";"1";"—";"10";"53397 √ ―";"10";"Участвуете в конкурсе";"1843065";"—"
"26";"1";"—";"10";"52480 ―";"10";"Участвуете в конкурсе";"1909985";"—"
"27";"1";"—";"10";"52243 ―";"10";"Участвуете в конкурсе";"1927078";"—"
"28";"2";"—";"10";"60704 ―";"10";"Участвуете в конкурсе";"1952846";"—"
"29";"1";"—";"10";"53472 ―";"10";"Участвуете в конкурсе";"1975554";"—"
"30";"1";"—";"10";"53784 ―";"10";"Участвуете в конкурсе";"2001458";"—"
"31";"2";"—";"10";"57120 ―";"10";"Участвуете в конкурсе";"2018721";"—"
"32";"1";"—";"10";"54937 ―";"10";"Участвуете в конкурсе";"2137979";"—"
"33";"1";"—";"10";"55133 ―";"10";"Участвуете в конкурсе";"2154878";"—"
"34";"2";"—";"10";"55817 √ ―";"10";"Участвуете в конкурсе";"2180741";"—"
"35";"1";"—";"10";"55747 √ ―";"10";"Участвуете в конкурсе";"2183178";"—"
"36";"5";"—";"10";"55783 ―";"10";"Участвуете в конкурсе";"2184658";"—"
"37";"1";"—";"10";"56829 ―";"10";"Участвуете в конкурсе";"2240277";"—"
"38";"6";"—";"10";"60348 ―";"10";"Участвуете в конкурсе";"2303218";"—"
"39";"1";"—";"10";"57676 ―";"10";"Участвуете в конкурсе";"2334746";"—"
"40";"4";"—";"10";"60993 ―";"10";"Участвуете в конкурсе";"2378204";"—"
"41";"2";"—";"10";"60549 √ ―";"10";"Участвуете в конкурсе";"2424055";"—"
"42";"1";"—";"10";"60731 ―";"10";"Участвуете в конкурсе";"2431995";"—"
"43";"3";"—";"10";"61125 √ ―";"10";"Участвуете в конкурсе";"2472132";"—"
"44";"1";"—";"10";"45700 ―";"10";"Участвуете в конкурсе";"978776";"—"
"45";"1";"—";"10";"60826 √ ―";"10";"Участвуете в конкурсе";"995301";"—"
"46";"2";"—";"10";"45521 ―";"10";"Участвуете в конкурсе";"999547";"—"
"47";"7";"—";"8";"54235 ―";"8";"Участвуете в конкурсе";"2052169";"—"
"48";"6";"—";"7";"50365 ―";"7";"Участвуете в конкурсе";"1684031";"—"
"49";"11";"—";"7";"58428 ―";"7";"Участвуете в конкурсе";"2341579";"—"
"50";"3";"—";"5";"46613 √ ―";"5";"Участвуете в конкурсе";"1214311";"—"
"51";"1";"—";"5";"45678 √ ―";"5";"Участвуете в конкурсе";"984728";"—"
"52";"5";"—";"3";"54288 √ ―";"3";"Участвуете в конкурсе";"1053584";"—"
"53";"4";"—";"3";"49096 ―";"3";"Участвуете в конкурсе";"1566286";"—"
"54";"1";"—";"3";"52699 ―";"3";"Участвуете в конкурсе";"1931193";"—"
"55";"1";"—";"3";"53072 ―";"3";"Участвуете в конкурсе";"1958133";"—"
"56";"1";"—";"3";"53104 ―";"3";"Участвуете в конкурсе";"1958780";"—"
"57";"1";"—";"1";"45822 √ ―";"1";"Участвуете в конкурсе";"1020388";"—"
"58";"5";"—";"1";"52064 ―";"1";"Участвуете в конкурсе";"1792692";"—"
"59";"1";"—";"1";"51885 ―";"1";"Участвуете в конкурсе";"1851579";"—"
"60";"4";"—";"1";"56924 ―";"1";"Участвуете в конкурсе";"2141293";"—"
"61";"11";"—";"1";"55765 √ ―";"1";"Участвуете в конкурсе";"2170172";"—"
"62";"2";"—";"1";"55703 ―";"1";"Участвуете в конкурсе";"2181261";"—"
"63";"1";"—";"1";"57246 ―";"1";"Участвуете в конкурсе";"2271565";"—"
"64";"1";"—";"1";"57742 ―";"1";"Участвуете в конкурсе";"2336223";"—"
"65";"1";"—";"—";"45789 ―";"—";"Участвуете в конкурсе";"1034302";"—"
"66";"5";"—";"—";"51179 ―";"—";"Участвуете в конкурсе";"1041316";"—"
"67";"3";"—";"—";"46186 √ ―";"—";"Участвуете в конкурсе";"1047460";"—"
"68";"4";"—";"—";"46030 ―";"—";"Участвуете в конкурсе";"1086654";"—"
"69";"3";"—";"—";"46003 √ ―";"—";"Участвуете в конкурсе";"1086808";"—"
"70";"3";"—";"—";"46016 √ ―";"—";"Участвуете в конкурсе";"1088045";"—"
"71";"3";"—";"—";"58738 ―";"—";"Участвуете в конкурсе";"1088582";"—"
"72";"2";"—";"—";"46072 √ ―";"—";"Участвуете в конкурсе";"1095940";"—"
"73";"3";"—";"—";"46083 √ ―";"—";"Участвуете в конкурсе";"1098244";"—"
"74";"3";"—";"—";"46121 ―";"—";"Участвуете в конкурсе";"1104927";"—"
"75";"3";"—";"—";"46122 √ ―";"—";"Участвуете в конкурсе";"1107265";"—"
"76";"6";"—";"—";"46277 √ ―";"—";"Участвуете в конкурсе";"1134005";"—"
"77";"1";"—";"—";"46264 √ ―";"—";"Участвуете в конкурсе";"1134009";"—"
"78";"1";"—";"—";"46314 √ ―";"—";"Участвуете в конкурсе";"1142936";"—"
"79";"2";"—";"—";"46330 √ ―";"—";"Участвуете в конкурсе";"1146194";"—"
"80";"6";"—";"—";"47918 ―";"—";"Участвуете в конкурсе";"1155872";"—"
"81";"1";"—";"—";"46396 ―";"—";"Участвуете в конкурсе";"1157058";"—"
"82";"3";"—";"—";"60832 ―";"—";"Участвуете в конкурсе";"1169362";"—"
"83";"3";"—";"—";"47431 ―";"—";"Участвуете в конкурсе";"1171135";"—"
"84";"2";"—";"—";"56967 √ ―";"—";"Участвуете в конкурсе";"1187296";"—"
"85";"3";"—";"—";"46980 ―";"—";"Участвуете в конкурсе";"1239878";"—"
"86";"1";"—";"—";"61181 √ ―";"—";"Участвуете в конкурсе";"1248993";"—"
"87";"1";"—";"—";"60488 ―";"—";"Участвуете в конкурсе";"1269584";"—"
"88";"3";"—";"—";"47084 ―";"—";"Участвуете в конкурсе";"1279680";"—"
"89";"2";"—";"—";"47370 ―";"—";"Участвуете в конкурсе";"1319901";"—"
"90";"1";"—";"—";"47502 ―";"—";"Участвуете в конкурсе";"1327951";"—"
"91";"4";"—";"—";"47511 ―";"—";"Участвуете в конкурсе";"1338073";"—"
"92";"3";"—";"—";"48193 ―";"—";"Участвуете в конкурсе";"1343520";"—"
"93";"2";"—";"—";"61188 ―";"—";"Участвуете в конкурсе";"1390383";"—"
"94";"6";"—";"—";"47832 ―";"—";"Участвуете в конкурсе";"1396555";"—"
"95";"4";"—";"—";"60748 ―";"—";"Участвуете в конкурсе";"1410548";"—"
"96";"1";"—";"—";"48036 ―";"—";"Участвуете в конкурсе";"1415659";"—"
"97";"5";"—";"—";"48168 ―";"—";"Участвуете в конкурсе";"1430919";"—"
"98";"2";"—";"—";"48538 ―";"—";"Участвуете в конкурсе";"1483793";"—"
"99";"1";"—";"—";"48919 √ ―";"—";"Участвуете в конкурсе";"1528891";"—"
"100";"2";"—";"—";"55813 ―";"—";"Участвуете в конкурсе";"1530138";"—"
"101";"2";"—";"—";"59299 ―";"—";"Участвуете в конкурсе";"1546213";"—"
"102";"4";"—";"—";"60777 ―";"—";"Участвуете в конкурсе";"1558607";"—"
"103";"4";"—";"—";"49058 ―";"—";"Участвуете в конкурсе";"1558657";"—"
"104";"2";"—";"—";"55249 ―";"—";"Участвуете в конкурсе";"1563059";"—"
"105";"2";"—";"—";"60533 ―";"—";"Участвуете в конкурсе";"1569712";"—"
"106";"1";"—";"—";"49173 ―";"—";"Участвуете в конкурсе";"1594504";"—"
"107";"2";"—";"—";"49184 ―";"—";"Участвуете в конкурсе";"1599442";"—"
"108";"3";"—";"—";"49306 ―";"—";"Участвуете в конкурсе";"1611735";"—"
"109";"3";"—";"—";"49507 ―";"—";"Участвуете в конкурсе";"1616758";"—"
"110";"1";"—";"—";"56268 ―";"—";"Участвуете в конкурсе";"1617790";"—"
"111";"1";"—";"—";"49579 √ ―";"—";"Участвуете в конкурсе";"1626822";"—"
"112";"1";"—";"—";"49656 √ ―";"—";"Участвуете в конкурсе";"1636664";"—"
"113";"2";"—";"—";"50478 ―";"—";"Участвуете в конкурсе";"1647395";"—"
"114";"3";"—";"—";"50811 ―";"—";"Участвуете в конкурсе";"1687349";"—"
"115";"2";"—";"—";"60472 ―";"—";"Участвуете в конкурсе";"1689375";"—"
"116";"2";"—";"—";"50495 ―";"—";"Участвуете в конкурсе";"1697730";"—"
"117";"1";"—";"—";"50985 ―";"—";"Участвуете в конкурсе";"1716854";"—"
"118";"7";"—";"—";"60444 ―";"—";"Участвуете в конкурсе";"1727324";"—"
"119";"4";"—";"—";"51217 ―";"—";"Участвуете в конкурсе";"1731350";"—"
"120";"3";"—";"—";"51095 ―";"—";"Участвуете в конкурсе";"1731764";"—"
"121";"4";"—";"—";"51289 ―";"—";"Участвуете в конкурсе";"1778473";"—"
"122";"1";"—";"—";"53568 √ ―";"—";"Участвуете в конкурсе";"1782152";"—"
"123";"1";"—";"—";"58684 ―";"—";"Участвуете в конкурсе";"1784046";"—"
"124";"3";"—";"—";"51517 ―";"—";"Участвуете в конкурсе";"1796518";"—"
"125";"1";"—";"—";"59313 ―";"—";"Участвуете в конкурсе";"1835140";"—"
"126";"5";"—";"—";"52107 ―";"—";"Участвуете в конкурсе";"1836336";"—"
"127";"2";"—";"—";"52198 ―";"—";"Участвуете в конкурсе";"1896092";"—"
