"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"Электронное";"51";"45878 √ ―";"51";"Участвуете в конкурсе";"1053568";"—"
"2";"1";"Электронное";"46";"45715 √ ―";"46";"Участвуете в конкурсе";"1001572";"—"
"3";"1";"Электронное";"36";"50276 ―";"36";"Участвуете в конкурсе";"1675921";"—"
"4";"3";"Электронное";"31";"45885 ―";"31";"Участвуете в конкурсе";"1059210";"—"
"5";"4";"—";"26";"51347 ―";"26";"Участвуете в конкурсе";"1790479";"—"
"6";"4";"—";"24";"47445 √ ―";"24";"Участвуете в конкурсе";"1360234";"—"
"7";"3";"—";"23";"53300 ―";"23";"Участвуете в конкурсе";"1089793";"—"
"8";"3";"—";"21";"52197 √ ―";"21";"Участвуете в конкурсе";"1475998";"—"
"9";"1";"—";"21";"56449 ―";"21";"Участвуете в конкурсе";"2219088";"—"
"10";"9";"—";"21";"56845 ―";"21";"Участвуете в конкурсе";"2240953";"—"
"11";"1";"Электронное";"20";"46068 √ ―";"20";"Участвуете в конкурсе";"1094963";"—"
"12";"2";"—";"20";"49590 ―";"20";"Участвуете в конкурсе";"1628363";"—"
"13";"2";"Электронное";"19";"47112 ―";"19";"Участвуете в конкурсе";"1281190";"—"
"14";"3";"—";"18";"46010 √ ―";"18";"Участвуете в конкурсе";"1088042";"—"
"15";"4";"—";"18";"54834 ―";"18";"Участвуете в конкурсе";"2128528";"—"
"16";"1";"Электронное";"17";"46310 √ ―";"17";"Участвуете в конкурсе";"1141992";"—"
"17";"11";"Электронное";"17";"51160 ―";"17";"Участвуете в конкурсе";"1764095";"—"
"18";"4";"—";"16";"45802 √ ―";"16";"Участвуете в конкурсе";"1017800";"—"
"19";"4";"—";"16";"46309 √ ―";"16";"Участвуете в конкурсе";"1141789";"—"
"20";"4";"Электронное";"15";"45880 √ ―";"15";"Участвуете в конкурсе";"1030020";"—"
"21";"5";"—";"14";"45917 √ ―";"14";"Участвуете в конкурсе";"1063493";"—"
"22";"3";"—";"14";"51185 ―";"14";"Участвуете в конкурсе";"1728454";"—"
"23";"1";"—";"14";"59314 ―";"14";"Участвуете в конкурсе";"1835757";"—"
"24";"2";"—";"14";"55762 ―";"14";"Участвуете в конкурсе";"2183657";"—"
"25";"6";"Электронное";"13";"46057 √ ―";"13";"Участвуете в конкурсе";"1092867";"—"
"26";"3";"—";"13";"46275 √ ―";"13";"Участвуете в конкурсе";"1133737";"—"
"27";"6";"—";"13";"51380 ―";"13";"Участвуете в конкурсе";"1793199";"—"
"28";"2";"—";"11";"45810 √ ―";"11";"Участвуете в конкурсе";"1018773";"—"
"29";"4";"Электронное";"11";"46013 ―";"11";"Участвуете в конкурсе";"1083194";"—"
"30";"3";"—";"11";"49922 ―";"11";"Участвуете в конкурсе";"1644690";"—"
"31";"4";"—";"11";"51279 ―";"11";"Участвуете в конкурсе";"1777968";"—"
"32";"1";"—";"11";"51546 ―";"11";"Участвуете в конкурсе";"1799078";"—"
"33";"2";"—";"11";"54563 ―";"11";"Участвуете в конкурсе";"2092529";"—"
"34";"1";"—";"11";"56993 ―";"11";"Участвуете в конкурсе";"2236112";"—"
"35";"6";"—";"11";"57450 √ ―";"11";"Участвуете в конкурсе";"2315805";"—"
"36";"7";"—";"10";"45720 √ ―";"10";"Участвуете в конкурсе";"1002753";"—"
"37";"1";"Электронное";"10";"45729 √ ―";"10";"Участвуете в конкурсе";"1004808";"—"
"38";"4";"—";"10";"45806 ―";"10";"Участвуете в конкурсе";"1018087";"—"
