"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"46";"45715 √ ―";"46";"Участвуете в конкурсе";"1001572";"—"
"2";"2";"—";"20";"49590 ―";"20";"Участвуете в конкурсе";"1628363";"—"
"3";"2";"—";"19";"47112 ―";"19";"Участвуете в конкурсе";"1281190";"—"
"4";"4";"—";"18";"54834 ―";"18";"Участвуете в конкурсе";"2128528";"—"
"5";"11";"—";"17";"51160 ―";"17";"Участвуете в конкурсе";"1764095";"—"
"6";"3";"—";"14";"51185 ―";"14";"Участвуете в конкурсе";"1728454";"—"
"7";"3";"—";"14";"55762 ―";"14";"Участвуете в конкурсе";"2183657";"—"
"8";"4";"—";"13";"46275 √ ―";"13";"Участвуете в конкурсе";"1133737";"—"
"9";"1";"—";"11";"51546 ―";"11";"Участвуете в конкурсе";"1799078";"—"
"10";"1";"—";"11";"56993 ―";"11";"Участвуете в конкурсе";"2236112";"—"
"11";"7";"—";"11";"57450 √ ―";"11";"Участвуете в конкурсе";"2315805";"—"
"12";"1";"—";"10";"45729 √ ―";"10";"Участвуете в конкурсе";"1004808";"—"
"13";"6";"—";"10";"45806 ―";"10";"Участвуете в конкурсе";"1018087";"—"
"14";"4";"—";"10";"46013 ―";"10";"Участвуете в конкурсе";"1083194";"—"
"15";"3";"—";"10";"46041 √ ―";"10";"Участвуете в конкурсе";"1092074";"—"
"16";"4";"—";"10";"46047 √ ―";"10";"Участвуете в конкурсе";"1092132";"—"
"17";"3";"—";"10";"46332 ―";"10";"Участвуете в конкурсе";"1149422";"—"
"18";"4";"—";"10";"53397 √ ―";"10";"Участвуете в конкурсе";"1843065";"—"
"19";"1";"—";"10";"52493 ―";"10";"Участвуете в конкурсе";"1913147";"—"
"20";"2";"—";"10";"52243 ―";"10";"Участвуете в конкурсе";"1927078";"—"
"21";"1";"—";"10";"60704 ―";"10";"Участвуете в конкурсе";"1952846";"—"
"22";"1";"—";"10";"60712 ―";"10";"Участвуете в конкурсе";"1995461";"—"
"23";"2";"—";"10";"53784 ―";"10";"Участвуете в конкурсе";"2001458";"—"
"24";"4";"—";"10";"57120 ―";"10";"Участвуете в конкурсе";"2018721";"—"
"25";"1";"—";"10";"53977 ―";"10";"Участвуете в конкурсе";"2042962";"—"
"26";"4";"—";"10";"55817 √ ―";"10";"Участвуете в конкурсе";"2180741";"—"
"27";"2";"—";"10";"60754 ―";"10";"Участвуете в конкурсе";"2182351";"—"
"28";"2";"—";"10";"55747 √ ―";"10";"Участвуете в конкурсе";"2183178";"—"
"29";"5";"—";"10";"57676 ―";"10";"Участвуете в конкурсе";"2334746";"—"
"30";"1";"—";"10";"58766 √ ―";"10";"Участвуете в конкурсе";"2367371";"—"
"31";"4";"—";"10";"60731 ―";"10";"Участвуете в конкурсе";"2431995";"—"
"32";"1";"—";"10";"60927 ―";"10";"Участвуете в конкурсе";"2459077";"—"
"33";"1";"—";"10";"60940 ―";"10";"Участвуете в конкурсе";"2459705";"—"
"34";"5";"—";"10";"61125 √ ―";"10";"Участвуете в конкурсе";"2472132";"—"
"35";"1";"—";"10";"45444 √ ―";"10";"Участвуете в конкурсе";"962097";"—"
"36";"4";"—";"10";"45700 ―";"10";"Участвуете в конкурсе";"978776";"—"
"37";"7";"—";"7";"50365 ―";"7";"Участвуете в конкурсе";"1684031";"—"
"38";"9";"—";"7";"58428 ―";"7";"Участвуете в конкурсе";"2341579";"—"
"39";"5";"—";"5";"46613 √ ―";"5";"Участвуете в конкурсе";"1214311";"—"
"40";"3";"—";"5";"45678 √ ―";"5";"Участвуете в конкурсе";"984728";"—"
"41";"3";"—";"3";"54288 √ ―";"3";"Участвуете в конкурсе";"1053584";"—"
"42";"2";"—";"3";"49096 ―";"3";"Участвуете в конкурсе";"1566286";"—"
"43";"4";"—";"3";"52699 ―";"3";"Участвуете в конкурсе";"1931193";"—"
"44";"2";"—";"1";"45822 √ ―";"1";"Участвуете в конкурсе";"1020388";"—"
"45";"1";"—";"1";"55159 ―";"1";"Участвуете в конкурсе";"1584839";"—"
"46";"1";"—";"1";"52064 ―";"1";"Участвуете в конкурсе";"1792692";"—"
"47";"2";"—";"1";"54740 ―";"1";"Участвуете в конкурсе";"2119454";"—"
"48";"3";"—";"1";"56924 ―";"1";"Участвуете в конкурсе";"2141293";"—"
"49";"10";"—";"1";"55765 √ ―";"1";"Участвуете в конкурсе";"2170172";"—"
"50";"2";"—";"1";"57742 ―";"1";"Участвуете в конкурсе";"2336223";"—"
"51";"1";"—";"—";"60685 ―";"—";"Участвуете в конкурсе";"1016658";"—"
"52";"6";"—";"—";"51179 ―";"—";"Участвуете в конкурсе";"1041316";"—"
"53";"5";"—";"—";"45886 √ ―";"—";"Участвуете в конкурсе";"1056127";"—"
"54";"5";"—";"—";"45938 √ ―";"—";"Участвуете в конкурсе";"1076901";"—"
"55";"4";"—";"—";"46016 √ ―";"—";"Участвуете в конкурсе";"1088045";"—"
"56";"8";"—";"—";"46052 √ ―";"—";"Участвуете в конкурсе";"1092635";"—"
"57";"6";"—";"—";"46122 √ ―";"—";"Участвуете в конкурсе";"1107265";"—"
"58";"4";"—";"—";"29080 √ ―";"—";"Участвуете в конкурсе";"1116561";"—"
"59";"7";"—";"—";"46277 √ ―";"—";"Участвуете в конкурсе";"1134005";"—"
