"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"—";"52759 Без вступительных испытаний Да Победитель олимпиады школьников";"1";"Участвуете в конкурсе";"1949897";"—"
"2";"1";"—";"10";"57849 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2342043";"—"
"3";"3";"Электронное";"310";"49448 100 100 100 1";"10";"Участвуете в конкурсе";"1580037";"—"
"4";"3";"—";"306";"51957 98 98 100 1";"10";"Участвуете в конкурсе";"1851493";"—"
"5";"1";"Электронное";"305";"47845 100 100 95 1";"10";"Участвуете в конкурсе";"1361486";"—"
"6";"5";"—";"304";"52753 100 100 94 2";"10";"Участвуете в конкурсе";"1624627";"—"
"7";"2";"—";"304";"50958 100 97 97 1";"10";"Участвуете в конкурсе";"1721519";"—"
"8";"5";"—";"304";"53069 100 97 97 1";"10";"Участвуете в конкурсе";"1964621";"—"
"9";"5";"—";"304";"52859 96 100 98 1";"10";"Участвуете в конкурсе";"1144811";"—"
"10";"5";"—";"302";"49646 98 100 94 1";"10";"Участвуете в конкурсе";"1205102";"—"
"11";"5";"—";"301";"51918 98 96 97 2";"10";"Участвуете в конкурсе";"1793645";"—"
"12";"1";"Электронное";"300";"51816 100 100 90 1";"10";"Участвуете в конкурсе";"1831818";"—"
"13";"8";"—";"300";"54334 98 98 94 2";"10";"Участвуете в конкурсе";"2072544";"—"
"14";"4";"—";"299";"52333 98 97 94 3";"10";"Участвуете в конкурсе";"1477202";"—"
"15";"5";"—";"299";"51178 95 97 97 2";"10";"Участвуете в конкурсе";"1772073";"—"
"16";"2";"—";"298";"49854 100 97 91 2";"10";"Участвуете в конкурсе";"1281973";"—"
"17";"1";"Электронное";"298";"48539 92 100 96 1";"10";"Участвуете в конкурсе";"1481037";"—"
"18";"5";"Электронное";"297";"50846 95 100 100 1";"2";"Участвуете в конкурсе";"1727756";"—"
"19";"3";"Электронное";"297";"48105 98 92 97 4";"10";"Участвуете в конкурсе";"1418549";"—"
"20";"2";"—";"296";"49962 98 99 97 1";"2";"Участвуете в конкурсе";"1567682";"—"
"21";"1";"—";"296";"53268 100 97 89 3";"10";"Участвуете в конкурсе";"1258073";"—"
"22";"5";"Электронное";"295";"54434 100 100 85 2";"10";"Участвуете в конкурсе";"2086031";"—"
"23";"6";"Электронное";"295";"50342 100 94 91 3";"10";"Участвуете в конкурсе";"1687864";"—"
"24";"5";"Электронное";"295";"32371 98 100 87 1";"10";"Участвуете в конкурсе";"939677";"—"
"25";"11";"Электронное";"294";"49544 96 100 98 1";"—";"Участвуете в конкурсе";"1587217";"—"
"26";"5";"Электронное";"294";"55425 96 100 94 1";"4";"Участвуете в конкурсе";"1915669";"—"
"27";"4";"—";"294";"54129 100 95 89 2";"10";"Участвуете в конкурсе";"1945388";"—"
"28";"2";"Электронное";"294";"52779 98 100 86 1";"10";"Участвуете в конкурсе";"1947485";"—"
"29";"4";"—";"294";"56327 94 90 100";"10";"Участвуете в конкурсе";"2045731";"—"
"30";"6";"—";"294";"59131 93 100 91 5";"10";"Участвуете в конкурсе";"1714180";"—"
