"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"310";"49448 100 100 100 Нет";"10";"Участвуете в конкурсе";"1580037";"—"
"2";"1";"—";"300";"51816 100 100 90 Нет";"10";"Участвуете в конкурсе";"1831818";"—"
"3";"7";"—";"295";"54434 100 100 85 Нет";"10";"Участвуете в конкурсе";"2086031";"—"
"4";"3";"—";"294";"52779 98 100 86 Нет";"10";"Участвуете в конкурсе";"1947485";"—"
"5";"4";"—";"293";"51915 92 97 94 Нет";"10";"Участвуете в конкурсе";"1840083";"—"
"6";"4";"—";"290";"50988 96 100 94 Нет";"—";"Участвуете в конкурсе";"1742383";"—"
"7";"5";"—";"290";"52473 93 96 91 Нет";"10";"Участвуете в конкурсе";"1798245";"—"
"8";"7";"—";"290";"45540 98 100 92 Нет";"—";"Участвуете в конкурсе";"975836";"—"
"9";"2";"—";"289";"46697 100 90 89 Нет";"10";"Участвуете в конкурсе";"1169120";"—"
"10";"6";"—";"289";"47526 98 100 91 Нет";"—";"Участвуете в конкурсе";"1334557";"—"
"11";"6";"—";"289";"52773 92 90 97 Нет";"10";"Участвуете в конкурсе";"1832303";"—"
"12";"6";"—";"288";"48650 98 97 83 Нет";"10";"Участвуете в конкурсе";"1496139";"—"
"13";"3";"—";"287";"53020 83 100 94 Нет";"10";"Участвуете в конкурсе";"1307030";"—"
"14";"4";"—";"287";"53795 100 100 87 Нет";"—";"Участвуете в конкурсе";"1785368";"—"
"15";"2";"—";"287";"45219 100 90 97 Нет";"—";"Участвуете в конкурсе";"831660";"—"
"16";"1";"—";"287";"46029 94 90 93 Нет";"10";"Участвуете в конкурсе";"964483";"—"
"17";"6";"—";"286";"50704 98 100 88 Нет";"—";"Участвуете в конкурсе";"1728115";"—"
"18";"4";"—";"286";"52605 96 100 90 Нет";"—";"Участвуете в конкурсе";"1924409";"—"
"19";"3";"—";"284";"46320 82 100 100 Нет";"2";"Участвуете в конкурсе";"1146076";"—"
"20";"4";"—";"284";"46794 93 90 94 Нет";"7";"Участвуете в конкурсе";"1201232";"—"
"21";"4";"—";"284";"51775 96 95 83 Нет";"10";"Участвуете в конкурсе";"1755808";"—"
"22";"5";"—";"284";"56196 88 97 89 Нет";"10";"Участвуете в конкурсе";"2227210";"—"
"23";"1";"—";"283";"53494 90 100 93 Нет";"—";"Участвуете в конкурсе";"1794088";"—"
"24";"1";"—";"282";"50399 96 90 94 Нет";"2";"Участвуете в конкурсе";"1025664";"—"
"25";"3";"—";"282";"46845 96 90 86 Нет";"10";"Участвуете в конкурсе";"1204107";"—"
"26";"3";"—";"281";"49536 100 80 91 Нет";"10";"Участвуете в конкурсе";"1616124";"—"
"27";"1";"—";"281";"57086 92 100 89 Нет";"—";"Участвуете в конкурсе";"2268213";"—"
"28";"3";"—";"280";"50354 90 94 86 Нет";"10";"Участвуете в конкурсе";"1611221";"—"
"29";"3";"—";"280";"50066 90 86 100 Нет";"4";"Участвуете в конкурсе";"1637011";"—"
"30";"4";"—";"280";"54723 93 88 89 Нет";"10";"Участвуете в конкурсе";"2117392";"—"
"31";"5";"—";"279";"50099 78 100 91 Нет";"10";"Участвуете в конкурсе";"1198667";"—"
"32";"5";"—";"279";"60265 90 88 91 Нет";"10";"Участвуете в конкурсе";"2135144";"—"
"33";"1";"—";"278";"54018 86 100 92 Нет";"—";"Участвуете в конкурсе";"1443290";"—"
"34";"6";"—";"277";"53452 82 100 85 Нет";"10";"Участвуете в конкурсе";"2001868";"—"
"35";"3";"—";"277";"54395 86 90 91 Нет";"10";"Участвуете в конкурсе";"2033142";"—"
"36";"2";"—";"276";"49329 76 90 100 Нет";"10";"Участвуете в конкурсе";"1561228";"—"
"37";"4";"—";"276";"52794 96 100 70 Нет";"10";"Участвуете в конкурсе";"1947581";"—"
"38";"3";"—";"276";"45364 100 90 83 Нет";"3";"Участвуете в конкурсе";"990237";"—"
"39";"1";"—";"275";"51987 88 88 89 Нет";"10";"Участвуете в конкурсе";"1499128";"—"
"40";"3";"—";"275";"49926 86 88 91 Нет";"10";"Участвуете в конкурсе";"1513396";"—"
"41";"3";"—";"275";"49372 95 76 94 Нет";"10";"Участвуете в конкурсе";"1575747";"—"
"42";"3";"—";"275";"53696 94 100 81 Нет";"—";"Участвуете в конкурсе";"1999185";"—"
"43";"4";"—";"274";"53273 98 98 78 Нет";"—";"Участвуете в конкурсе";"1361470";"—"
"44";"5";"—";"274";"49363 78 92 94 Нет";"10";"Участвуете в конкурсе";"1575734";"—"
"45";"6";"—";"274";"51025 83 90 94 Нет";"7";"Участвуете в конкурсе";"1729657";"—"
"46";"4";"—";"273";"52976 98 80 95 Нет";"—";"Участвуете в конкурсе";"1958039";"—"
"47";"2";"—";"272";"47326 85 88 89 Нет";"10";"Участвуете в конкурсе";"1263063";"—"
"48";"6";"—";"272";"53225 98 86 78 Нет";"10";"Участвуете в конкурсе";"1827370";"—"
"49";"2";"—";"272";"51888 93 88 81 Нет";"10";"Участвуете в конкурсе";"1849555";"—"
"50";"3";"—";"271";"46127 96 100 75 Нет";"—";"Участвуете в конкурсе";"1105986";"—"
"51";"1";"—";"271";"48110 83 84 94 Нет";"10";"Участвуете в конкурсе";"1428140";"—"
