"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"7";"Электронное";"247";"55502 67 84 86 7";"10";"Участвуете в конкурсе";"2177210";"—"
"2";"1";"Электронное";"246";"58107 80 95 69 279819";"2";"Участвуете в конкурсе";"2305995";"—"
"3";"1";"—";"244";"48921 83 78 83 √";"—";"Участвуете в конкурсе";"1338269";"—"
"4";"1";"—";"229";"46560 74 86 67 279819";"2";"Участвуете в конкурсе";"1179907";"—"
"5";"2";"—";"228";"49014 78 82 66 279819";"2";"Участвуете в конкурсе";"1518452";"—"
"6";"1";"—";"225";"60144 68 72 75 √";"10";"Участвуете в конкурсе";"2415948";"—"
"7";"2";"Электронное";"223";"56220 65 76 72 7";"10";"Участвуете в конкурсе";"2218226";"—"
"8";"2";"Электронное";"215";"51362 75 72 66 279819";"2";"Участвуете в конкурсе";"1791627";"—"
"9";"2";"—";"214";"47134 72 70 72 279819";"—";"Участвуете в конкурсе";"1236478";"—"
"10";"3";"—";"205";"47997 67 72 66 279819";"—";"Участвуете в конкурсе";"1407446";"—"
"11";"1";"—";"203";"58410 67 78 54 279819";"4";"Участвуете в конкурсе";"2365923";"—"
"12";"5";"Электронное";"202";"50636 82 80 40 √";"—";"Участвуете в конкурсе";"1688816";"—"
"13";"1";"Электронное";"200";"55316 54 76 70 279819";"—";"Участвуете в конкурсе";"2178237";"—"
"14";"6";"Электронное";"200";"54396 59 86 52 279819";"3";"Участвуете в конкурсе";"2100777";"—"
"15";"1";"—";"183";"51870 51 74 58 279819";"—";"Участвуете в конкурсе";"1619483";"—"
"16";"1";"—";"182";"50009 62 70 46 √";"4";"Участвуете в конкурсе";"1248551";"—"
"17";"1";"Электронное";"177";"45325 62 70 43 279819";"2";"Участвуете в конкурсе";"953891";"—"
"18";"5";"—";"169";"56462 51 64 54 √";"—";"Участвуете в конкурсе";"2143404";"—"
"19";"1";"Электронное";"160";"58485 59 58 43 279819";"—";"Участвуете в конкурсе";"1620667";"—"
"20";"1";"Электронное";"144";"47278 40 46 58 279819";"—";"Участвуете в конкурсе";"1260608";"—"
"21";"1";"—";"136";"48763 48 46 42 √";"—";"Участвуете в конкурсе";"1521076";"—"
