"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"8";"—";"14";"58428 ―";"14";"Участвуете в конкурсе";"2341579";"—"
"2";"3";"—";"10";"45806 ―";"10";"Участвуете в конкурсе";"1018087";"—"
"3";"7";"—";"10";"46047 √ ―";"10";"Участвуете в конкурсе";"1092132";"—"
"4";"2";"—";"10";"49133 ―";"10";"Участвуете в конкурсе";"1585831";"—"
"5";"2";"—";"10";"50189 ―";"10";"Участвуете в конкурсе";"1656274";"—"
"6";"2";"—";"10";"54968 √ ―";"10";"Участвуете в конкурсе";"2141960";"—"
"7";"4";"—";"10";"60348 ―";"10";"Участвуете в конкурсе";"2303218";"—"
"8";"1";"—";"9";"54235 ―";"9";"Участвуете в конкурсе";"2052169";"—"
"9";"2";"—";"3";"48920 ―";"3";"Участвуете в конкурсе";"1542554";"—"
"10";"2";"—";"3";"52094 ―";"3";"Участвуете в конкурсе";"1836948";"—"
"11";"2";"—";"3";"53937 ―";"3";"Участвуете в конкурсе";"2034562";"—"
"12";"2";"—";"2";"45732 √ ―";"2";"Участвуете в конкурсе";"1028052";"—"
"13";"2";"—";"—";"46982 √ ―";"—";"Участвуете в конкурсе";"1038695";"—"
"14";"2";"—";"—";"46301 ―";"—";"Участвуете в конкурсе";"1038872";"—"
"15";"2";"—";"—";"46334 √ ―";"—";"Участвуете в конкурсе";"1149438";"—"
"16";"2";"—";"—";"47068 √ ―";"—";"Участвуете в конкурсе";"1274209";"—"
"17";"2";"—";"—";"48149 ―";"—";"Участвуете в конкурсе";"1364797";"—"
"18";"5";"—";"—";"48668 ―";"—";"Участвуете в конкурсе";"1498925";"—"
"19";"2";"—";"—";"59238 ―";"—";"Участвуете в конкурсе";"1499166";"—"
"20";"5";"—";"—";"60777 ―";"—";"Участвуете в конкурсе";"1558607";"—"
"21";"2";"—";"—";"49110 ―";"—";"Участвуете в конкурсе";"1576302";"—"
"22";"2";"—";"—";"49585 ―";"—";"Участвуете в конкурсе";"1628308";"—"
"23";"2";"—";"—";"60427 ―";"—";"Участвуете в конкурсе";"1655098";"—"
"24";"2";"—";"—";"51193 ―";"—";"Участвуете в конкурсе";"1730158";"—"
"25";"6";"—";"—";"51765 ―";"—";"Участвуете в конкурсе";"1826961";"—"
"26";"2";"—";"—";"52447 ―";"—";"Участвуете в конкурсе";"1909955";"—"
"27";"4";"—";"—";"52703 ―";"—";"Участвуете в конкурсе";"1932241";"—"
"28";"2";"—";"—";"53934 ―";"—";"Участвуете в конкурсе";"2033176";"—"
"29";"2";"—";"—";"54199 ―";"—";"Участвуете в конкурсе";"2047542";"—"
"30";"3";"—";"—";"60738 ―";"—";"Участвуете в конкурсе";"2065442";"—"
"31";"2";"—";"—";"54300 ―";"—";"Участвуете в конкурсе";"2073344";"—"
"32";"2";"—";"—";"54305 ―";"—";"Участвуете в конкурсе";"2074917";"—"
"33";"1";"—";"—";"54478 ―";"—";"Участвуете в конкурсе";"2082943";"—"
"34";"2";"—";"—";"54492 ―";"—";"Участвуете в конкурсе";"2083597";"—"
"35";"3";"—";"—";"54521 ―";"—";"Участвуете в конкурсе";"2088998";"—"
"36";"2";"—";"—";"54609 √ ―";"—";"Участвуете в конкурсе";"2096579";"—"
"37";"5";"—";"—";"60496 ―";"—";"Участвуете в конкурсе";"2141174";"—"
"38";"11";"—";"—";"54993 ―";"—";"Участвуете в конкурсе";"2143180";"—"
"39";"3";"—";"—";"55089 √ ―";"—";"Участвуете в конкурсе";"2146705";"—"
"40";"5";"—";"—";"55127 ―";"—";"Участвуете в конкурсе";"2155119";"—"
"41";"2";"—";"—";"55791 ―";"—";"Участвуете в конкурсе";"2175186";"—"
"42";"3";"—";"—";"57548 ―";"—";"Участвуете в конкурсе";"2179874";"—"
"43";"8";"—";"—";"59341 √ ―";"—";"Участвуете в конкурсе";"2181583";"—"
"44";"2";"—";"—";"60528 ―";"—";"Участвуете в конкурсе";"2203998";"—"
"45";"8";"—";"—";"59344 ―";"—";"Участвуете в конкурсе";"2216290";"—"
"46";"9";"—";"—";"56952 ―";"—";"Участвуете в конкурсе";"2228255";"—"
"47";"4";"—";"—";"59375 ―";"—";"Участвуете в конкурсе";"2293084";"—"
"48";"2";"—";"—";"57664 ―";"—";"Участвуете в конкурсе";"2312995";"—"
"49";"2";"—";"—";"58423 ―";"—";"Участвуете в конкурсе";"2341501";"—"
"50";"2";"—";"—";"58663 ―";"—";"Участвуете в конкурсе";"2365151";"—"
"51";"1";"—";"—";"30995 ―";"—";"Участвуете в конкурсе";"2383915";"—"
"52";"7";"—";"—";"61093 ―";"—";"Участвуете в конкурсе";"2407073";"—"
"53";"7";"—";"—";"60807 ―";"—";"Участвуете в конкурсе";"2409667";"—"
"54";"17";"—";"—";"60473 ―";"—";"Участвуете в конкурсе";"2413072";"—"
"55";"2";"—";"—";"60501 ―";"—";"Участвуете в конкурсе";"2415219";"—"
"56";"2";"—";"—";"60497 √ ―";"—";"Участвуете в конкурсе";"2415817";"—"
"57";"8";"—";"—";"61131 ―";"—";"Участвуете в конкурсе";"2451320";"—"
"58";"1";"—";"—";"61077 ―";"—";"Участвуете в конкурсе";"2480295";"—"
