"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"32";"51540 ―";"32";"Участвуете в конкурсе";"1798906";"—"
"2";"1";"—";"28";"51699 ―";"28";"Участвуете в конкурсе";"1815751";"—"
"3";"8";"Электронное";"25";"51160 ―";"25";"Участвуете в конкурсе";"1764095";"—"
"4";"1";"—";"24";"54246 √ ―";"24";"Участвуете в конкурсе";"1915863";"—"
"5";"8";"—";"21";"56845 ―";"21";"Участвуете в конкурсе";"2240953";"—"
"6";"5";"Электронное";"20";"53227 ―";"20";"Участвуете в конкурсе";"1964128";"—"
"7";"1";"—";"13";"51380 ―";"13";"Участвуете в конкурсе";"1793199";"—"
"8";"5";"—";"11";"56925 ―";"11";"Участвуете в конкурсе";"2244988";"—"
"9";"2";"—";"10";"45806 ―";"10";"Участвуете в конкурсе";"1018087";"—"
"10";"6";"—";"10";"46047 √ ―";"10";"Участвуете в конкурсе";"1092132";"—"
"11";"1";"—";"10";"47034 ―";"10";"Участвуете в конкурсе";"1242737";"—"
"12";"5";"—";"10";"49063 ―";"10";"Участвуете в конкурсе";"1562457";"—"
"13";"4";"—";"10";"49066 √ ―";"10";"Участвуете в конкурсе";"1562634";"—"
"14";"2";"—";"10";"51219 ―";"10";"Участвуете в конкурсе";"1731408";"—"
"15";"3";"—";"10";"61137 ―";"10";"Участвуете в конкурсе";"1828900";"—"
"16";"3";"—";"10";"52196 √ ―";"10";"Участвуете в конкурсе";"1889812";"—"
"17";"1";"—";"10";"52961 ―";"10";"Участвуете в конкурсе";"1942306";"—"
"18";"4";"—";"10";"52964 ―";"10";"Участвуете в конкурсе";"1953678";"—"
"19";"1";"—";"10";"54968 √ ―";"10";"Участвуете в конкурсе";"2141960";"—"
"20";"3";"—";"10";"56296 ―";"10";"Участвуете в конкурсе";"2210187";"—"
"21";"5";"—";"10";"56991 √ ―";"10";"Участвуете в конкурсе";"2256172";"—"
"22";"5";"—";"10";"60348 ―";"10";"Участвуете в конкурсе";"2303218";"—"
"23";"1";"—";"10";"57407 √ ―";"10";"Участвуете в конкурсе";"2313096";"—"
"24";"2";"—";"10";"57466 ―";"10";"Участвуете в конкурсе";"2323145";"—"
"25";"2";"—";"10";"59198 √ ―";"10";"Участвуете в конкурсе";"2386671";"—"
"26";"1";"—";"10";"60724 √ ―";"10";"Участвуете в конкурсе";"2427728";"—"
"27";"5";"—";"10";"60731 ―";"10";"Участвуете в конкурсе";"2431995";"—"
"28";"8";"—";"3";"49678 √ ―";"3";"Участвуете в конкурсе";"1642615";"—"
"29";"1";"—";"3";"52094 ―";"3";"Участвуете в конкурсе";"1836948";"—"
"30";"6";"Электронное";"3";"52699 ―";"3";"Участвуете в конкурсе";"1931193";"—"
"31";"1";"—";"3";"53937 ―";"3";"Участвуете в конкурсе";"2034562";"—"
"32";"3";"—";"3";"54785 ―";"3";"Участвуете в конкурсе";"2115041";"—"
"33";"1";"—";"2";"45732 √ ―";"2";"Участвуете в конкурсе";"1028052";"—"
"34";"2";"—";"1";"56924 ―";"1";"Участвуете в конкурсе";"2141293";"—"
"35";"1";"—";"1";"56935 ―";"1";"Участвуете в конкурсе";"2221341";"—"
"36";"3";"—";"1";"57373 √ ―";"1";"Участвуете в конкурсе";"2245659";"—"
"37";"3";"—";"—";"45747 √ ―";"—";"Участвуете в конкурсе";"1030118";"—"
"38";"1";"—";"—";"46982 √ ―";"—";"Участвуете в конкурсе";"1038695";"—"
"39";"9";"—";"—";"45788 √ ―";"—";"Участвуете в конкурсе";"1041248";"—"
"40";"4";"—";"—";"45886 √ ―";"—";"Участвуете в конкурсе";"1056127";"—"
"41";"2";"—";"—";"45932 ―";"—";"Участвуете в конкурсе";"1065494";"—"
"42";"4";"Электронное";"—";"46030 ―";"—";"Участвуете в конкурсе";"1086654";"—"
"43";"4";"—";"—";"46121 ―";"—";"Участвуете в конкурсе";"1104927";"—"
"44";"4";"—";"—";"61086 ―";"—";"Участвуете в конкурсе";"1123556";"—"
"45";"4";"—";"—";"46253 √ ―";"—";"Участвуете в конкурсе";"1130041";"—"
"46";"9";"Электронное";"—";"46265 √ ―";"—";"Участвуете в конкурсе";"1134012";"—"
"47";"4";"—";"—";"46392 √ ―";"—";"Участвуете в конкурсе";"1144032";"—"
"48";"1";"—";"—";"46334 √ ―";"—";"Участвуете в конкурсе";"1149438";"—"
"49";"6";"Электронное";"—";"46410 √ ―";"—";"Участвуете в конкурсе";"1169497";"—"
"50";"10";"—";"—";"46506 ―";"—";"Участвуете в конкурсе";"1177995";"—"
"51";"2";"—";"—";"47249 √ ―";"—";"Участвуете в конкурсе";"1253147";"—"
"52";"2";"—";"—";"47249 √ ―";"—";"Участвуете в конкурсе";"1253147";"—"
"53";"1";"—";"—";"47185 ―";"—";"Участвуете в конкурсе";"1289891";"—"
"54";"9";"—";"—";"47480 ―";"—";"Участвуете в конкурсе";"1351017";"—"
"55";"5";"—";"—";"48036 ―";"—";"Участвуете в конкурсе";"1415659";"—"
"56";"4";"—";"—";"57394 √ ―";"—";"Участвуете в конкурсе";"1426931";"—"
"57";"7";"—";"—";"48591 ―";"—";"Участвуете в конкурсе";"1490798";"—"
"58";"3";"—";"—";"48668 ―";"—";"Участвуете в конкурсе";"1498925";"—"
"59";"1";"—";"—";"60777 ―";"—";"Участвуете в конкурсе";"1558607";"—"
"60";"1";"—";"—";"51139 ―";"—";"Участвуете в конкурсе";"1601354";"—"
"61";"6";"—";"—";"49570 ―";"—";"Участвуете в конкурсе";"1625997";"—"
"62";"7";"—";"—";"49659 ―";"—";"Участвуете в конкурсе";"1640259";"—"
"63";"2";"—";"—";"50999 √ ―";"—";"Участвуете в конкурсе";"1641803";"—"
"64";"6";"—";"—";"50400 √ ―";"—";"Участвуете в конкурсе";"1687745";"—"
"65";"11";"Электронное";"—";"50495 ―";"—";"Участвуете в конкурсе";"1697730";"—"
"66";"1";"—";"—";"60981 √ ―";"—";"Участвуете в конкурсе";"1720677";"—"
"67";"1";"—";"—";"60511 ―";"—";"Участвуете в конкурсе";"1809417";"—"
"68";"8";"Электронное";"—";"51765 ―";"—";"Участвуете в конкурсе";"1826961";"—"
"69";"12";"—";"—";"51800 ―";"—";"Участвуете в конкурсе";"1830817";"—"
"70";"2";"—";"—";"52336 √ ―";"—";"Участвуете в конкурсе";"1843026";"—"
