"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"—";"—";"10";"- Без вступительных испытаний 10 Нет √";"1";"Участвуете в конкурсе";"1956318";"—"
"2";"—";"—";"—";"- Без вступительных испытаний Нет √";"3";"Участвуете в конкурсе";"1491327";"—"
"3";"—";"—";"10";"- Без вступительных испытаний 10 Нет";"5";"Участвуете в конкурсе";"1164798";"—"
"4";"1";"—";"2";"- Без вступительных испытаний 2 Да";"6";"Участвуете в конкурсе";"1413677";"—"
"5";"1";"—";"2";"- Без вступительных испытаний 2 Да √";"5";"Участвуете в конкурсе";"2393385";"—"
"6";"—";"—";"—";"- Без вступительных испытаний Нет √";"5";"Участвуете в конкурсе";"1169454";"—"
"7";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"1322696";"—"
"8";"—";"—";"—";"- Без вступительных испытаний Нет";"5";"Участвуете в конкурсе";"1330264";"—"
"9";"—";"—";"—";"- Без вступительных испытаний Нет √";"1";"Участвуете в конкурсе";"1442657";"—"
"10";"1";"—";"—";"- Без вступительных испытаний Да √";"5";"Участвуете в конкурсе";"1576660";"—"
"11";"—";"—";"—";"- Без вступительных испытаний Нет √";"5";"Участвуете в конкурсе";"1685299";"—"
"12";"1";"—";"—";"- Без вступительных испытаний Да √";"7";"Участвуете в конкурсе";"1842404";"—"
"13";"—";"—";"—";"- Без вступительных испытаний Нет √";"5";"Участвуете в конкурсе";"1855192";"—"
"14";"—";"—";"—";"- Без вступительных испытаний Нет √";"5";"Участвуете в конкурсе";"995802";"—"
"15";"3";"Электронное";"295";"- 98 100 87 1";"10";"Участвуете в конкурсе";"939677";"—"
"16";"1";"—";"290";"- 93 96 91 1";"10";"Участвуете в конкурсе";"1584715";"—"
"17";"6";"—";"288";"- 90 100 88 √";"10";"Участвуете в конкурсе";"1351128";"—"
"18";"6";"—";"284";"- 92 90 92";"10";"Участвуете в конкурсе";"1622365";"—"
"19";"5";"—";"280";"- 94 82 94";"10";"Участвуете в конкурсе";"1147630";"—"
"20";"3";"Электронное";"279";"- 94 86 89 2";"10";"Участвуете в конкурсе";"1701584";"—"
"21";"1";"—";"277";"- 88 82 97 √";"10";"Участвуете в конкурсе";"1992132";"—"
"22";"1";"Электронное";"276";"- 100 90 83 5";"3";"Участвуете в конкурсе";"990237";"—"
"23";"3";"—";"275";"- 85 94 86 √";"10";"Участвуете в конкурсе";"1792503";"—"
"24";"1";"Электронное";"274";"- 86 100 86 5";"2";"Участвуете в конкурсе";"1039830";"—"
"25";"6";"Электронное";"274";"- 85 90 89 1";"10";"Участвуете в конкурсе";"1561934";"—"
"26";"1";"—";"269";"- 93 88 78";"10";"Участвуете в конкурсе";"1618442";"—"
"27";"2";"—";"267";"- 92 86 83 9";"6";"Участвуете в конкурсе";"1876699";"—"
"28";"5";"—";"264";"- 92 100 72 √";"—";"Участвуете в конкурсе";"1253179";"—"
"29";"1";"—";"264";"- 86 82 86 √";"10";"Участвуете в конкурсе";"1637912";"—"
"30";"1";"—";"263";"- 90 90 73";"10";"Участвуете в конкурсе";"1586396";"—"
"31";"1";"—";"262";"- 100 80 72 3";"10";"Участвуете в конкурсе";"1812859";"—"
"32";"5";"—";"258";"- 84 78 86 6";"10";"Участвуете в конкурсе";"1473113";"—"
"33";"5";"—";"257";"- 95 95 67";"—";"Участвуете в конкурсе";"1192837";"—"
"34";"6";"—";"255";"- 82 82 81";"10";"Участвуете в конкурсе";"2262279";"—"
"35";"1";"—";"253";"- 84 84 75 √";"10";"Участвуете в конкурсе";"2088321";"—"
"36";"3";"—";"251";"- 86 84 81 √";"—";"Участвуете в конкурсе";"1400831";"—"
"37";"1";"—";"250";"- 83 82 83";"2";"Участвуете в конкурсе";"1318725";"—"
"38";"2";"Электронное";"249";"- 90 74 83 1";"2";"Участвуете в конкурсе";"1195177";"—"
"39";"2";"—";"249";"- 78 80 89 1";"2";"Участвуете в конкурсе";"1979591";"—"
"40";"4";"Электронное";"248";"- 78 84 86 5";"—";"Участвуете в конкурсе";"1510966";"—"
"41";"1";"—";"247";"- 88 76 83";"—";"Участвуете в конкурсе";"1191019";"—"
"42";"6";"Электронное";"236";"- 84 80 72 1";"—";"Участвуете в конкурсе";"1424068";"—"
"43";"8";"—";"235";"- 80 78 77 √";"—";"Участвуете в конкурсе";"2064409";"—"
"44";"6";"—";"235";"- 80 78 67";"10";"Участвуете в конкурсе";"1318021";"—"
"45";"1";"Электронное";"234";"- 86 88 60 1";"—";"Участвуете в конкурсе";"1743414";"—"
"46";"5";"—";"234";"- 76 80 73 √";"5";"Участвуете в конкурсе";"1438168";"—"
"47";"3";"Электронное";"234";"- 76 90 58 1";"10";"Участвуете в конкурсе";"1641931";"—"
"48";"4";"—";"234";"- 70 82 72 √";"10";"Участвуете в конкурсе";"1072010";"—"
"49";"5";"—";"232";"- 83 82 67 √";"—";"Участвуете в конкурсе";"1721684";"—"
"50";"4";"Электронное";"232";"- 64 88 70 1";"10";"Участвуете в конкурсе";"1907006";"—"
"51";"5";"Электронное";"228";"- 72 70 86";"—";"Участвуете в конкурсе";"952211";"—"
"52";"2";"—";"228";"- 75 72 79";"2";"Участвуете в конкурсе";"2265715";"—"
"53";"5";"—";"228";"- 74 74 78 √";"2";"Участвуете в конкурсе";"1383909";"—"
"54";"7";"—";"228";"- 68 78 72 √";"10";"Участвуете в конкурсе";"2101816";"—"
"55";"3";"—";"226";"- 57 70 89 √";"10";"Участвуете в конкурсе";"988639";"—"
"56";"4";"—";"225";"- 80 72 70";"3";"Участвуете в конкурсе";"1555630";"—"
"57";"1";"—";"224";"- 76 78 60 √";"10";"Участвуете в конкурсе";"1631334";"—"
"58";"5";"—";"224";"- 72 78 64";"10";"Участвуете в конкурсе";"1438591";"—"
"59";"3";"Электронное";"223";"- 64 82 67 5";"10";"Участвуете в конкурсе";"2178105";"—"
"60";"5";"—";"221";"- 70 78 70";"3";"Участвуете в конкурсе";"1953899";"—"
"61";"4";"—";"218";"- 80 74 64";"—";"Участвуете в конкурсе";"1579592";"—"
"62";"1";"—";"217";"- 58 100 57";"2";"Участвуете в конкурсе";"1518625";"—"
"63";"3";"—";"216";"- 67 76 63";"10";"Участвуете в конкурсе";"1496093";"—"
"64";"1";"—";"215";"- 64 74 67 √";"10";"Участвуете в конкурсе";"1318241";"—"
"65";"4";"—";"215";"- 46 70 89 √";"10";"Участвуете в конкурсе";"2187370";"—"
"66";"2";"—";"214";"- 67 86 61";"—";"Участвуете в конкурсе";"1349834";"—"
"67";"6";"—";"212";"- 72 74 66";"—";"Участвуете в конкурсе";"1399974";"—"
"68";"4";"—";"212";"- 70 82 58";"2";"Участвуете в конкурсе";"2367586";"—"
"69";"2";"Электронное";"212";"- 58 72 72 1";"10";"Участвуете в конкурсе";"950976";"—"
"70";"1";"Электронное";"211";"- 72 70 59 3";"10";"Участвуете в конкурсе";"1114622";"—"
"71";"2";"—";"210";"- 62 74 72 √";"2";"Участвуете в конкурсе";"2229672";"—"
"72";"1";"—";"209";"- 67 78 64";"—";"Участвуете в конкурсе";"1306200";"—"
"73";"5";"—";"208";"- 67 78 63";"—";"Участвуете в конкурсе";"1426965";"—"
"74";"7";"—";"207";"- 62 82 63 √";"—";"Участвуете в конкурсе";"2345208";"—"
"75";"2";"Электронное";"207";"- 70 74 61 1";"2";"Участвуете в конкурсе";"2407039";"—"
"76";"3";"—";"202";"- 62 70 70";"—";"Участвуете в конкурсе";"2181457";"—"
"77";"5";"—";"201";"- 67 72 60";"2";"Участвуете в конкурсе";"1519920";"—"
"78";"6";"—";"200";"- 62 70 66 √";"2";"Участвуете в конкурсе";"1482803";"—"
"79";"5";"—";"200";"- 67 72 57 √";"4";"Участвуете в конкурсе";"1792266";"—"
"80";"1";"—";"197";"- 67 58 67 √";"5";"Участвуете в конкурсе";"1419234";"—"
"81";"2";"Электронное";"195";"- 68 70 55 √";"2";"Участвуете в конкурсе";"2255822";"—"
"82";"6";"—";"194";"- 43 72 69 √";"10";"Участвуете в конкурсе";"1818568";"—"
"83";"4";"—";"193";"- 71 74 46";"2";"Участвуете в конкурсе";"2057916";"—"
"84";"1";"—";"193";"- 59 72 60";"2";"Участвуете в конкурсе";"1852843";"—"
"85";"3";"—";"191";"- 62 70 51";"8";"Участвуете в конкурсе";"1558698";"—"
"86";"4";"—";"191";"- 59 64 58 √";"10";"Участвуете в конкурсе";"2244987";"—"
"87";"4";"—";"189";"- 43 64 72 √";"10";"Участвуете в конкурсе";"1806401";"—"
"88";"8";"Электронное";"186";"- 64 64 58 1";"—";"Участвуете в конкурсе";"2271795";"—"
"89";"1";"—";"186";"- 59 58 69";"—";"Участвуете в конкурсе";"1935342";"—"
"90";"5";"—";"183";"- 68 58 57 √";"—";"Участвуете в конкурсе";"1075834";"—"
"91";"5";"—";"180";"- 68 58 52 √";"2";"Участвуете в конкурсе";"1250967";"—"
"92";"5";"—";"178";"- 51 76 51 √";"—";"Участвуете в конкурсе";"1625256";"—"
"93";"4";"Электронное";"174";"- 72 58 42";"2";"Участвуете в конкурсе";"1513025";"—"
"94";"3";"—";"168";"- 62 40 66";"—";"Участвуете в конкурсе";"1831352";"—"
"95";"1";"—";"167";"- 58 58 51";"—";"Участвуете в конкурсе";"1892416";"—"
"96";"2";"—";"166";"- 51 64 51";"—";"Участвуете в конкурсе";"2054274";"—"
"97";"5";"—";"166";"- 51 58 57";"—";"Участвуете в конкурсе";"1087883";"—"
"98";"4";"—";"164";"- 54 52 58";"—";"Участвуете в конкурсе";"2245369";"—"
"99";"1";"—";"163";"- 56 64 43 √";"—";"Участвуете в конкурсе";"1422727";"—"
"100";"4";"—";"162";"- 59 46 57";"—";"Участвуете в конкурсе";"1180371";"—"
"101";"2";"—";"162";"- 46 52 64";"—";"Участвуете в конкурсе";"2184095";"—"
"102";"1";"—";"159";"- 49 58 52";"—";"Участвуете в конкурсе";"1197995";"—"
"103";"7";"—";"158";"- 54 60 42";"2";"Участвуете в конкурсе";"1204813";"—"
"104";"8";"—";"157";"- 53 52 52 √";"—";"Участвуете в конкурсе";"1269871";"—"
"105";"3";"Электронное";"157";"- 51 46 58 1";"2";"Участвуете в конкурсе";"978888";"—"
"106";"4";"—";"152";"- 43 52 57 √";"—";"Участвуете в конкурсе";"1563351";"—"
"107";"5";"—";"150";"- 43 52 55 √";"—";"Участвуете в конкурсе";"2249587";"—"
