"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"310";"49448 100 100 100 Нет";"10";"Участвуете в конкурсе";"1580037";"—"
"2";"1";"—";"306";"55221 98 100 98 Нет";"10";"Участвуете в конкурсе";"1998604";"—"
"3";"1";"—";"294";"46493 95 92 97 Нет";"10";"Участвуете в конкурсе";"1179087";"—"
"4";"3";"—";"292";"52363 96 100 93 Нет";"3";"Участвуете в конкурсе";"1898857";"—"
"5";"5";"—";"290";"45540 98 100 92 Нет";"—";"Участвуете в конкурсе";"975836";"—"
"6";"5";"—";"288";"51019 96 100 92 Нет";"—";"Участвуете в конкурсе";"1465885";"—"
"7";"8";"—";"288";"48650 98 97 83 Нет";"10";"Участвуете в конкурсе";"1496139";"—"
"8";"1";"—";"287";"48377 96 90 91 Нет";"10";"Участвуете в конкурсе";"1268028";"—"
"9";"8";"—";"287";"53020 83 100 94 Нет";"10";"Участвуете в конкурсе";"1307030";"—"
"10";"1";"—";"286";"52605 96 100 90 Нет";"—";"Участвуете в конкурсе";"1924409";"—"
"11";"1";"—";"284";"46320 82 100 100 Нет";"2";"Участвуете в конкурсе";"1146076";"—"
"12";"4";"—";"284";"59211 95 92 94 Нет";"3";"Участвуете в конкурсе";"1838380";"—"
"13";"4";"—";"283";"58841 92 84 97 Нет";"10";"Участвуете в конкурсе";"1583304";"—"
"14";"4";"—";"282";"46845 96 90 86 Нет";"10";"Участвуете в конкурсе";"1204107";"—"
"15";"2";"—";"281";"57086 92 100 89 Нет";"—";"Участвуете в конкурсе";"2268213";"—"
"16";"2";"—";"280";"50354 90 94 86 Нет";"10";"Участвуете в конкурсе";"1611221";"—"
"17";"1";"—";"277";"54395 86 90 91 Нет";"10";"Участвуете в конкурсе";"2033142";"—"
"18";"1";"—";"276";"45364 100 90 83 Нет";"3";"Участвуете в конкурсе";"990237";"—"
"19";"2";"—";"275";"50496 90 94 86 Нет";"5";"Участвуете в конкурсе";"1473788";"—"
"20";"1";"—";"275";"49372 95 76 94 Нет";"10";"Участвуете в конкурсе";"1575747";"—"
"21";"1";"—";"274";"54220 98 88 78 Нет";"10";"Участвуете в конкурсе";"1348849";"—"
"22";"4";"—";"273";"57224 90 92 86 Нет";"5";"Участвуете в конкурсе";"2270132";"—"
"23";"1";"—";"272";"48616 92 98 72 Нет";"10";"Участвуете в конкурсе";"1043751";"—"
"24";"5";"—";"272";"46474 85 86 91 Нет";"10";"Участвуете в конкурсе";"1178731";"—"
"25";"4";"—";"272";"48263 90 86 86 Нет";"10";"Участвуете в конкурсе";"1460249";"—"
"26";"1";"—";"272";"51112 94 100 78 Нет";"—";"Участвуете в конкурсе";"1762335";"—"
"27";"2";"—";"271";"46127 96 100 75 Нет";"—";"Участвуете в конкурсе";"1105986";"—"
"28";"5";"—";"271";"48117 93 96 72 Нет";"10";"Участвуете в конкурсе";"1413311";"—"
"29";"3";"—";"271";"48110 83 84 94 Нет";"10";"Участвуете в конкурсе";"1428140";"—"
"30";"3";"—";"271";"48905 90 95 86 Нет";"—";"Участвуете в конкурсе";"1526636";"—"
"31";"1";"—";"271";"55094 90 88 83 Нет";"10";"Участвуете в конкурсе";"2152487";"—"
"32";"2";"—";"270";"45523 92 100 78 Нет";"—";"Участвуете в конкурсе";"976990";"—"
"33";"1";"—";"269";"49500 93 88 78 Нет";"10";"Участвуете в конкурсе";"1618442";"—"
"34";"3";"—";"267";"49891 90 96 81 Нет";"—";"Участвуете в конкурсе";"1386489";"—"
"35";"3";"—";"267";"53270 90 86 89 Нет";"2";"Участвуете в конкурсе";"1981438";"—"
"36";"1";"—";"267";"56506 95 82 86 Нет";"4";"Участвуете в конкурсе";"2001575";"—"
"37";"5";"—";"266";"47563 93 84 89 Нет";"—";"Участвуете в конкурсе";"1302562";"—"
"38";"1";"—";"266";"48306 88 90 78 Нет";"10";"Участвуете в конкурсе";"1441421";"—"
"39";"1";"—";"266";"51578 100 92 72 Нет";"2";"Участвуете в конкурсе";"1794815";"—"
"40";"2";"—";"265";"49421 92 100 73 Нет";"—";"Участвуете в конкурсе";"1578919";"—"
"41";"3";"—";"265";"50091 80 94 91 Нет";"—";"Участвуете в конкурсе";"1627450";"—"
"42";"1";"—";"263";"58449 90 90 73 Нет";"10";"Участвуете в конкурсе";"1586396";"—"
"43";"2";"—";"262";"58376 88 86 86 Нет";"2";"Участвуете в конкурсе";"1211476";"—"
"44";"1";"—";"262";"48104 90 80 92 Нет";"—";"Участвуете в конкурсе";"1415184";"—"
"45";"3";"—";"262";"60164 83 86 83 Нет";"10";"Участвуете в конкурсе";"1434484";"—"
"46";"1";"—";"262";"54138 85 94 81 Нет";"2";"Участвуете в конкурсе";"2055688";"—"
"47";"8";"—";"262";"45554 80 100 82 Нет";"—";"Участвуете в конкурсе";"981860";"—"
"48";"1";"—";"261";"37058 80 100 71 Нет";"10";"Участвуете в конкурсе";"1003310";"—"
"49";"7";"—";"261";"48740 90 100 61 Нет";"10";"Участвуете в конкурсе";"1534454";"—"
"50";"2";"—";"261";"47089 79 86 89 Нет";"7";"Участвуете в конкурсе";"831162";"—"
"51";"5";"—";"260";"59665 83 86 91 Нет";"—";"Участвуете в конкурсе";"1354923";"—"
"52";"2";"—";"260";"54669 82 80 88 Нет";"10";"Участвуете в конкурсе";"1948627";"—"
"53";"3";"—";"260";"56914 93 92 70 Нет";"5";"Участвуете в конкурсе";"2264667";"—"
"54";"2";"—";"260";"60014 83 86 81 Нет";"10";"Участвуете в конкурсе";"2315691";"—"
"55";"2";"—";"259";"25036 79 95 75 Нет";"10";"Участвуете в конкурсе";"1069584";"—"
"56";"4";"—";"259";"50790 90 92 67 Нет";"10";"Участвуете в конкурсе";"1697239";"—"
"57";"3";"—";"259";"45641 86 90 83 Нет";"—";"Участвуете в конкурсе";"978032";"—"
"58";"1";"—";"258";"50502 88 82 86 Нет";"2";"Участвуете в конкурсе";"1432911";"—"
"59";"3";"—";"258";"50731 80 95 83 Нет";"—";"Участвуете в конкурсе";"1713477";"—"
"60";"2";"—";"258";"51689 85 80 83 Нет";"10";"Участвуете в конкурсе";"1725009";"—"
"61";"3";"—";"258";"53513 94 72 92 Нет";"—";"Участвуете в конкурсе";"1995879";"—"
"62";"2";"—";"258";"57699 85 80 83 Нет";"10";"Участвуете в конкурсе";"2301670";"—"
"63";"1";"—";"257";"57759 88 84 75 Нет";"10";"Участвуете в конкурсе";"2183533";"—"
"64";"4";"—";"256";"54049 88 80 78 Нет";"10";"Участвуете в конкурсе";"2053545";"—"
"65";"3";"—";"256";"55228 86 97 73 Нет";"—";"Участвуете в конкурсе";"2071585";"—"
"66";"5";"—";"254";"50068 90 92 72 Нет";"—";"Участвуете в конкурсе";"1621064";"—"
"67";"5";"—";"254";"51121 83 80 91 Нет";"—";"Участвуете в конкурсе";"1767325";"—"
"68";"4";"—";"254";"59980 83 90 81 Нет";"—";"Участвуете в конкурсе";"1895603";"—"
"69";"7";"—";"254";"53036 90 92 70 Нет";"2";"Участвуете в конкурсе";"1958560";"—"
"70";"4";"—";"253";"55949 78 84 81 Нет";"10";"Участвуете в конкурсе";"2217760";"—"
"71";"3";"—";"253";"57279 90 78 75 Нет";"10";"Участвуете в конкурсе";"2270440";"—"
"72";"4";"—";"252";"47114 75 78 89 Нет";"10";"Участвуете в конкурсе";"1264269";"—"
"73";"2";"—";"252";"47985 83 84 83 Нет";"2";"Участвуете в конкурсе";"1403124";"—"
"74";"2";"—";"251";"46782 85 86 73 Нет";"7";"Участвуете в конкурсе";"1200691";"—"
"75";"4";"—";"251";"54698 84 76 81 Нет";"10";"Участвуете в конкурсе";"1982384";"—"
"76";"3";"—";"251";"54817 84 76 81 Нет";"10";"Участвуете в конкурсе";"2041310";"—"
"77";"7";"—";"251";"55899 90 86 73 Нет";"2";"Участвуете в конкурсе";"2168415";"—"
"78";"1";"—";"250";"47247 83 82 83 Нет";"2";"Участвуете в конкурсе";"1318725";"—"
"79";"3";"—";"250";"48692 80 82 86 Нет";"2";"Участвуете в конкурсе";"1502233";"—"
