"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"10";"40013 Без вступительных испытаний 10 Да √";"1";"Участвуете в конкурсе";"2306873";"—"
"2";"1";"—";"10";"40281 Без вступительных испытаний 10 Да Призер всероссийской олимпиады";"1";"Участвуете в конкурсе";"2311482";"—"
"3";"1";"—";"10";"37525 Без вступительных испытаний 10 Да Победитель олимпиады школьников";"1";"Участвуете в конкурсе";"1997596";"—"
"4";"1";"—";"10";"28724 Без вступительных испытаний 10 Да Победитель олимпиады школьников";"1";"Участвуете в конкурсе";"2252200";"—"
"5";"1";"—";"10";"43426 Без вступительных испытаний 10 Да Победитель олимпиады школьников";"1";"Участвуете в конкурсе";"2422466";"—"
"6";"1";"—";"10";"59693 Без вступительных испытаний 10 Да Победитель олимпиады школьников";"1";"Участвуете в конкурсе";"2425157";"—"
"7";"1";"—";"—";"56383 Без вступительных испытаний Да Победитель олимпиады школьников";"1";"Участвуете в конкурсе";"2253949";"—"
"8";"1";"—";"—";"14037 Без вступительных испытаний Да Победитель олимпиады школьников";"1";"Участвуете в конкурсе";"2406408";"—"
"9";"1";"—";"10";"45408 Без вступительных испытаний 10 Да Победитель олимпиады школьников";"1";"Участвуете в конкурсе";"994539";"—"
"10";"1";"—";"10";"49350 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1177677";"—"
"11";"—";"—";"10";"54746 Без вступительных испытаний 10 Нет Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1429296";"—"
"12";"1";"—";"10";"50403 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1654682";"—"
"13";"1";"—";"10";"42936 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1849048";"—"
"14";"1";"—";"10";"57283 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1914791";"—"
"15";"1";"—";"10";"53480 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1991891";"—"
"16";"1";"—";"10";"41555 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2088718";"—"
"17";"1";"—";"—";"50295 Без вступительных испытаний Да √ Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1506534";"—"
"18";"1";"—";"—";"53479 Без вступительных испытаний Да √ Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1976909";"—"
"19";"1";"—";"—";"53927 Без вступительных испытаний Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1987813";"—"
"20";"1";"—";"—";"28898 Без вступительных испытаний Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2227915";"—"
"21";"1";"—";"—";"28252 Без вступительных испытаний Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2334215";"—"
"22";"1";"—";"—";"57863 Без вступительных испытаний Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2344834";"—"
"23";"1";"—";"—";"36246 Без вступительных испытаний Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2396866";"—"
"24";"1";"—";"10";"42683 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1911446";"—"
"25";"1";"—";"10";"42051 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2122616";"—"
"26";"1";"—";"—";"59388 Без вступительных испытаний Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2408771";"—"
"27";"2";"Электронное";"310";"28253 100 100 100 1";"10";"Участвуете в конкурсе";"1916549";"—"
"28";"2";"—";"307";"53595 100 100 97 1";"10";"Участвуете в конкурсе";"1949578";"—"
"29";"5";"Электронное";"307";"59293 100 100 97 1";"10";"Участвуете в конкурсе";"2216823";"—"
"30";"7";"Электронное";"306";"59240 100 96 100 2";"10";"Участвуете в конкурсе";"2384191";"—"
"31";"6";"Электронное";"305";"46382 100 100 98 1";"7";"Участвуете в конкурсе";"1129565";"—"
"32";"2";"Электронное";"305";"54498 100 95 100 2";"10";"Участвуете в конкурсе";"1268572";"—"
"33";"5";"Электронное";"305";"48660 98 100 97 1";"10";"Участвуете в конкурсе";"1498663";"—"
"34";"2";"Электронное";"304";"59119 100 100 94 1";"10";"Участвуете в конкурсе";"1001866";"—"
"35";"3";"—";"303";"52691 100 99 94 3";"10";"Участвуете в конкурсе";"1353341";"—"
"36";"1";"Электронное";"303";"60390 98 98 97 1";"10";"Участвуете в конкурсе";"2423371";"—"
"37";"2";"—";"302";"60309 100 95 97 2";"10";"Участвуете в конкурсе";"2209634";"—"
"38";"4";"—";"302";"43076 98 100 94 1";"10";"Участвуете в конкурсе";"1960655";"—"
"39";"2";"Электронное";"302";"54855 98 94 100 1";"10";"Участвуете в конкурсе";"1900845";"—"
"40";"5";"—";"300";"49760 100 100 100 1";"—";"Участвуете в конкурсе";"1569590";"—"
"41";"1";"Электронное";"300";"52871 90 100 100 1";"10";"Участвуете в конкурсе";"1712794";"—"
"42";"1";"—";"298";"39218 98 96 94 1";"10";"Участвуете в конкурсе";"2421769";"—"
"43";"6";"Электронное";"298";"48539 92 100 96 1";"10";"Участвуете в конкурсе";"1481037";"—"
"44";"5";"Электронное";"297";"48105 98 92 97 4";"10";"Участвуете в конкурсе";"1418549";"—"
"45";"3";"Электронное";"296";"52804 96 100 100 11";"—";"Участвуете в конкурсе";"1739395";"—"
"46";"6";"Электронное";"296";"55432 100 92 94 1";"10";"Участвуете в конкурсе";"1185233";"—"
"47";"2";"Электронное";"296";"57827 98 94 94 1";"10";"Участвуете в конкурсе";"2245428";"—"
"48";"6";"Электронное";"296";"52255 88 100 98 3";"10";"Участвуете в конкурсе";"1860959";"—"
"49";"6";"—";"295";"47272 100 100 95 7";"—";"Участвуете в конкурсе";"1256711";"—"
"50";"9";"Электронное";"294";"49544 96 100 98 1";"—";"Участвуете в конкурсе";"1587217";"—"
"51";"7";"Электронное";"294";"55425 96 100 94 1";"4";"Участвуете в конкурсе";"1915669";"—"
"52";"6";"Электронное";"294";"59453 93 100 91 1";"10";"Участвуете в конкурсе";"2259536";"—"
"53";"3";"Электронное";"293";"59656 100 100 93 1";"—";"Участвуете в конкурсе";"2411261";"—"
"54";"1";"—";"293";"60096 97 86 100 1";"10";"Участвуете в конкурсе";"2425911";"—"
"55";"4";"Электронное";"293";"46463 94 100 89 3";"10";"Участвуете в конкурсе";"1123141";"—"
"56";"5";"Электронное";"293";"50019 92 100 91 5";"10";"Участвуете в конкурсе";"1607159";"—"
"57";"8";"—";"292";"52501 98 100 84 8";"10";"Участвуете в конкурсе";"1743218";"—"
"58";"2";"Электронное";"292";"57831 96 100 86 1";"10";"Участвуете в конкурсе";"1133106";"—"
"59";"1";"Электронное";"292";"52423 93 95 94 1";"10";"Участвуете в конкурсе";"1905508";"—"
"60";"10";"Электронное";"291";"50314 92 100 99 2";"—";"Участвуете в конкурсе";"1687538";"—"
"61";"3";"Электронное";"291";"57502 100 95 94 1";"2";"Участвуете в конкурсе";"2314414";"—"
"62";"2";"Электронное";"291";"59683 100 86 100 1";"5";"Участвуете в конкурсе";"1384739";"—"
"63";"1";"—";"291";"52396 98 92 91 1";"10";"Участвуете в конкурсе";"1552992";"—"
"64";"5";"—";"291";"48369 96 88 97 3";"10";"Участвуете в конкурсе";"1397044";"—"
"65";"10";"—";"291";"51122 88 100 93 2";"10";"Участвуете в конкурсе";"1619911";"—"
"66";"8";"Электронное";"290";"51252 98 100 92 6";"—";"Участвуете в конкурсе";"1495657";"—"
"67";"7";"Электронное";"290";"45540 98 100 92 4";"—";"Участвуете в конкурсе";"975836";"—"
"68";"5";"Электронное";"290";"48915 92 100 98 4";"—";"Участвуете в конкурсе";"1517252";"—"
"69";"3";"Электронное";"290";"47229 92 100 88 1";"10";"Участвуете в конкурсе";"1340624";"—"
"70";"2";"Электронное";"289";"49051 94 100 93 2";"2";"Участвуете в конкурсе";"1508464";"—"
"71";"5";"—";"289";"59101 98 95 86 5";"10";"Участвуете в конкурсе";"1884399";"—"
"72";"5";"—";"289";"51012 94 100 85 2";"10";"Участвуете в конкурсе";"1338578";"—"
"73";"5";"—";"289";"49861 93 92 94 5";"10";"Участвуете в конкурсе";"1617359";"—"
"74";"1";"Электронное";"289";"57370 90 100 89 1";"10";"Участвуете в конкурсе";"2285905";"—"
"75";"2";"—";"289";"48528 90 98 91 2";"10";"Участвуете в конкурсе";"1480097";"—"
"76";"2";"Электронное";"289";"46324 88 100 91 1";"10";"Участвуете в конкурсе";"1152415";"—"
"77";"10";"Электронное";"288";"48329 98 100 90 4";"—";"Участвуете в конкурсе";"1442710";"—"
