"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"Электронное";"28";"46059 √ ―";"28";"Участвуете в конкурсе";"1093226";"—"
"2";"4";"—";"23";"45813 √ ―";"23";"Участвуете в конкурсе";"1019168";"—"
"3";"4";"—";"23";"46944 √ ―";"23";"Участвуете в конкурсе";"1252049";"—"
"4";"2";"Электронное";"18";"51160 ―";"18";"Участвуете в конкурсе";"1764095";"—"
"5";"5";"Электронное";"17";"45933 √ ―";"17";"Участвуете в конкурсе";"1003282";"—"
"6";"5";"—";"13";"51380 ―";"13";"Участвуете в конкурсе";"1793199";"—"
"7";"3";"—";"13";"53720 ―";"13";"Участвуете в конкурсе";"983492";"—"
"8";"4";"Электронное";"11";"46224 √ ―";"11";"Участвуете в конкурсе";"1128539";"—"
"9";"4";"—";"11";"49549 ―";"11";"Участвуете в конкурсе";"1623968";"—"
"10";"1";"—";"11";"53943 ―";"11";"Участвуете в конкурсе";"2035441";"—"
"11";"5";"—";"11";"55685 √ ―";"11";"Участвуете в конкурсе";"2176738";"—"
"12";"12";"—";"10";"45720 √ ―";"10";"Участвуете в конкурсе";"1002753";"—"
"13";"1";"Электронное";"10";"46007 ―";"10";"Участвуете в конкурсе";"1087896";"—"
"14";"8";"—";"10";"46041 √ ―";"10";"Участвуете в конкурсе";"1092074";"—"
"15";"10";"—";"10";"46047 √ ―";"10";"Участвуете в конкурсе";"1092132";"—"
"16";"8";"—";"10";"46133 √ ―";"10";"Участвуете в конкурсе";"1107203";"—"
"17";"2";"Электронное";"10";"46519 √ ―";"10";"Участвуете в конкурсе";"1189195";"—"
"18";"1";"—";"10";"49053 ―";"10";"Участвуете в конкурсе";"1553787";"—"
"19";"1";"—";"10";"50930 ―";"10";"Участвуете в конкурсе";"1713299";"—"
"20";"1";"Электронное";"10";"51041 ―";"10";"Участвуете в конкурсе";"1775326";"—"
"21";"10";"—";"10";"61137 ―";"10";"Участвуете в конкурсе";"1828900";"—"
"22";"3";"—";"10";"51791 √ ―";"10";"Участвуете в конкурсе";"1829229";"—"
"23";"10";"—";"10";"53132 √ ―";"10";"Участвуете в конкурсе";"1900918";"—"
"24";"8";"—";"10";"52961 ―";"10";"Участвуете в конкурсе";"1942306";"—"
"25";"3";"—";"10";"53977 ―";"10";"Участвуете в конкурсе";"2042962";"—"
"26";"1";"—";"10";"54330 ―";"10";"Участвуете в конкурсе";"2072710";"—"
"27";"4";"—";"10";"54628 ―";"10";"Участвуете в конкурсе";"2101039";"—"
"28";"3";"—";"10";"55783 ―";"10";"Участвуете в конкурсе";"2184658";"—"
"29";"1";"Электронное";"10";"56409 √ ―";"10";"Участвуете в конкурсе";"2237342";"—"
"30";"5";"—";"10";"56845 ―";"10";"Участвуете в конкурсе";"2240953";"—"
"31";"2";"—";"10";"57109 ―";"10";"Участвуете в конкурсе";"2265225";"—"
"32";"7";"—";"10";"60348 ―";"10";"Участвуете в конкурсе";"2303218";"—"
"33";"1";"—";"10";"58420 ―";"10";"Участвуете в конкурсе";"2341262";"—"
"34";"1";"Электронное";"10";"59533 ―";"10";"Участвуете в конкурсе";"2410118";"—"
"35";"1";"—";"10";"60701 ―";"10";"Участвуете в конкурсе";"2431695";"—"
"36";"5";"Электронное";"10";"60773 ―";"10";"Участвуете в конкурсе";"2433217";"—"
"37";"7";"—";"10";"45700 ―";"10";"Участвуете в конкурсе";"978776";"—"
"38";"4";"—";"10";"60826 √ ―";"10";"Участвуете в конкурсе";"995301";"—"
"39";"2";"Электронное";"8";"50365 ―";"8";"Участвуете в конкурсе";"1684031";"—"
"40";"9";"—";"8";"54601 ―";"8";"Участвуете в конкурсе";"2099772";"—"
"41";"5";"—";"6";"58428 ―";"6";"Участвуете в конкурсе";"2341579";"—"
"42";"5";"Электронное";"4";"46069 √ ―";"4";"Участвуете в конкурсе";"1095095";"—"
"43";"1";"Электронное";"3";"47372 ―";"3";"Участвуете в конкурсе";"1319271";"—"
"44";"1";"—";"3";"47982 ―";"3";"Участвуете в конкурсе";"1406067";"—"
"45";"9";"—";"3";"49096 ―";"3";"Участвуете в конкурсе";"1566286";"—"
"46";"5";"—";"3";"52094 ―";"3";"Участвуете в конкурсе";"1836948";"—"
"47";"1";"Электронное";"3";"52190 ―";"3";"Участвуете в конкурсе";"1882694";"—"
"48";"2";"—";"3";"56975 √ ―";"3";"Участвуете в конкурсе";"2231923";"—"
"49";"1";"Электронное";"1";"45735 √ ―";"1";"Участвуете в конкурсе";"1028077";"—"
"50";"6";"—";"1";"56924 ―";"1";"Участвуете в конкурсе";"2141293";"—"
"51";"7";"—";"1";"55765 √ ―";"1";"Участвуете в конкурсе";"2170172";"—"
"52";"6";"—";"1";"56935 ―";"1";"Участвуете в конкурсе";"2221341";"—"
"53";"5";"—";"1";"56913 ―";"1";"Участвуете в конкурсе";"2243381";"—"
"54";"9";"—";"1";"57212 √ ―";"1";"Участвуете в конкурсе";"2268607";"—"
"55";"2";"—";"—";"45921 √ ―";"—";"Участвуете в конкурсе";"1026658";"—"
"56";"1";"Электронное";"—";"45824 √ ―";"—";"Участвуете в конкурсе";"1027577";"—"
"57";"1";"—";"—";"45827 ―";"—";"Участвуете в конкурсе";"1027592";"—"
"58";"6";"—";"—";"45789 ―";"—";"Участвуете в конкурсе";"1034302";"—"
"59";"1";"Электронное";"—";"45796 √ ―";"—";"Участвуете в конкурсе";"1035088";"—"
