"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"10";"46216 ―";"10";"Участвуете в конкурсе";"1038740";"—"
"2";"2";"—";"10";"46027 ―";"10";"Участвуете в конкурсе";"1086348";"—"
"3";"1";"—";"10";"48439 ―";"10";"Участвуете в конкурсе";"1472067";"—"
"4";"2";"—";"10";"52700 ―";"10";"Участвуете в конкурсе";"1931222";"—"
"5";"2";"—";"10";"52702 ―";"10";"Участвуете в конкурсе";"1932160";"—"
"6";"1";"—";"10";"53730 ―";"10";"Участвуете в конкурсе";"1996620";"—"
"7";"2";"—";"10";"54795 ―";"10";"Участвуете в конкурсе";"2112457";"—"
"8";"2";"—";"10";"54796 ―";"10";"Участвуете в конкурсе";"2112762";"—"
"9";"2";"—";"10";"60679 ―";"10";"Участвуете в конкурсе";"2426679";"—"
"10";"16";"—";"6";"58428 ―";"6";"Участвуете в конкурсе";"2341579";"—"
"11";"2";"—";"3";"54240 ―";"3";"Участвуете в конкурсе";"2053755";"—"
"12";"1";"—";"1";"53493 ―";"1";"Участвуете в конкурсе";"1976234";"—"
"13";"4";"—";"1";"55765 √ ―";"1";"Участвуете в конкурсе";"2170172";"—"
"14";"2";"—";"—";"45794 √ ―";"—";"Участвуете в конкурсе";"1017186";"—"
"15";"3";"—";"—";"45804 ―";"—";"Участвуете в конкурсе";"1023419";"—"
"16";"1";"—";"—";"45812 ―";"—";"Участвуете в конкурсе";"1023464";"—"
"17";"1";"—";"—";"43561 ―";"—";"Участвуете в конкурсе";"1034741";"—"
"18";"3";"—";"—";"46181 ―";"—";"Участвуете в конкурсе";"1040040";"—"
"19";"1";"—";"—";"60831 ―";"—";"Участвуете в конкурсе";"1047243";"—"
"20";"5";"—";"—";"45931 ―";"—";"Участвуете в конкурсе";"1055938";"—"
"21";"3";"—";"—";"51778 ―";"—";"Участвуете в конкурсе";"1077161";"—"
"22";"1";"—";"—";"44000 ―";"—";"Участвуете в конкурсе";"1133942";"—"
"23";"1";"—";"—";"46308 √ ―";"—";"Участвуете в конкурсе";"1139696";"—"
"24";"1";"—";"—";"46362 ―";"—";"Участвуете в конкурсе";"1163577";"—"
"25";"1";"—";"—";"46393 ―";"—";"Участвуете в конкурсе";"1167245";"—"
"26";"3";"—";"—";"46394 ―";"—";"Участвуете в конкурсе";"1167634";"—"
"27";"3";"—";"—";"61064 ―";"—";"Участвуете в конкурсе";"1178521";"—"
"28";"1";"—";"—";"47666 ―";"—";"Участвуете в конкурсе";"1356212";"—"
"29";"1";"—";"—";"49116 ―";"—";"Участвуете в конкурсе";"1561377";"—"
"30";"1";"—";"—";"49650 ―";"—";"Участвуете в конкурсе";"1566137";"—"
"31";"2";"—";"—";"54610 ―";"—";"Участвуете в конкурсе";"1601048";"—"
