"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"Электронное";"286";"- 90 100 86 1";"10";"Участвуете в конкурсе";"1758462";"—"
"2";"1";"Электронное";"277";"- 90 100 82 1";"5";"Участвуете в конкурсе";"1119358";"—"
"3";"4";"Электронное";"267";"- 84 80 93 1";"10";"Участвуете в конкурсе";"1125254";"—"
"4";"9";"Электронное";"266";"- 92 100 74 2";"—";"Участвуете в конкурсе";"972884";"—"
"5";"2";"Электронное";"266";"- 85 82 89";"10";"Участвуете в конкурсе";"1721042";"—"
"6";"2";"—";"241";"- 88 80 73";"—";"Участвуете в конкурсе";"2384232";"—"
"7";"3";"Электронное";"230";"- 76 70 74";"10";"Участвуете в конкурсе";"1018060";"—"
"8";"3";"—";"229";"- 82 90 47";"10";"Участвуете в конкурсе";"957020";"—"
"9";"3";"—";"228";"- 75 66 87";"—";"Участвуете в конкурсе";"2140981";"—"
"10";"7";"—";"225";"- 72 78 75 4";"—";"Участвуете в конкурсе";"1444529";"—"
"11";"2";"—";"222";"- 80 76 66 1";"—";"Участвуете в конкурсе";"1772505";"—"
"12";"11";"—";"219";"- 83 70 66 8";"—";"Участвуете в конкурсе";"1406320";"—"
"13";"9";"—";"218";"- 74 78 66 1";"—";"Участвуете в конкурсе";"1463112";"—"
"14";"2";"—";"209";"- 72 70 67 4";"—";"Участвуете в конкурсе";"1197919";"—"
"15";"4";"—";"209";"- 49 72 78";"10";"Участвуете в конкурсе";"1623086";"—"
"16";"3";"Электронное";"208";"- 71 58 69";"10";"Участвуете в конкурсе";"1324979";"—"
"17";"1";"—";"206";"- 84 60 62";"—";"Участвуете в конкурсе";"981606";"—"
"18";"10";"—";"202";"- 83 58 61 √";"—";"Участвуете в конкурсе";"1728835";"—"
"19";"4";"—";"197";"- 64 64 69";"—";"Участвуете в конкурсе";"1751837";"—"
"20";"5";"—";"192";"- 67 58 67";"—";"Участвуете в конкурсе";"2140448";"—"
"21";"3";"—";"187";"- 46 64 77";"—";"Участвуете в конкурсе";"2340861";"—"
"22";"2";"—";"180";"- 56 64 60";"—";"Участвуете в конкурсе";"1619079";"—"
"23";"4";"—";"179";"- 59 64 56";"—";"Участвуете в конкурсе";"1964755";"—"
"24";"3";"—";"175";"- 58 64 48 √";"5";"Участвуете в конкурсе";"2313871";"—"
"25";"1";"—";"168";"- 55 58 55";"—";"Участвуете в конкурсе";"2092158";"—"
"26";"3";"—";"166";"- 43 64 57 √";"2";"Участвуете в конкурсе";"2261283";"—"
