"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"—";"58937 Без вступительных испытаний Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2393446";"—"
"2";"1";"—";"—";"42980 Без вступительных испытаний Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1726574";"—"
"3";"4";"—";"307";"53595 100 100 97 1";"10";"Участвуете в конкурсе";"1949578";"—"
"4";"5";"Электронное";"305";"46382 100 100 98 1";"7";"Участвуете в конкурсе";"1129565";"—"
"5";"5";"Электронное";"305";"54498 100 95 100 2";"10";"Участвуете в конкурсе";"1268572";"—"
"6";"6";"Электронное";"305";"48660 98 100 97 1";"10";"Участвуете в конкурсе";"1498663";"—"
"7";"2";"Электронное";"305";"54284 98 100 97 1";"10";"Участвуете в конкурсе";"1979616";"—"
"8";"6";"—";"303";"52691 100 99 94 3";"10";"Участвуете в конкурсе";"1353341";"—"
"9";"3";"—";"302";"60309 100 95 97 2";"10";"Участвуете в конкурсе";"2209634";"—"
"10";"5";"—";"299";"48861 98 100 91 1";"10";"Участвуете в конкурсе";"1513158";"—"
"11";"5";"Электронное";"299";"45295 90 100 99 2";"10";"Участвуете в конкурсе";"954532";"—"
"12";"3";"—";"298";"56301 100 99 89 1";"10";"Участвуете в конкурсе";"2230184";"—"
"13";"5";"Электронное";"297";"53373 93 97 97 2";"10";"Участвуете в конкурсе";"1989199";"—"
"14";"5";"Электронное";"296";"52804 96 100 100 11";"—";"Участвуете в конкурсе";"1739395";"—"
"15";"2";"—";"296";"58942 94 95 97 2";"10";"Участвуете в конкурсе";"1185956";"—"
"16";"5";"—";"295";"50017 93 98 94 2";"10";"Участвуете в конкурсе";"1479776";"—"
"17";"6";"Электронное";"294";"49544 96 100 98 1";"—";"Участвуете в конкурсе";"1587217";"—"
"18";"4";"Электронное";"293";"59656 100 100 93 1";"—";"Участвуете в конкурсе";"2411261";"—"
"19";"5";"—";"293";"58924 100 97 86 3";"10";"Участвуете в конкурсе";"1456409";"—"
"20";"6";"—";"293";"48792 95 94 94 5";"10";"Участвуете в конкурсе";"1514243";"—"
"21";"5";"Электронное";"293";"46463 94 100 89 3";"10";"Участвуете в конкурсе";"1123141";"—"
"22";"5";"—";"293";"53348 94 95 94 5";"10";"Участвуете в конкурсе";"1988845";"—"
"23";"5";"Электронное";"292";"52423 93 95 94 1";"10";"Участвуете в конкурсе";"1905508";"—"
"24";"1";"Электронное";"292";"45675 82 100 100 1";"10";"Участвуете в конкурсе";"1016522";"—"
"25";"8";"Электронное";"291";"50314 92 100 99 2";"—";"Участвуете в конкурсе";"1687538";"—"
"26";"1";"Электронное";"291";"57502 100 95 94 1";"2";"Участвуете в конкурсе";"2314414";"—"
"27";"3";"—";"291";"60154 98 100 83 3";"10";"Участвуете в конкурсе";"1509518";"—"
"28";"4";"—";"291";"48369 96 88 97 3";"10";"Участвуете в конкурсе";"1397044";"—"
"29";"3";"—";"291";"46920 94 96 91 3";"10";"Участвуете в конкурсе";"1208985";"—"
"30";"8";"—";"291";"51122 88 100 93 2";"10";"Участвуете в конкурсе";"1619911";"—"
"31";"5";"—";"290";"52177 100 94 86 4";"10";"Участвуете в конкурсе";"1859882";"—"
"32";"5";"Электронное";"290";"54556 88 100 92 1";"10";"Участвуете в конкурсе";"2083640";"—"
"33";"4";"Электронное";"289";"49051 94 100 93 2";"2";"Участвуете в конкурсе";"1508464";"—"
"34";"3";"—";"289";"51012 94 100 85 2";"10";"Участвуете в конкурсе";"1338578";"—"
"35";"3";"—";"289";"50615 90 95 94 3";"10";"Участвуете в конкурсе";"1647747";"—"
"36";"7";"Электронное";"288";"48329 98 100 90 4";"—";"Участвуете в конкурсе";"1442710";"—"
"37";"4";"—";"288";"54024 94 100 94 4";"—";"Участвуете в конкурсе";"2001882";"—"
"38";"2";"—";"287";"55031 100 96 86 1";"5";"Участвуете в конкурсе";"1762901";"—"
"39";"5";"—";"287";"53039 100 88 89 5";"10";"Участвуете в конкурсе";"1911337";"—"
"40";"5";"—";"287";"52884 100 86 91 3";"10";"Участвуете в конкурсе";"1202892";"—"
"41";"4";"—";"287";"56297 98 90 89 4";"10";"Участвуете в конкурсе";"1955616";"—"
"42";"4";"Электронное";"287";"56224 88 98 91 3";"10";"Участвуете в конкурсе";"2232560";"—"
"43";"6";"Электронное";"286";"52605 96 100 90 6";"—";"Участвуете в конкурсе";"1924409";"—"
"44";"1";"—";"286";"50080 100 90 86 1";"10";"Участвуете в конкурсе";"1291410";"—"
"45";"2";"—";"286";"56503 98 92 86 2";"10";"Участвуете в конкурсе";"1785091";"—"
"46";"4";"—";"286";"54008 90 92 94 1";"10";"Участвуете в конкурсе";"2047967";"—"
"47";"6";"—";"285";"53521 90 99 86 5";"10";"Участвуете в конкурсе";"1795014";"—"
"48";"2";"Электронное";"285";"46903 88 96 91 2";"10";"Участвуете в конкурсе";"1200459";"—"
"49";"4";"Электронное";"284";"48766 94 90 100 3";"—";"Участвуете в конкурсе";"994793";"—"
"50";"3";"—";"284";"59859 96 92 86 3";"10";"Участвуете в конкурсе";"2041117";"—"
"51";"6";"—";"284";"49912 90 95 89 1";"10";"Участвуете в конкурсе";"1515128";"—"
"52";"5";"—";"283";"49546 98 94 86 4";"5";"Участвуете в конкурсе";"1616265";"—"
"53";"1";"—";"283";"49456 100 90 83 1";"10";"Участвуете в конкурсе";"1394932";"—"
"54";"5";"—";"283";"47651 98 86 89 5";"10";"Участвуете в конкурсе";"1366170";"—"
"55";"2";"—";"283";"56776 96 94 83 2";"10";"Участвуете в конкурсе";"2262425";"—"
"56";"5";"—";"283";"49914 96 88 89 5";"10";"Участвуете в конкурсе";"1504560";"—"
"57";"3";"—";"283";"50121 94 88 91 2";"10";"Участвуете в конкурсе";"1610191";"—"
"58";"3";"—";"283";"55634 90 97 86 3";"10";"Участвуете в конкурсе";"1415243";"—"
"59";"2";"—";"282";"48234 98 88 94 2";"2";"Участвуете в конкурсе";"1323325";"—"
"60";"3";"—";"282";"52625 100 86 86 3";"10";"Участвуете в конкурсе";"1446996";"—"
"61";"1";"—";"282";"46845 96 90 86 1";"10";"Участвуете в конкурсе";"1204107";"—"
"62";"4";"Электронное";"282";"51968 94 95 83 4";"10";"Участвуете в конкурсе";"1851856";"—"
"63";"3";"—";"282";"49139 90 100 82 3";"10";"Участвуете в конкурсе";"1508782";"—"
"64";"5";"—";"281";"59663 98 100 83 1";"—";"Участвуете в конкурсе";"1272021";"—"
"65";"5";"Электронное";"281";"57588 98 94 89 1";"—";"Участвуете в конкурсе";"2158681";"—"
"66";"5";"Электронное";"281";"46497 86 100 95 3";"—";"Участвуете в конкурсе";"1142666";"—"
"67";"6";"—";"281";"50459 100 96 75 4";"10";"Участвуете в конкурсе";"1364581";"—"
"68";"4";"—";"281";"53866 88 92 91 4";"10";"Участвуете в конкурсе";"2025494";"—"
"69";"4";"—";"281";"59094 88 92 91 2";"10";"Участвуете в конкурсе";"972532";"—"
"70";"5";"—";"281";"49828 85 100 86 2";"10";"Участвуете в конкурсе";"1643785";"—"
"71";"1";"—";"280";"51418 90 90 100 1";"—";"Участвуете в конкурсе";"1154858";"—"
"72";"2";"Электронное";"280";"58185 92 90 88 2";"10";"Участвуете в конкурсе";"1744930";"—"
"73";"2";"—";"279";"57094 96 92 81 2";"10";"Участвуете в конкурсе";"2016777";"—"
"74";"2";"Электронное";"279";"51545 94 86 89 2";"10";"Участвуете в конкурсе";"1701584";"—"
"75";"7";"—";"279";"55238 93 90 86 7";"10";"Участвуете в конкурсе";"1944618";"—"
"76";"5";"—";"279";"48746 88 92 89 5";"10";"Участвуете в конкурсе";"1196534";"—"
"77";"6";"—";"278";"51907 93 86 97 5";"2";"Участвуете в конкурсе";"1845188";"—"
"78";"6";"—";"278";"58558 93 97 83 6";"5";"Участвуете в конкурсе";"2341830";"—"
"79";"3";"Электронное";"278";"59695 98 97 73 1";"10";"Участвуете в конкурсе";"2425070";"—"
"80";"3";"—";"278";"56561 96 86 86 1";"10";"Участвуете в конкурсе";"1871047";"—"
"81";"3";"—";"278";"58484 93 97 78 6";"10";"Участвуете в конкурсе";"2099279";"—"
"82";"6";"—";"278";"59958 92 95 81 2";"10";"Участвуете в конкурсе";"1977074";"—"
"83";"4";"—";"278";"48135 90 84 94 2";"10";"Участвуете в конкурсе";"1419413";"—"
"84";"3";"—";"278";"53678 88 86 94 4";"10";"Участвуете в конкурсе";"1438724";"—"
"85";"3";"—";"278";"52468 85 94 89 √";"10";"Участвуете в конкурсе";"1909232";"—"
"86";"6";"—";"277";"58539 92 100 83 1";"2";"Участвуете в конкурсе";"1865047";"—"
"87";"4";"Электронное";"277";"47492 95 86 86 1";"10";"Участвуете в конкурсе";"1163182";"—"
"88";"5";"Электронное";"277";"60242 83 95 89 5";"10";"Участвуете в конкурсе";"2414987";"—"
"89";"6";"—";"277";"47532 83 90 94 √";"10";"Участвуете в конкурсе";"1307911";"—"
"90";"5";"—";"276";"54090 98 95 81 √";"2";"Участвуете в конкурсе";"2051226";"—"
"91";"5";"—";"276";"57951 96 92 81";"7";"Участвуете в конкурсе";"2217364";"—"
"92";"3";"Электронное";"276";"59172 100 94 72 2";"10";"Участвуете в конкурсе";"2404135";"—"
"93";"2";"—";"276";"49516 95 82 89 √";"10";"Участвуете в конкурсе";"1586859";"—"
"94";"1";"—";"275";"60112 96 98 81 √";"—";"Участвуете в конкурсе";"1640173";"—"
"95";"3";"—";"275";"52604 93 88 89";"5";"Участвуете в конкурсе";"1911712";"—"
"96";"1";"—";"275";"46437 92 97 81";"5";"Участвуете в конкурсе";"1077663";"—"
"97";"1";"—";"275";"53445 96 88 81";"10";"Участвуете в конкурсе";"1941226";"—"
"98";"6";"Электронное";"275";"59935 94 82 89 7";"10";"Участвуете в конкурсе";"1961095";"—"
