"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"Электронное";"266";"- 92 100 74 2";"—";"Участвуете в конкурсе";"972884";"—"
"2";"4";"—";"263";"- 84 80 89 3";"10";"Участвуете в конкурсе";"1375530";"—"
"3";"3";"—";"258";"- 85 74 89 2";"10";"Участвуете в конкурсе";"1715288";"—"
"4";"5";"Электронное";"252";"- 88 100 62 1";"2";"Участвуете в конкурсе";"1181935";"—"
"5";"2";"Электронное";"245";"- 76 86 73 2";"10";"Участвуете в конкурсе";"1091624";"—"
"6";"4";"Электронное";"244";"- 90 72 72 4";"10";"Участвуете в конкурсе";"1818645";"—"
"7";"5";"Электронное";"241";"- 68 76 95 1";"2";"Участвуете в конкурсе";"1913418";"—"
"8";"5";"—";"240";"- 78 84 78 1";"—";"Участвуете в конкурсе";"1200450";"—"
"9";"5";"Электронное";"235";"- 80 72 83 3";"—";"Участвуете в конкурсе";"2220518";"—"
"10";"3";"Электронное";"230";"- 78 80 70 2";"2";"Участвуете в конкурсе";"1651529";"—"
"11";"1";"—";"224";"- 78 82 64 1";"—";"Участвуете в конкурсе";"1850785";"—"
"12";"7";"Электронное";"223";"- 80 72 69 4";"2";"Участвуете в конкурсе";"1646532";"—"
"13";"1";"—";"222";"- 80 76 66 1";"—";"Участвуете в конкурсе";"1772505";"—"
"14";"5";"—";"220";"- 74 78 66 1";"2";"Участвуете в конкурсе";"1463112";"—"
"15";"10";"—";"219";"- 83 70 66 8";"—";"Участвуете в конкурсе";"1406320";"—"
"16";"3";"—";"216";"- 59 76 81 3";"—";"Участвуете в конкурсе";"999910";"—"
"17";"4";"—";"213";"- 78 74 57 1";"4";"Участвуете в конкурсе";"1521091";"—"
"18";"6";"—";"212";"- 59 80 69 4";"4";"Участвуете в конкурсе";"2255280";"—"
"19";"3";"—";"209";"- 70 64 75 1";"—";"Участвуете в конкурсе";"1846326";"—"
"20";"2";"—";"207";"- 59 74 64 1";"10";"Участвуете в конкурсе";"1340210";"—"
"21";"9";"—";"202";"- 83 58 61 √";"—";"Участвуете в конкурсе";"1728835";"—"
"22";"3";"—";"200";"- 70 72 58 1";"—";"Участвуете в конкурсе";"1768840";"—"
"23";"5";"—";"199";"- 64 58 77 4";"—";"Участвуете в конкурсе";"1132161";"—"
"24";"1";"—";"197";"- 78 64 55 2";"—";"Участвуете в конкурсе";"1896953";"—"
"25";"4";"—";"194";"- 68 70 54 5";"2";"Участвуете в конкурсе";"1850083";"—"
"26";"5";"—";"188";"- 62 70 54 √";"2";"Участвуете в конкурсе";"1026442";"—"
"27";"1";"—";"187";"- 46 64 77";"—";"Участвуете в конкурсе";"2340861";"—"
"28";"6";"—";"186";"- 46 80 58 √";"2";"Участвуете в конкурсе";"2258295";"—"
"29";"1";"—";"182";"- 70 58 54";"—";"Участвуете в конкурсе";"1948930";"—"
"30";"4";"Электронное";"182";"- 64 72 46 3";"—";"Участвуете в конкурсе";"2321452";"—"
"31";"4";"—";"179";"- 62 72 45";"—";"Участвуете в конкурсе";"2250719";"—"
"32";"6";"—";"158";"- 46 40 72 √";"—";"Участвуете в конкурсе";"1920752";"—"
"33";"4";"Электронное";"155";"- 51 60 44 1";"—";"Участвуете в конкурсе";"1172712";"—"
"34";"1";"—";"147";"- 46 58 43";"—";"Участвуете в конкурсе";"2363956";"—"
"35";"6";"Электронное";"144";"- 46 52 46 1";"—";"Участвуете в конкурсе";"2081952";"—"
"36";"3";"—";"141";"- 46 52 43";"—";"Участвуете в конкурсе";"1354286";"—"
"37";"3";"—";"140";"- 46 46 48 √";"—";"Участвуете в конкурсе";"2255066";"—"
"38";"6";"Электронное";"133";"- 51 40 42 1";"—";"Участвуете в конкурсе";"1976811";"—"
