"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"—";"—";"10";"- Без вступительных испытаний 10 Нет √";"2";"Участвуете в конкурсе";"2251306";"—"
"2";"1";"—";"2";"- Без вступительных испытаний 2 Да";"4";"Участвуете в конкурсе";"2182092";"—"
"3";"—";"—";"—";"- Без вступительных испытаний Нет";"4";"Участвуете в конкурсе";"1166793";"—"
"4";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"1205117";"—"
"5";"1";"—";"—";"- Без вступительных испытаний Да";"5";"Участвуете в конкурсе";"1417367";"—"
"6";"—";"—";"—";"- Без вступительных испытаний Нет";"5";"Участвуете в конкурсе";"1542584";"—"
"7";"1";"—";"—";"- Без вступительных испытаний Да √";"3";"Участвуете в конкурсе";"1576660";"—"
"8";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"2005718";"—"
"9";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"2127785";"—"
"10";"—";"—";"—";"- Без вступительных испытаний Нет";"2";"Участвуете в конкурсе";"2273899";"—"
"11";"1";"—";"—";"- Без вступительных испытаний Да";"7";"Участвуете в конкурсе";"957234";"—"
"12";"5";"—";"281";"- 98 100 83 1";"—";"Участвуете в конкурсе";"1272021";"—"
"13";"2";"Электронное";"279";"- 94 86 89 2";"10";"Участвуете в конкурсе";"1701584";"—"
"14";"3";"—";"278";"- 85 94 89 √";"10";"Участвуете в конкурсе";"1909232";"—"
"15";"4";"Электронное";"274";"- 85 90 89 1";"10";"Участвуете в конкурсе";"1561934";"—"
"16";"6";"—";"273";"- 90 84 89 3";"10";"Участвуете в конкурсе";"1343659";"—"
"17";"3";"—";"271";"- 85 90 91 5";"5";"Участвуете в конкурсе";"1616542";"—"
"18";"1";"—";"266";"- 85 90 81 5";"10";"Участвуете в конкурсе";"1442377";"—"
"19";"5";"Электронное";"265";"- 93 84 78 2";"10";"Участвуете в конкурсе";"1856935";"—"
"20";"8";"—";"261";"- 78 92 89 √";"2";"Участвуете в конкурсе";"1856516";"—"
"21";"5";"—";"259";"- 78 90 91 3";"—";"Участвуете в конкурсе";"1895511";"—"
"22";"5";"Электронное";"257";"- 82 90 83 1";"2";"Участвуете в конкурсе";"1113163";"—"
"23";"3";"—";"256";"- 80 78 88 √";"10";"Участвуете в конкурсе";"1487716";"—"
"24";"4";"—";"252";"- 77 82 86 1";"7";"Участвуете в конкурсе";"1239066";"—"
"25";"2";"—";"252";"- 86 78 78 4";"10";"Участвуете в конкурсе";"1557108";"—"
"26";"5";"—";"251";"- 86 84 81 √";"—";"Участвуете в конкурсе";"1400831";"—"
"27";"5";"—";"250";"- 83 82 83";"2";"Участвуете в конкурсе";"1318725";"—"
"28";"1";"—";"249";"- 80 90 77";"2";"Участвуете в конкурсе";"1439844";"—"
"29";"7";"—";"249";"- 78 80 89 1";"2";"Участвуете в конкурсе";"1979591";"—"
"30";"3";"Электронное";"249";"- 80 76 83 1";"10";"Участвуете в конкурсе";"1898535";"—"
"31";"5";"Электронное";"244";"- 93 86 63 2";"2";"Участвуете в конкурсе";"1730448";"—"
