"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"9";"—";"296";"52804 96 100 100 Нет";"—";"Участвуете в конкурсе";"1739395";"—"
"2";"6";"—";"294";"49544 96 100 98 Нет";"—";"Участвуете в конкурсе";"1587217";"—"
"3";"6";"—";"293";"46463 94 100 89 Нет";"10";"Участвуете в конкурсе";"1123141";"—"
"4";"3";"—";"291";"46920 94 96 91 Нет";"10";"Участвуете в конкурсе";"1208985";"—"
"5";"4";"—";"289";"49051 94 100 93 Нет";"2";"Участвуете в конкурсе";"1508464";"—"
"6";"9";"—";"288";"48329 98 100 90 Нет";"—";"Участвуете в конкурсе";"1442710";"—"
"7";"1";"—";"286";"50080 100 90 86 Нет";"10";"Участвуете в конкурсе";"1291410";"—"
"8";"6";"—";"286";"52605 96 100 90 Нет";"—";"Участвуете в конкурсе";"1924409";"—"
"9";"2";"—";"285";"46903 88 96 91 Нет";"10";"Участвуете в конкурсе";"1200459";"—"
"10";"6";"—";"285";"53521 90 99 86 Нет";"10";"Участвуете в конкурсе";"1795014";"—"
"11";"1";"—";"282";"46845 96 90 86 Нет";"10";"Участвуете в конкурсе";"1204107";"—"
"12";"3";"—";"282";"49139 90 100 82 Нет";"10";"Участвуете в конкурсе";"1508782";"—"
"13";"1";"—";"280";"51418 90 90 100 Нет";"—";"Участвуете в конкурсе";"1154858";"—"
"14";"3";"—";"278";"58484 93 97 78 Нет";"10";"Участвуете в конкурсе";"2099279";"—"
"15";"1";"—";"278";"58558 93 97 83 Нет";"5";"Участвуете в конкурсе";"2341830";"—"
"16";"8";"—";"275";"50449 82 100 83 Нет";"10";"Участвуете в конкурсе";"1685560";"—"
"17";"5";"—";"273";"57224 90 92 86 Нет";"5";"Участвуете в конкурсе";"2270132";"—"
"18";"2";"—";"272";"48263 90 86 86 Нет";"10";"Участвуете в конкурсе";"1460249";"—"
"19";"5";"—";"272";"50618 98 96 78 Нет";"—";"Участвуете в конкурсе";"1702271";"—"
"20";"1";"—";"272";"53682 83 82 97 Нет";"10";"Участвуете в конкурсе";"2033243";"—"
"21";"5";"—";"271";"51950 85 90 91 Нет";"5";"Участвуете в конкурсе";"1616542";"—"
"22";"2";"—";"270";"48878 93 95 72 Нет";"10";"Участвуете в конкурсе";"1516957";"—"
"23";"1";"—";"269";"50609 100 86 73 Нет";"10";"Участвуете в конкурсе";"1652552";"—"
"24";"4";"—";"269";"53827 98 70 99 Нет";"2";"Участвуете в конкурсе";"2024078";"—"
"25";"2";"—";"268";"47501 83 84 91 Нет";"10";"Участвуете в конкурсе";"1309691";"—"
"26";"4";"—";"268";"47968 88 97 73 Нет";"10";"Участвуете в конкурсе";"1364020";"—"
"27";"4";"—";"267";"49891 90 96 81 Нет";"—";"Участвуете в конкурсе";"1386489";"—"
"28";"4";"—";"267";"53270 90 86 89 Нет";"2";"Участвуете в конкурсе";"1981438";"—"
"29";"11";"—";"266";"48917 84 100 82 Нет";"—";"Участвуете в конкурсе";"1514422";"—"
"30";"1";"—";"266";"57608 88 90 83 Нет";"5";"Участвуете в конкурсе";"2331547";"—"
"31";"1";"—";"265";"52763 90 92 81 Нет";"2";"Участвуете в конкурсе";"1344686";"—"
"32";"6";"—";"265";"47790 88 78 89 Нет";"10";"Участвуете в конкурсе";"1362802";"—"
"33";"1";"—";"265";"52302 90 84 91 Нет";"—";"Участвуете в конкурсе";"1887326";"—"
"34";"5";"—";"263";"50606 78 94 83 Нет";"8";"Участвуете в конкурсе";"1678214";"—"
"35";"4";"—";"262";"60164 83 86 83 Нет";"10";"Участвуете в конкурсе";"1434484";"—"
"36";"6";"—";"262";"45554 80 100 82 Нет";"—";"Участвуете в конкурсе";"981860";"—"
"37";"6";"—";"260";"53805 86 78 86 Нет";"10";"Участвуете в конкурсе";"1984349";"—"
"38";"3";"—";"260";"60014 83 86 81 Нет";"10";"Участвуете в конкурсе";"2315691";"—"
"39";"4";"—";"259";"54623 88 78 83 Нет";"10";"Участвуете в конкурсе";"1292446";"—"
"40";"1";"—";"259";"51890 100 90 69 Нет";"—";"Участвуете в конкурсе";"1845459";"—"
"41";"5";"—";"258";"47765 93 84 81 Нет";"—";"Участвуете в конкурсе";"1358716";"—"
"42";"6";"—";"258";"51689 85 80 83 Нет";"10";"Участвуете в конкурсе";"1725009";"—"
"43";"4";"—";"258";"53513 94 72 92 Нет";"—";"Участвуете в конкурсе";"1995879";"—"
"44";"4";"—";"258";"57699 85 80 83 Нет";"10";"Участвуете в конкурсе";"2301670";"—"
"45";"2";"—";"257";"46112 82 90 83 Нет";"2";"Участвуете в конкурсе";"1113163";"—"
"46";"1";"—";"257";"48386 88 90 69 Нет";"10";"Участвуете в конкурсе";"1439069";"—"
"47";"4";"—";"257";"56713 80 86 81 Нет";"10";"Участвуете в конкурсе";"2100349";"—"
"48";"5";"—";"256";"58943 80 78 88 Нет";"10";"Участвуете в конкурсе";"1487716";"—"
"49";"2";"—";"256";"55228 86 97 73 Нет";"—";"Участвуете в конкурсе";"2071585";"—"
"50";"7";"—";"256";"27065 83 84 89 Нет";"—";"Участвуете в конкурсе";"2413759";"—"
"51";"4";"—";"255";"56637 82 80 89 Нет";"4";"Участвуете в конкурсе";"2056789";"—"
"52";"3";"—";"254";"51262 88 88 78 Нет";"—";"Участвуете в конкурсе";"1779510";"—"
"53";"5";"—";"254";"53036 90 92 70 Нет";"2";"Участвуете в конкурсе";"1958560";"—"
"54";"4";"—";"254";"57199 95 84 73 Нет";"2";"Участвуете в конкурсе";"2269905";"—"
"55";"2";"—";"253";"48724 78 84 81 Нет";"10";"Участвуете в конкурсе";"1533235";"—"
"56";"3";"—";"253";"53009 85 88 78 Нет";"2";"Участвуете в конкурсе";"1957190";"—"
"57";"4";"—";"252";"47806 88 100 62 Нет";"2";"Участвуете в конкурсе";"1181935";"—"
"58";"5";"—";"252";"47460 85 76 81 Нет";"10";"Участвуете в конкурсе";"1288786";"—"
"59";"2";"—";"252";"57933 78 84 83 Нет";"7";"Участвуете в конкурсе";"2002310";"—"
"60";"4";"—";"251";"56229 84 84 73 Нет";"10";"Участвуете в конкурсе";"1482887";"—"
"61";"4";"—";"251";"53515 80 80 81 Нет";"10";"Участвуете в конкурсе";"1597013";"—"
"62";"1";"—";"251";"59202 85 76 83 Нет";"7";"Участвуете в конкурсе";"2402968";"—"
"63";"4";"—";"250";"48581 86 92 72 Нет";"—";"Участвуете в конкурсе";"1383917";"—"
"64";"3";"—";"250";"51246 77 74 89 Нет";"10";"Участвуете в конкурсе";"1778918";"—"
