"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"7";"Электронное";"25";"51160 ―";"25";"Участвуете в конкурсе";"1764095";"—"
"2";"2";"—";"23";"47445 √ ―";"23";"Участвуете в конкурсе";"1360234";"—"
"3";"2";"—";"21";"56845 ―";"21";"Участвуете в конкурсе";"2240953";"—"
"4";"6";"Электронное";"20";"46068 √ ―";"20";"Участвуете в конкурсе";"1094963";"—"
"5";"4";"Электронное";"20";"53227 ―";"20";"Участвуете в конкурсе";"1964128";"—"
"6";"2";"Электронное";"20";"45606 √ ―";"20";"Участвуете в конкурсе";"970500";"—"
"7";"2";"—";"18";"46010 √ ―";"18";"Участвуете в конкурсе";"1088042";"—"
"8";"2";"—";"16";"45802 √ ―";"16";"Участвуете в конкурсе";"1017800";"—"
"9";"6";"Электронное";"15";"46224 √ ―";"15";"Участвуете в конкурсе";"1128539";"—"
"10";"1";"—";"14";"49941 ―";"14";"Участвуете в конкурсе";"1649459";"—"
"11";"4";"—";"14";"56934 √ ―";"14";"Участвуете в конкурсе";"2184400";"—"
"12";"6";"—";"14";"58428 ―";"14";"Участвуете в конкурсе";"2341579";"—"
"13";"2";"—";"12";"54641 ―";"12";"Участвуете в конкурсе";"2099560";"—"
"14";"4";"—";"12";"45677 √ ―";"12";"Участвуете в конкурсе";"973566";"—"
"15";"1";"—";"11";"57235 ―";"11";"Участвуете в конкурсе";"2096594";"—"
"16";"2";"—";"11";"56925 ―";"11";"Участвуете в конкурсе";"2244988";"—"
"17";"15";"—";"10";"45720 √ ―";"10";"Участвуете в конкурсе";"1002753";"—"
"18";"4";"—";"10";"46041 √ ―";"10";"Участвуете в конкурсе";"1092074";"—"
"19";"7";"—";"10";"46047 √ ―";"10";"Участвуете в конкурсе";"1092132";"—"
"20";"4";"—";"10";"46073 √ ―";"10";"Участвуете в конкурсе";"1095989";"—"
"21";"7";"—";"10";"46125 √ ―";"10";"Участвуете в конкурсе";"1107653";"—"
"22";"2";"—";"10";"46180 ―";"10";"Участвуете в конкурсе";"1122833";"—"
"23";"1";"—";"10";"46223 √ ―";"10";"Участвуете в конкурсе";"1127793";"—"
"24";"5";"Электронное";"10";"46519 √ ―";"10";"Участвуете в конкурсе";"1189195";"—"
"25";"3";"—";"10";"60757 √ ―";"10";"Участвуете в конкурсе";"1193598";"—"
"26";"2";"—";"10";"50171 ―";"10";"Участвуете в конкурсе";"1655225";"—"
"27";"1";"—";"10";"51130 ―";"10";"Участвуете в конкурсе";"1749259";"—"
"28";"3";"—";"10";"58398 ―";"10";"Участвуете в конкурсе";"1814986";"—"
"29";"4";"—";"10";"61137 ―";"10";"Участвуете в конкурсе";"1828900";"—"
"30";"2";"Электронное";"10";"51917 ―";"10";"Участвуете в конкурсе";"1851331";"—"
"31";"2";"—";"10";"53132 √ ―";"10";"Участвуете в конкурсе";"1900918";"—"
"32";"5";"—";"10";"60707 ―";"10";"Участвуете в конкурсе";"1972138";"—"
"33";"1";"—";"10";"53462 ―";"10";"Участвуете в конкурсе";"1975350";"—"
"34";"4";"—";"10";"53625 ―";"10";"Участвуете в конкурсе";"1989135";"—"
"35";"3";"—";"10";"54240 ―";"10";"Участвуете в конкурсе";"2053755";"—"
"36";"1";"—";"10";"60698 √ ―";"10";"Участвуете в конкурсе";"2095721";"—"
"37";"2";"—";"10";"54628 ―";"10";"Участвуете в конкурсе";"2101039";"—"
"38";"1";"—";"10";"56296 ―";"10";"Участвуете в конкурсе";"2210187";"—"
"39";"3";"—";"10";"56829 ―";"10";"Участвуете в конкурсе";"2240277";"—"
"40";"3";"—";"10";"56927 ―";"10";"Участвуете в конкурсе";"2246143";"—"
"41";"2";"—";"10";"56986 ―";"10";"Участвуете в конкурсе";"2254219";"—"
"42";"2";"—";"10";"57193 √ ―";"10";"Участвуете в конкурсе";"2268720";"—"
"43";"5";"—";"10";"57294 √ ―";"10";"Участвуете в конкурсе";"2269674";"—"
"44";"6";"—";"10";"60348 ―";"10";"Участвуете в конкурсе";"2303218";"—"
"45";"1";"Электронное";"10";"59282 ―";"10";"Участвуете в конкурсе";"2381172";"—"
"46";"4";"Электронное";"10";"59533 ―";"10";"Участвуете в конкурсе";"2410118";"—"
"47";"6";"—";"10";"60989 √ ―";"10";"Участвуете в конкурсе";"2425320";"—"
"48";"6";"—";"10";"60662 ―";"10";"Участвуете в конкурсе";"2426250";"—"
"49";"6";"—";"10";"60674 ―";"10";"Участвуете в конкурсе";"2426328";"—"
"50";"2";"—";"10";"60721 ―";"10";"Участвуете в конкурсе";"2427577";"—"
"51";"3";"—";"10";"60856 √ ―";"10";"Участвуете в конкурсе";"2450401";"—"
"52";"1";"—";"10";"60927 ―";"10";"Участвуете в конкурсе";"2459077";"—"
"53";"1";"—";"10";"47150 √ ―";"10";"Участвуете в конкурсе";"967712";"—"
"54";"3";"—";"10";"45700 ―";"10";"Участвуете в конкурсе";"978776";"—"
"55";"1";"—";"9";"54235 ―";"9";"Участвуете в конкурсе";"2052169";"—"
"56";"6";"—";"8";"54601 ―";"8";"Участвуете в конкурсе";"2099772";"—"
"57";"2";"—";"7";"54957 ―";"7";"Участвуете в конкурсе";"2101783";"—"
"58";"4";"Электронное";"5";"46070 √ ―";"5";"Участвуете в конкурсе";"1095355";"—"
"59";"6";"—";"4";"54247 √ ―";"4";"Участвуете в конкурсе";"2056380";"—"
"60";"1";"—";"3";"51104 √ ―";"3";"Участвуете в конкурсе";"1743361";"—"
"61";"1";"—";"3";"51954 ―";"3";"Участвуете в конкурсе";"1842695";"—"
"62";"1";"Электронное";"3";"51947 ―";"3";"Участвуете в конкурсе";"1842888";"—"
