"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"10";"46215 √ ―";"10";"Участвуете в конкурсе";"1042342";"—"
"2";"2";"—";"10";"46220 ―";"10";"Участвуете в конкурсе";"1043403";"—"
"3";"3";"—";"10";"40670 ―";"10";"Участвуете в конкурсе";"1612810";"—"
"4";"1";"—";"10";"51130 ―";"10";"Участвуете в конкурсе";"1749259";"—"
"5";"1";"—";"10";"52700 ―";"10";"Участвуете в конкурсе";"1931222";"—"
"6";"1";"—";"10";"52702 ―";"10";"Участвуете в конкурсе";"1932160";"—"
"7";"2";"—";"10";"60825 ―";"10";"Участвуете в конкурсе";"2444044";"—"
"8";"2";"—";"3";"49060 ―";"3";"Участвуете в конкурсе";"1560843";"—"
"9";"2";"—";"3";"56959 ―";"3";"Участвуете в конкурсе";"2229544";"—"
"10";"4";"—";"1";"53493 ―";"1";"Участвуете в конкурсе";"1976234";"—"
"11";"5";"—";"1";"55765 √ ―";"1";"Участвуете в конкурсе";"2170172";"—"
"12";"1";"—";"—";"38741 ―";"—";"Участвуете в конкурсе";"1024106";"—"
"13";"3";"—";"—";"46212 ―";"—";"Участвуете в конкурсе";"1041323";"—"
"14";"2";"—";"—";"60831 ―";"—";"Участвуете в конкурсе";"1047243";"—"
"15";"1";"—";"—";"45872 ―";"—";"Участвуете в конкурсе";"1051700";"—"
"16";"2";"—";"—";"45874 ―";"—";"Участвуете в конкурсе";"1053090";"—"
"17";"3";"—";"—";"50341 ―";"—";"Участвуете в конкурсе";"1055928";"—"
"18";"4";"—";"—";"45931 ―";"—";"Участвуете в конкурсе";"1055938";"—"
"19";"2";"—";"—";"51778 ―";"—";"Участвуете в конкурсе";"1077161";"—"
"20";"2";"—";"—";"46063 √ ―";"—";"Участвуете в конкурсе";"1092660";"—"
"21";"2";"—";"—";"46119 ―";"—";"Участвуете в конкурсе";"1104390";"—"
"22";"3";"—";"—";"46335 √ ―";"—";"Участвуете в конкурсе";"1150390";"—"
"23";"3";"—";"—";"46357 ―";"—";"Участвуете в конкурсе";"1157854";"—"
"24";"4";"—";"—";"46394 ―";"—";"Участвуете в конкурсе";"1167634";"—"
"25";"2";"—";"—";"47870 ―";"—";"Участвуете в конкурсе";"1186046";"—"
"26";"1";"—";"—";"46579 ―";"—";"Участвуете в конкурсе";"1199302";"—"
"27";"2";"—";"—";"46941 ―";"—";"Участвуете в конкурсе";"1223905";"—"
"28";"2";"—";"—";"61047 ―";"—";"Участвуете в конкурсе";"1272504";"—"
"29";"3";"—";"—";"51744 ―";"—";"Участвуете в конкурсе";"1280563";"—"
"30";"2";"—";"—";"61011 ―";"—";"Участвуете в конкурсе";"1405035";"—"
"31";"6";"—";"—";"60748 ―";"—";"Участвуете в конкурсе";"1410548";"—"
"32";"2";"—";"—";"48669 ―";"—";"Участвуете в конкурсе";"1500710";"—"
"33";"2";"—";"—";"48871 ―";"—";"Участвуете в конкурсе";"1522290";"—"
"34";"3";"—";"—";"59299 ―";"—";"Участвуете в конкурсе";"1546213";"—"
"35";"3";"—";"—";"49203 ―";"—";"Участвуете в конкурсе";"1611941";"—"
"36";"3";"—";"—";"49616 ―";"—";"Участвуете в конкурсе";"1618376";"—"
"37";"3";"—";"—";"50203 ―";"—";"Участвуете в конкурсе";"1659883";"—"
"38";"3";"—";"—";"53014 ―";"—";"Участвуете в конкурсе";"1673535";"—"
"39";"2";"—";"—";"59310 √ ―";"—";"Участвуете в конкурсе";"1691192";"—"
