"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"—";"56798 Без вступительных испытаний Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2098111";"—"
"2";"2";"—";"310";"48578 100 100 100 1";"10";"Участвуете в конкурсе";"1435158";"—"
"3";"3";"Электронное";"310";"48802 100 100 100 1";"10";"Участвуете в конкурсе";"1537303";"—"
"4";"3";"—";"309";"47775 100 100 99 1";"10";"Участвуете в конкурсе";"1394975";"—"
"5";"4";"Электронное";"305";"54498 100 95 100 2";"10";"Участвуете в конкурсе";"1268572";"—"
"6";"3";"Электронное";"304";"48494 100 100 94 1";"10";"Участвуете в конкурсе";"1469884";"—"
"7";"4";"Электронное";"302";"45856 98 100 94 1";"10";"Участвуете в конкурсе";"1055505";"—"
"8";"4";"Электронное";"301";"46293 94 100 97 1";"10";"Участвуете в конкурсе";"1140508";"—"
"9";"3";"—";"300";"46588 98 100 92 2";"10";"Участвуете в конкурсе";"1180515";"—"
"10";"2";"Электронное";"297";"50032 100 100 87 2";"10";"Участвуете в конкурсе";"1637515";"—"
"11";"2";"Электронное";"296";"45272 98 100 98 2";"—";"Участвуете в конкурсе";"965566";"—"
"12";"3";"Электронное";"296";"53100 100 100 94 2";"2";"Участвуете в конкурсе";"1964750";"—"
"13";"2";"Электронное";"296";"48557 94 100 92 2";"10";"Участвуете в конкурсе";"1482022";"—"
"14";"4";"—";"296";"58942 94 95 97 2";"10";"Участвуете в конкурсе";"1185956";"—"
"15";"2";"—";"296";"47513 90 100 96 1";"10";"Участвуете в конкурсе";"994950";"—"
"16";"3";"Электронное";"295";"45578 98 100 97 2";"—";"Участвуете в конкурсе";"982352";"—"
"17";"1";"Электронное";"294";"49544 96 100 98 1";"—";"Участвуете в конкурсе";"1587217";"—"
"18";"2";"—";"294";"52280 84 100 100 2";"10";"Участвуете в конкурсе";"1721857";"—"
"19";"1";"Электронное";"292";"51264 96 100 96 1";"—";"Участвуете в конкурсе";"1711415";"—"
"20";"1";"Электронное";"292";"52882 96 100 96 1";"—";"Участвуете в конкурсе";"1954439";"—"
"21";"4";"—";"292";"38280 84 100 98 3";"10";"Участвуете в конкурсе";"1578911";"—"
"22";"3";"Электронное";"291";"50314 92 100 99 2";"—";"Участвуете в конкурсе";"1687538";"—"
"23";"3";"—";"291";"51122 88 100 93 2";"10";"Участвуете в конкурсе";"1619911";"—"
"24";"7";"Электронное";"289";"45518 96 100 83 1";"10";"Участвуете в конкурсе";"975065";"—"
"25";"5";"—";"289";"58381 96 92 91 6";"10";"Участвуете в конкурсе";"2178759";"—"
"26";"9";"—";"289";"51012 94 100 85 2";"10";"Участвуете в конкурсе";"1338578";"—"
"27";"2";"Электронное";"288";"48329 98 100 90 4";"—";"Участвуете в конкурсе";"1442710";"—"
"28";"2";"Электронное";"288";"51037 98 100 90 2";"—";"Участвуете в конкурсе";"1760107";"—"
"29";"4";"Электронное";"288";"48184 96 100 92 3";"—";"Участвуете в конкурсе";"1425749";"—"
"30";"2";"Электронное";"288";"45973 86 100 92 2";"10";"Участвуете в конкурсе";"1077482";"—"
"31";"2";"Электронное";"287";"41187 98 90 99 1";"—";"Участвуете в конкурсе";"965358";"—"
"32";"7";"Электронное";"287";"46029 94 90 93 5";"10";"Участвуете в конкурсе";"964483";"—"
"33";"2";"—";"286";"46088 100 90 96";"—";"Участвуете в конкурсе";"1107721";"—"
"34";"3";"—";"286";"47183 92 100 91";"3";"Участвуете в конкурсе";"1257965";"—"
"35";"1";"Электронное";"286";"51471 90 100 86 1";"10";"Участвуете в конкурсе";"1758462";"—"
"36";"8";"—";"285";"53521 90 99 86 5";"10";"Участвуете в конкурсе";"1795014";"—"
"37";"1";"—";"284";"50450 94 100 88 √";"2";"Участвуете в конкурсе";"1652339";"—"
"38";"6";"—";"284";"46320 82 100 100";"2";"Участвуете в конкурсе";"1146076";"—"
"39";"4";"—";"284";"57402 93 92 89 √";"10";"Участвуете в конкурсе";"2315605";"—"
"40";"3";"Электронное";"284";"50672 90 100 84 1";"10";"Участвуете в конкурсе";"1696954";"—"
"41";"7";"—";"283";"55634 90 97 86 3";"10";"Участвуете в конкурсе";"1415243";"—"
"42";"1";"Электронное";"282";"53124 96 90 96 1";"—";"Участвуете в конкурсе";"1971020";"—"
"43";"1";"—";"282";"50474 92 90 100 √";"—";"Участвуете в конкурсе";"1652439";"—"
"44";"8";"—";"282";"49139 90 100 82 3";"10";"Участвуете в конкурсе";"1508782";"—"
"45";"4";"—";"282";"49362 90 96 86";"10";"Участвуете в конкурсе";"1574092";"—"
"46";"1";"Электронное";"282";"50416 90 90 92";"10";"Участвуете в конкурсе";"1633770";"—"
"47";"4";"—";"281";"57086 92 100 89";"—";"Участвуете в конкурсе";"2268213";"—"
"48";"1";"—";"281";"60302 88 97 91";"5";"Участвуете в конкурсе";"2421144";"—"
"49";"1";"Электронное";"280";"44976 94 100 86";"—";"Участвуете в конкурсе";"1256067";"—"
"50";"1";"Электронное";"280";"30971 94 80 96";"10";"Участвуете в конкурсе";"1106379";"—"
"51";"9";"Электронное";"280";"58185 92 90 88 2";"10";"Участвуете в конкурсе";"1744930";"—"
"52";"6";"Электронное";"280";"56222 86 100 84 5";"10";"Участвуете в конкурсе";"2226077";"—"
"53";"6";"—";"279";"55238 93 90 86 7";"10";"Участвуете в конкурсе";"1944618";"—"
"54";"1";"Электронное";"279";"48121 90 80 99 4";"10";"Участвуете в конкурсе";"1419300";"—"
"55";"4";"—";"279";"46819 83 97 89 √";"10";"Участвуете в конкурсе";"1215711";"—"
"56";"2";"Электронное";"278";"31347 84 100 94 1";"—";"Участвуете в конкурсе";"986239";"—"
"57";"6";"—";"278";"50074 80 100 98 2";"—";"Участвуете в конкурсе";"1646768";"—"
"58";"5";"Электронное";"278";"59695 98 97 73 1";"10";"Участвуете в конкурсе";"2425070";"—"
"59";"2";"Электронное";"278";"45910 93 86 89 5";"10";"Участвуете в конкурсе";"1066910";"—"
"60";"1";"—";"278";"57099 86 86 96";"10";"Участвуете в конкурсе";"1952182";"—"
"61";"2";"—";"278";"57390 80 88 100";"10";"Участвуете в конкурсе";"2315448";"—"
"62";"1";"Электронное";"277";"50673 90 100 87 2";"—";"Участвуете в конкурсе";"1455892";"—"
"63";"3";"—";"277";"36305 90 100 87";"—";"Участвуете в конкурсе";"1787837";"—"
"64";"6";"—";"277";"51103 100 78 89 √";"10";"Участвуете в конкурсе";"1748566";"—"
"65";"7";"—";"277";"54280 86 90 91 5";"10";"Участвуете в конкурсе";"2069703";"—"
"66";"4";"Электронное";"277";"60242 83 95 89 5";"10";"Участвуете в конкурсе";"2414987";"—"
"67";"5";"—";"277";"47532 83 90 94 √";"10";"Участвуете в конкурсе";"1307911";"—"
"68";"3";"—";"277";"60036 81 86 100";"10";"Участвуете в конкурсе";"2386403";"—"
"69";"2";"Электронное";"276";"30373 90 100 86";"—";"Участвуете в конкурсе";"1201390";"—"
"70";"2";"Электронное";"276";"45216 94 80 92 3";"10";"Участвуете в конкурсе";"942734";"—"
"71";"4";"—";"275";"53688 99 82 94";"—";"Участвуете в конкурсе";"1979346";"—"
"72";"4";"Электронное";"275";"45551 96 90 89 3";"—";"Участвуете в конкурсе";"981713";"—"
"73";"5";"—";"275";"50496 90 94 86";"5";"Участвуете в конкурсе";"1473788";"—"
"74";"2";"Электронное";"275";"59935 94 82 89 7";"10";"Участвуете в конкурсе";"1961095";"—"
"75";"4";"Электронное";"275";"50449 82 100 83 10";"10";"Участвуете в конкурсе";"1685560";"—"
"76";"7";"—";"274";"48680 98 90 86 2";"—";"Участвуете в конкурсе";"1494678";"—"
"77";"8";"Электронное";"274";"51748 84 90 100 2";"—";"Участвуете в конкурсе";"1485737";"—"
"78";"2";"—";"274";"57494 98 88 83 √";"5";"Участвуете в конкурсе";"2323498";"—"
"79";"8";"—";"274";"52612 90 88 86";"10";"Участвуете в конкурсе";"1215320";"—"
"80";"3";"Электронное";"273";"45306 96 90 87";"—";"Участвуете в конкурсе";"964596";"—"
"81";"2";"Электронное";"273";"49842 76 100 97";"—";"Участвуете в конкурсе";"1557828";"—"
"82";"6";"—";"273";"48686 94 96 81 2";"2";"Участвуете в конкурсе";"1351892";"—"
"83";"3";"Электронное";"273";"56602 90 100 73";"10";"Участвуете в конкурсе";"2244402";"—"
"84";"2";"—";"273";"60251 90 90 83";"10";"Участвуете в конкурсе";"2342462";"—"
"85";"2";"—";"273";"59048 83 86 94 √";"10";"Участвуете в конкурсе";"2385320";"—"
"86";"4";"—";"272";"52813 96 100 76";"—";"Участвуете в конкурсе";"1943463";"—"
"87";"4";"—";"272";"60359 95 88 89 √";"—";"Участвуете в конкурсе";"2424028";"—"
"88";"3";"—";"272";"55435 90 96 86 √";"—";"Участвуете в конкурсе";"2056045";"—"
"89";"4";"—";"272";"54196 86 100 86 √";"—";"Участвуете в конкурсе";"1852957";"—"
"90";"3";"Электронное";"272";"53718 94 100 68";"10";"Участвуете в конкурсе";"1997122";"—"
"91";"3";"Электронное";"272";"53885 90 90 82";"10";"Участвуете в конкурсе";"2038564";"—"
"92";"2";"—";"272";"47158 86 82 94";"10";"Участвуете в конкурсе";"1258941";"—"
"93";"1";"—";"272";"50146 83 88 91";"10";"Участвуете в конкурсе";"1367371";"—"
"94";"2";"—";"272";"46414 80 100 82";"10";"Участвуете в конкурсе";"1165946";"—"
"95";"5";"—";"271";"47042 93 92 86 1";"—";"Участвуете в конкурсе";"1278639";"—"
"96";"7";"—";"271";"47337 92 86 83 √";"10";"Участвуете в конкурсе";"1293038";"—"
"97";"9";"—";"271";"48994 83 92 86 1";"10";"Участвуете в конкурсе";"1531094";"—"
"98";"1";"—";"270";"46948 96 90 84";"—";"Участвуете в конкурсе";"1036435";"—"
"99";"3";"—";"270";"45995 80 92 93";"5";"Участвуете в конкурсе";"1078678";"—"
"100";"5";"—";"270";"58438 90 88 82";"10";"Участвуете в конкурсе";"2260519";"—"
"101";"1";"—";"270";"51361 88 100 72";"10";"Участвуете в конкурсе";"1767421";"—"
"102";"2";"—";"269";"53650 82 98 89 √";"—";"Участвуете в конкурсе";"2005179";"—"
"103";"6";"—";"269";"55523 88 88 91 1";"2";"Участвуете в конкурсе";"1212501";"—"
"104";"1";"—";"269";"26761 98 74 87 √";"10";"Участвуете в конкурсе";"980713";"—"
"105";"4";"—";"269";"59160 92 92 75";"10";"Участвуете в конкурсе";"2310248";"—"
"106";"3";"Электронное";"268";"52757 91 88 89 1";"—";"Участвуете в конкурсе";"1931254";"—"
"107";"1";"—";"268";"51220 86 100 82";"—";"Участвуете в конкурсе";"1778914";"—"
"108";"1";"Электронное";"268";"45680 78 90 100";"—";"Участвуете в конкурсе";"1015700";"—"
"109";"2";"—";"268";"52725 85 90 83 9";"10";"Участвуете в конкурсе";"1520109";"—"
"110";"2";"—";"267";"45340 100 90 77";"—";"Участвуете в конкурсе";"958218";"—"
"111";"3";"—";"267";"54166 94 90 83";"—";"Участвуете в конкурсе";"2054306";"—"
"112";"1";"Электронное";"267";"46191 92 100 75";"—";"Участвуете в конкурсе";"1126654";"—"
"113";"1";"—";"267";"40016 85 86 96";"—";"Участвуете в конкурсе";"2391909";"—"
"114";"1";"Электронное";"267";"55822 82 100 85";"—";"Участвуете в конкурсе";"2173709";"—"
"115";"6";"—";"267";"52139 92 86 83 9";"6";"Участвуете в конкурсе";"1876699";"—"
"116";"4";"—";"267";"47061 92 90 75 √";"10";"Участвуете в конкурсе";"1257507";"—"
"117";"2";"—";"267";"59639 90 80 87";"10";"Участвуете в конкурсе";"2384657";"—"
"118";"2";"—";"267";"47491 88 80 89";"10";"Участвуете в конкурсе";"1310248";"—"
"119";"5";"—";"267";"50674 84 84 89";"10";"Участвуете в конкурсе";"1676767";"—"
"120";"5";"Электронное";"267";"46464 84 80 93 1";"10";"Участвуете в конкурсе";"1125254";"—"
"121";"2";"—";"267";"58998 82 86 89";"10";"Участвуете в конкурсе";"2388974";"—"
"122";"2";"—";"266";"48917 84 100 82 9";"—";"Участвуете в конкурсе";"1514422";"—"
"123";"3";"—";"266";"54355 85 90 81 5";"10";"Участвуете в конкурсе";"1442377";"—"
"124";"1";"Электронное";"266";"60040 83 82 91";"10";"Участвуете в конкурсе";"2407883";"—"
"125";"1";"—";"266";"45839 78 90 88";"10";"Участвуете в конкурсе";"1042285";"—"
"126";"3";"—";"265";"52763 90 92 81";"2";"Участвуете в конкурсе";"1344686";"—"
"127";"3";"—";"265";"46852 90 82 83 √";"10";"Участвуете в конкурсе";"1212298";"—"
"128";"2";"—";"265";"54673 84 90 81";"10";"Участвуете в конкурсе";"2090262";"—"
"129";"3";"—";"265";"60274 78 92 85 5";"10";"Участвуете в конкурсе";"2416216";"—"
"130";"2";"—";"264";"49596 100 100 64 √";"—";"Участвуете в конкурсе";"1588109";"—"
"131";"1";"Электронное";"264";"45314 92 90 82";"—";"Участвуете в конкурсе";"962153";"—"
"132";"3";"—";"264";"53947 88 80 96";"—";"Участвуете в конкурсе";"1610954";"—"
"133";"1";"Электронное";"264";"52026 86 100 78";"—";"Участвуете в конкурсе";"1854948";"—"
"134";"8";"—";"264";"48387 88 94 72 5";"10";"Участвуете в конкурсе";"1445600";"—"
"135";"4";"—";"263";"28418 88 92 83";"—";"Участвуете в конкурсе";"2272381";"—"
"136";"5";"—";"263";"48565 80 92 91";"—";"Участвуете в конкурсе";"1463352";"—"
"137";"5";"Электронное";"263";"51807 85 90 86 2";"2";"Участвуете в конкурсе";"1647955";"—"
"138";"4";"Электронное";"262";"45554 80 100 82 9";"—";"Участвуете в конкурсе";"981860";"—"
"139";"4";"—";"262";"58711 75 96 91";"—";"Участвуете в конкурсе";"1454430";"—"
"140";"1";"Электронное";"262";"51636 74 90 98";"—";"Участвуете в конкурсе";"1415964";"—"
"141";"3";"—";"262";"58599 92 88 72";"10";"Участвуете в конкурсе";"1833823";"—"
"142";"2";"—";"262";"54274 86 80 86 5";"10";"Участвуете в конкурсе";"2064361";"—"
"143";"1";"Электронное";"262";"45317 80 90 82";"10";"Участвуете в конкурсе";"962408";"—"
"144";"3";"—";"262";"58511 78 88 86";"10";"Участвуете в конкурсе";"2342949";"—"
"145";"3";"—";"261";"55521 90 82 89";"—";"Участвуете в конкурсе";"2180475";"—"
"146";"3";"Электронное";"261";"46225 94 70 87";"10";"Участвуете в конкурсе";"1131694";"—"
"147";"4";"—";"261";"58600 82 86 83";"10";"Участвуете в конкурсе";"969360";"—"
"148";"3";"Электронное";"260";"36927 90 100 70";"—";"Участвуете в конкурсе";"1352886";"—"
"149";"2";"—";"260";"52155 85 86 89";"—";"Участвуете в конкурсе";"1562623";"—"
"150";"1";"—";"260";"56073 85 84 91";"—";"Участвуете в конкурсе";"1821225";"—"
"151";"1";"—";"260";"45947 80 100 80";"—";"Участвуете в конкурсе";"1078257";"—"
"152";"7";"Электронное";"260";"50653 85 95 70 1";"10";"Участвуете в конкурсе";"1680671";"—"
"153";"5";"Электронное";"260";"53077 78 100 72";"10";"Участвуете в конкурсе";"1563897";"—"
"154";"2";"—";"260";"22272 78 86 86";"10";"Участвуете в конкурсе";"1628824";"—"
"155";"7";"—";"260";"47656 77 82 91 3";"10";"Участвуете в конкурсе";"1365866";"—"
"156";"7";"—";"260";"60092 72 84 94";"10";"Участвуете в конкурсе";"1818867";"—"
"157";"1";"—";"259";"49319 93 86 80";"—";"Участвуете в конкурсе";"1125940";"—"
"158";"1";"—";"259";"56030 77 86 89 6";"7";"Участвуете в конкурсе";"2217995";"—"
"159";"7";"—";"259";"58289 88 88 73";"10";"Участвуете в конкурсе";"1627803";"—"
"160";"3";"—";"259";"59237 80 78 91";"10";"Участвуете в конкурсе";"2398773";"—"
"161";"2";"—";"258";"53121 95 72 91";"—";"Участвуете в конкурсе";"1970609";"—"
"162";"2";"Электронное";"258";"51896 94 92 72 6";"—";"Участвуете в конкурсе";"1618354";"—"
"163";"3";"—";"258";"55965 84 88 86";"—";"Участвуете в конкурсе";"2219138";"—"
"164";"7";"—";"258";"59235 90 88 78 4";"2";"Участвуете в конкурсе";"2124780";"—"
"165";"2";"—";"258";"59706 82 88 78 √";"10";"Участвуете в конкурсе";"1186855";"—"
"166";"3";"—";"257";"47120 95 95 67 √";"—";"Участвуете в конкурсе";"1192837";"—"
"167";"4";"—";"257";"60435 80 86 91 √";"—";"Участвуете в конкурсе";"1937923";"—"
"168";"2";"—";"257";"57119 80 86 91";"—";"Участвуете в конкурсе";"2269268";"—"
"169";"1";"—";"257";"45604 85 76 91";"5";"Участвуете в конкурсе";"999165";"—"
"170";"7";"—";"257";"57759 88 84 75 √";"10";"Участвуете в конкурсе";"2183533";"—"
"171";"3";"—";"257";"56245 82 84 81";"10";"Участвуете в конкурсе";"2234223";"—"
"172";"4";"—";"257";"53667 80 76 91";"10";"Участвуете в конкурсе";"1990610";"—"
"173";"2";"—";"256";"58689 89 74 93";"—";"Участвуете в конкурсе";"2273508";"—"
"174";"3";"Электронное";"256";"53802 86 100 70";"—";"Участвуете в конкурсе";"1980994";"—"
"175";"2";"—";"256";"27065 83 84 89";"—";"Участвуете в конкурсе";"2413759";"—"
"176";"1";"Электронное";"256";"45776 76 100 80 2";"—";"Участвуете в конкурсе";"1040711";"—"
"177";"1";"—";"256";"45601 94 70 82";"10";"Участвуете в конкурсе";"994044";"—"
"178";"5";"—";"256";"48380 73 84 89";"10";"Участвуете в конкурсе";"1441942";"—"
"179";"4";"—";"255";"54488 78 86 91";"—";"Участвуете в конкурсе";"1196767";"—"
"180";"3";"—";"255";"47892 86 90 69";"10";"Участвуете в конкурсе";"1354486";"—"
"181";"1";"—";"255";"50651 82 90 73";"10";"Участвуете в конкурсе";"1465408";"—"
"182";"4";"—";"255";"57556 82 82 81 √";"10";"Участвуете в конкурсе";"2262279";"—"
"183";"2";"—";"255";"56177 78 84 83";"10";"Участвуете в конкурсе";"2231253";"—"
"184";"7";"—";"255";"50722 78 82 85";"10";"Участвуете в конкурсе";"1435546";"—"
"185";"1";"—";"254";"45406 90 90 74 √";"—";"Участвуете в конкурсе";"978894";"—"
"186";"2";"—";"254";"51262 88 88 78";"—";"Участвуете в конкурсе";"1779510";"—"
"187";"1";"—";"254";"59657 85 82 87";"—";"Участвуете в конкурсе";"975981";"—"
"188";"5";"—";"254";"51121 83 80 91";"—";"Участвуете в конкурсе";"1767325";"—"
"189";"4";"—";"254";"57199 95 84 73";"2";"Участвуете в конкурсе";"2269905";"—"
"190";"2";"—";"254";"47851 88 84 72 √";"10";"Участвуете в конкурсе";"1287482";"—"
"191";"2";"—";"254";"54552 85 84 75";"10";"Участвуете в конкурсе";"2076438";"—"
"192";"4";"—";"254";"56333 83 80 81 √";"10";"Участвуете в конкурсе";"1191335";"—"
"193";"1";"—";"253";"49608 92 100 61";"—";"Участвуете в конкурсе";"1529529";"—"
"194";"4";"—";"253";"45610 80 100 73 √";"—";"Участвуете в конкурсе";"980171";"—"
"195";"4";"—";"253";"45362 78 74 91";"10";"Участвуете в конкурсе";"969583";"—"
"196";"2";"—";"253";"56291 70 82 91 √";"10";"Участвуете в конкурсе";"2229961";"—"
"197";"4";"Электронное";"252";"45294 80 90 82";"—";"Участвуете в конкурсе";"962334";"—"
"198";"2";"—";"252";"56874 80 86 86";"—";"Участвуете в конкурсе";"2250202";"—"
"199";"1";"—";"252";"57299 75 86 91 √";"—";"Участвуете в конкурсе";"2227313";"—"
"200";"1";"Электронное";"252";"55818 85 82 75";"10";"Участвуете в конкурсе";"2201554";"—"
"201";"1";"—";"252";"60229 85 76 81";"10";"Участвуете в конкурсе";"2420325";"—"
"202";"1";"—";"251";"56585 86 80 85 √";"—";"Участвуете в конкурсе";"2252598";"—"
"203";"4";"—";"251";"38197 83 82 86";"—";"Участвуете в конкурсе";"2412765";"—"
"204";"3";"—";"251";"46231 81 72 98";"—";"Участвуете в конкурсе";"1131316";"—"
"205";"7";"—";"251";"60280 78 86 87 √";"—";"Участвуете в конкурсе";"2417297";"—"
"206";"4";"—";"251";"55899 90 86 73";"2";"Участвуете в конкурсе";"2168415";"—"
"207";"5";"—";"251";"47688 90 84 75 √";"2";"Участвуете в конкурсе";"1338441";"—"
"208";"7";"—";"251";"56229 84 84 73";"10";"Участвуете в конкурсе";"1482887";"—"
"209";"5";"—";"250";"52667 98 80 72";"—";"Участвуете в конкурсе";"1926376";"—"
"210";"7";"—";"250";"53302 100 100 48";"2";"Участвуете в конкурсе";"1988719";"—"
"211";"6";"—";"250";"57877 83 84 81";"2";"Участвуете в конкурсе";"2213290";"—"
"212";"9";"—";"250";"56305 84 84 72 √";"10";"Участвуете в конкурсе";"1092864";"—"
"213";"2";"—";"250";"45416 83 82 75 √";"10";"Участвуете в конкурсе";"984407";"—"
"214";"4";"—";"250";"51246 77 74 89 √";"10";"Участвуете в конкурсе";"1778918";"—"
"215";"3";"—";"250";"51306 70 84 86 √";"10";"Участвуете в конкурсе";"1784449";"—"
"216";"6";"—";"249";"48579 88 94 67";"—";"Участвуете в конкурсе";"1440113";"—"
"217";"3";"—";"249";"7637 80 82 87 √";"—";"Участвуете в конкурсе";"2347421";"—"
"218";"5";"—";"249";"51664 86 78 75 √";"10";"Участвуете в конкурсе";"1600568";"—"
"219";"2";"—";"249";"49352 70 86 83 √";"10";"Участвуете в конкурсе";"1517501";"—"
"220";"2";"—";"249";"6380 68 78 93";"10";"Участвуете в конкурсе";"987490";"—"
"221";"2";"—";"248";"46206 91 76 81";"—";"Участвуете в конкурсе";"1127099";"—"
"222";"7";"—";"248";"60066 84 92 70 √";"2";"Участвуете в конкурсе";"1086890";"—"
"223";"6";"—";"248";"31711 80 72 91";"5";"Участвуете в конкурсе";"959533";"—"
"224";"2";"—";"248";"45694 92 72 74";"10";"Участвуете в конкурсе";"1019171";"—"
"225";"1";"Электронное";"248";"50370 80 100 58";"10";"Участвуете в конкурсе";"1688805";"—"
"226";"8";"—";"248";"57559 77 86 75";"10";"Участвуете в конкурсе";"1852289";"—"
"227";"4";"Электронное";"247";"51189 92 70 85";"—";"Участвуете в конкурсе";"1773871";"—"
"228";"7";"—";"247";"10213 72 84 81 √";"10";"Участвуете в конкурсе";"2005413";"—"
"229";"2";"—";"246";"60308 85 80 81";"—";"Участвуете в конкурсе";"2422024";"—"
"230";"8";"—";"246";"52278 83 90 73";"—";"Участвуете в конкурсе";"1199279";"—"
