"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"286";"- 90 100 86 1";"10";"Участвуете в конкурсе";"1758462";"—"
"2";"5";"Электронное";"267";"- 84 80 93 1";"10";"Участвуете в конкурсе";"1125254";"—"
"3";"3";"Электронное";"248";"- 92 70 76";"10";"Участвуете в конкурсе";"1098493";"—"
"4";"4";"—";"241";"- 88 80 73";"—";"Участвуете в конкурсе";"2384232";"—"
"5";"4";"Электронное";"230";"- 76 70 74";"10";"Участвуете в конкурсе";"1018060";"—"
"6";"2";"—";"229";"- 82 90 47";"10";"Участвуете в конкурсе";"957020";"—"
"7";"2";"—";"228";"- 75 66 87";"—";"Участвуете в конкурсе";"2140981";"—"
"8";"7";"—";"218";"- 74 78 66 1";"—";"Участвуете в конкурсе";"1463112";"—"
"9";"2";"—";"209";"- 49 72 78";"10";"Участвуете в конкурсе";"1623086";"—"
"10";"2";"Электронное";"208";"- 71 58 69";"10";"Участвуете в конкурсе";"1324979";"—"
"11";"2";"—";"206";"- 84 60 62";"—";"Участвуете в конкурсе";"981606";"—"
"12";"8";"—";"202";"- 83 58 61 √";"—";"Участвуете в конкурсе";"1728835";"—"
"13";"7";"—";"200";"- 64 70 66";"—";"Участвуете в конкурсе";"2392516";"—"
"14";"2";"—";"197";"- 64 64 69";"—";"Участвуете в конкурсе";"1751837";"—"
"15";"2";"—";"192";"- 67 58 67";"—";"Участвуете в конкурсе";"2140448";"—"
"16";"2";"—";"182";"- 70 58 54";"—";"Участвуете в конкурсе";"1948930";"—"
"17";"3";"—";"180";"- 56 64 60";"—";"Участвуете в конкурсе";"1619079";"—"
"18";"3";"—";"179";"- 59 64 56";"—";"Участвуете в конкурсе";"1964755";"—"
"19";"4";"—";"175";"- 58 64 48 √";"5";"Участвуете в конкурсе";"2313871";"—"
"20";"2";"—";"168";"- 55 58 55";"—";"Участвуете в конкурсе";"2092158";"—"
"21";"2";"—";"166";"- 43 64 57 √";"2";"Участвуете в конкурсе";"2261283";"—"
"22";"2";"—";"150";"- 40 40 70 √";"—";"Участвуете в конкурсе";"1512368";"—"
"23";"3";"Электронное";"148";"- 59 40 49";"—";"Участвуете в конкурсе";"2175564";"—"
"24";"4";"—";"145";"- 44 46 55";"—";"Участвуете в конкурсе";"1422782";"—"
