"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"—";"—";"—";"- Без вступительных испытаний Нет";"2";"Участвуете в конкурсе";"1205117";"—"
"2";"—";"—";"—";"- Без вступительных испытаний Нет √";"5";"Участвуете в конкурсе";"1266478";"—"
"3";"—";"—";"—";"- Без вступительных испытаний Нет";"3";"Участвуете в конкурсе";"1553650";"—"
"4";"1";"—";"—";"- Без вступительных испытаний Да √";"4";"Участвуете в конкурсе";"1576660";"—"
"5";"—";"—";"—";"- Без вступительных испытаний Нет";"3";"Участвуете в конкурсе";"2212860";"—"
"6";"—";"—";"—";"- Без вступительных испытаний Нет";"3";"Участвуете в конкурсе";"996933";"—"
"7";"6";"Электронное";"287";"- 94 90 93 5";"10";"Участвуете в конкурсе";"964483";"—"
"8";"4";"—";"281";"- 98 100 83 1";"—";"Участвуете в конкурсе";"1272021";"—"
"9";"8";"Электронное";"280";"- 86 100 84 5";"10";"Участвуете в конкурсе";"2226077";"—"
"10";"1";"Электронное";"279";"- 94 86 89 2";"10";"Участвуете в конкурсе";"1701584";"—"
"11";"5";"Электронное";"274";"- 85 90 89 1";"10";"Участвуете в конкурсе";"1561934";"—"
"12";"5";"—";"271";"- 78 94 89 3";"10";"Участвуете в конкурсе";"1899355";"—"
"13";"7";"—";"267";"- 92 86 83 9";"6";"Участвуете в конкурсе";"1876699";"—"
"14";"4";"—";"266";"- 85 90 81 5";"10";"Участвуете в конкурсе";"1442377";"—"
"15";"4";"—";"257";"- 95 95 67";"—";"Участвуете в конкурсе";"1192837";"—"
"16";"4";"Электронное";"257";"- 82 90 83 1";"2";"Участвуете в конкурсе";"1113163";"—"
"17";"5";"—";"255";"- 82 82 81";"10";"Участвуете в конкурсе";"2262279";"—"
"18";"5";"—";"252";"- 77 82 86 1";"7";"Участвуете в конкурсе";"1239066";"—"
"19";"1";"—";"252";"- 86 78 78 4";"10";"Участвуете в конкурсе";"1557108";"—"
"20";"1";"—";"251";"- 86 84 81 √";"—";"Участвуете в конкурсе";"1400831";"—"
"21";"1";"—";"240";"- 86 82 70";"2";"Участвуете в конкурсе";"1272343";"—"
"22";"1";"—";"235";"- 76 90 69";"—";"Участвуете в конкурсе";"1640216";"—"
"23";"3";"Электронное";"235";"- 88 78 67 3";"2";"Участвуете в конкурсе";"1361263";"—"
"24";"5";"—";"235";"- 80 78 67";"10";"Участвуете в конкурсе";"1318021";"—"
"25";"6";"—";"234";"- 76 80 73 √";"5";"Участвуете в конкурсе";"1438168";"—"
"26";"4";"—";"228";"- 82 76 70";"—";"Участвуете в конкурсе";"1650096";"—"
"27";"4";"—";"228";"- 75 72 79";"2";"Участвуете в конкурсе";"2265715";"—"
"28";"2";"Электронное";"226";"- 58 90 78 √";"—";"Участвуете в конкурсе";"2025640";"—"
"29";"1";"—";"221";"- 70 78 70";"3";"Участвуете в конкурсе";"1953899";"—"
"30";"11";"—";"217";"- 62 100 45 √";"10";"Участвуете в конкурсе";"1184600";"—"
"31";"5";"—";"209";"- 67 78 64";"—";"Участвуете в конкурсе";"1306200";"—"
"32";"4";"—";"207";"- 67 80 60";"—";"Участвуете в конкурсе";"1694342";"—"
"33";"3";"—";"207";"- 54 84 69";"—";"Участвуете в конкурсе";"1763734";"—"
"34";"1";"—";"199";"- 48 68 83";"—";"Участвуете в конкурсе";"1515050";"—"
"35";"4";"—";"198";"- 73 46 72";"7";"Участвуете в конкурсе";"1351899";"—"
"36";"1";"—";"196";"- 56 46 94 √";"—";"Участвуете в конкурсе";"1460683";"—"
"37";"5";"—";"196";"- 70 70 46 √";"10";"Участвуете в конкурсе";"1727213";"—"
