"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"41";"54324 ―";"41";"Участвуете в конкурсе";"1992419";"—"
"2";"5";"Электронное";"15";"46224 √ ―";"15";"Участвуете в конкурсе";"1128539";"—"
"3";"10";"—";"10";"45720 √ ―";"10";"Участвуете в конкурсе";"1002753";"—"
"4";"3";"—";"10";"59132 ―";"10";"Участвуете в конкурсе";"1042249";"—"
"5";"1";"Электронное";"10";"46220 ―";"10";"Участвуете в конкурсе";"1043403";"—"
"6";"1";"Электронное";"10";"46027 ―";"10";"Участвуете в конкурсе";"1086348";"—"
"7";"6";"—";"10";"46133 √ ―";"10";"Участвуете в конкурсе";"1107203";"—"
"8";"1";"—";"10";"46913 ―";"10";"Участвуете в конкурсе";"1160182";"—"
"9";"1";"—";"10";"52203 ―";"10";"Участвуете в конкурсе";"1717055";"—"
"10";"1";"—";"10";"54841 ―";"10";"Участвуете в конкурсе";"1754070";"—"
"11";"1";"Электронное";"10";"52102 ―";"10";"Участвуете в конкурсе";"1836780";"—"
"12";"1";"—";"10";"51806 ―";"10";"Участвуете в конкурсе";"1854606";"—"
"13";"1";"Электронное";"10";"51785 √ ―";"10";"Участвуете в конкурсе";"1856424";"—"
"14";"2";"—";"10";"60724 √ ―";"10";"Участвуете в конкурсе";"2427728";"—"
"15";"2";"—";"10";"60752 ―";"10";"Участвуете в конкурсе";"2432268";"—"
"16";"2";"—";"10";"60825 ―";"10";"Участвуете в конкурсе";"2444044";"—"
"17";"3";"Электронное";"10";"45638 ―";"10";"Участвуете в конкурсе";"942468";"—"
"18";"4";"—";"4";"54247 √ ―";"4";"Участвуете в конкурсе";"2056380";"—"
"19";"1";"—";"3";"56959 ―";"3";"Участвуете в конкурсе";"2229544";"—"
"20";"2";"—";"2";"56912 ―";"2";"Участвуете в конкурсе";"2243162";"—"
"21";"2";"—";"1";"51527 ―";"1";"Участвуете в конкурсе";"1796513";"—"
"22";"3";"Электронное";"1";"53493 ―";"1";"Участвуете в конкурсе";"1976234";"—"
"23";"1";"—";"—";"34230 ―";"—";"Участвуете в конкурсе";"1041902";"—"
"24";"2";"Электронное";"—";"46215 √ ―";"—";"Участвуете в конкурсе";"1042342";"—"
"25";"1";"—";"—";"44724 ―";"—";"Участвуете в конкурсе";"1078009";"—"
"26";"2";"—";"—";"53848 ―";"—";"Участвуете в конкурсе";"1081509";"—"
"27";"1";"—";"—";"46063 √ ―";"—";"Участвуете в конкурсе";"1092660";"—"
"28";"4";"—";"—";"46119 ―";"—";"Участвуете в конкурсе";"1104390";"—"
"29";"3";"—";"—";"46129 ―";"—";"Участвуете в конкурсе";"1105024";"—"
"30";"12";"—";"—";"46123 √ ―";"—";"Участвуете в конкурсе";"1107542";"—"
"31";"8";"—";"—";"44709 √ ―";"—";"Участвуете в конкурсе";"1119831";"—"
"32";"2";"Электронное";"—";"46606 √ ―";"—";"Участвуете в конкурсе";"1208929";"—"
"33";"1";"—";"—";"30381 ―";"—";"Участвуете в конкурсе";"1210618";"—"
"34";"1";"—";"—";"46609 ―";"—";"Участвуете в конкурсе";"1210713";"—"
"35";"1";"—";"—";"46941 ―";"—";"Участвуете в конкурсе";"1223905";"—"
