"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"41";"54324 ―";"41";"Участвуете в конкурсе";"1992419";"—"
"2";"1";"—";"11";"46221 ―";"11";"Участвуете в конкурсе";"981427";"—"
"3";"1";"—";"10";"45765 ―";"10";"Участвуете в конкурсе";"1033183";"—"
"4";"3";"—";"10";"59132 ―";"10";"Участвуете в конкурсе";"1042249";"—"
"5";"3";"—";"10";"46215 √ ―";"10";"Участвуете в конкурсе";"1042342";"—"
"6";"1";"—";"10";"46220 ―";"10";"Участвуете в конкурсе";"1043403";"—"
"7";"1";"—";"10";"46027 ―";"10";"Участвуете в конкурсе";"1086348";"—"
"8";"4";"—";"10";"40670 ―";"10";"Участвуете в конкурсе";"1612810";"—"
"9";"1";"—";"10";"52203 ―";"10";"Участвуете в конкурсе";"1717055";"—"
"10";"1";"—";"10";"54841 ―";"10";"Участвуете в конкурсе";"1754070";"—"
"11";"1";"—";"10";"52102 ―";"10";"Участвуете в конкурсе";"1836780";"—"
"12";"2";"—";"10";"60724 √ ―";"10";"Участвуете в конкурсе";"2427728";"—"
"13";"3";"—";"10";"60825 ―";"10";"Участвуете в конкурсе";"2444044";"—"
"14";"1";"—";"3";"56959 ―";"3";"Участвуете в конкурсе";"2229544";"—"
"15";"5";"—";"1";"53493 ―";"1";"Участвуете в конкурсе";"1976234";"—"
"16";"1";"—";"—";"45514 ―";"—";"Участвуете в конкурсе";"1000001";"—"
"17";"1";"—";"—";"30871 ―";"—";"Участвуете в конкурсе";"1012892";"—"
"18";"2";"—";"—";"45803 ―";"—";"Участвуете в конкурсе";"1021979";"—"
"19";"4";"—";"—";"45804 ―";"—";"Участвуете в конкурсе";"1023419";"—"
"20";"3";"—";"—";"43561 ―";"—";"Участвуете в конкурсе";"1034741";"—"
"21";"1";"—";"—";"34230 ―";"—";"Участвуете в конкурсе";"1041902";"—"
"22";"2";"—";"—";"50341 ―";"—";"Участвуете в конкурсе";"1055928";"—"
"23";"1";"—";"—";"45931 ―";"—";"Участвуете в конкурсе";"1055938";"—"
"24";"1";"—";"—";"45918 ―";"—";"Участвуете в конкурсе";"1063406";"—"
"25";"2";"—";"—";"45962 ―";"—";"Участвуете в конкурсе";"1075989";"—"
"26";"9";"—";"—";"45938 √ ―";"—";"Участвуете в конкурсе";"1076901";"—"
"27";"2";"—";"—";"53848 ―";"—";"Участвуете в конкурсе";"1081509";"—"
"28";"1";"—";"—";"46063 √ ―";"—";"Участвуете в конкурсе";"1092660";"—"
"29";"4";"—";"—";"46119 ―";"—";"Участвуете в конкурсе";"1104390";"—"
"30";"1";"—";"—";"46130 ―";"—";"Участвуете в конкурсе";"1110632";"—"
"31";"3";"—";"—";"44000 ―";"—";"Участвуете в конкурсе";"1133942";"—"
"32";"1";"—";"—";"46357 ―";"—";"Участвуете в конкурсе";"1157854";"—"
"33";"1";"—";"—";"46394 ―";"—";"Участвуете в конкурсе";"1167634";"—"
"34";"1";"—";"—";"30381 ―";"—";"Участвуете в конкурсе";"1210618";"—"
"35";"1";"—";"—";"46609 ―";"—";"Участвуете в конкурсе";"1210713";"—"
"36";"1";"—";"—";"46941 ―";"—";"Участвуете в конкурсе";"1223905";"—"
"37";"1";"—";"—";"47043 ―";"—";"Участвуете в конкурсе";"1265597";"—"
"38";"6";"—";"—";"61047 ―";"—";"Участвуете в конкурсе";"1272504";"—"
"39";"2";"—";"—";"51744 ―";"—";"Участвуете в конкурсе";"1280563";"—"
"40";"1";"—";"—";"56965 ―";"—";"Участвуете в конкурсе";"1335022";"—"
"41";"1";"—";"—";"47448 ―";"—";"Участвуете в конкурсе";"1359968";"—"
"42";"3";"—";"—";"48669 ―";"—";"Участвуете в конкурсе";"1500710";"—"
"43";"5";"—";"—";"59299 ―";"—";"Участвуете в конкурсе";"1546213";"—"
"44";"1";"—";"—";"49123 ―";"—";"Участвуете в конкурсе";"1585188";"—"
"45";"3";"—";"—";"54610 ―";"—";"Участвуете в конкурсе";"1601048";"—"
"46";"2";"—";"—";"49616 ―";"—";"Участвуете в конкурсе";"1618376";"—"
"47";"2";"—";"—";"49574 ―";"—";"Участвуете в конкурсе";"1626250";"—"
"48";"1";"—";"—";"50055 ―";"—";"Участвуете в конкурсе";"1654636";"—"
"49";"2";"—";"—";"50203 ―";"—";"Участвуете в конкурсе";"1659883";"—"
"50";"1";"—";"—";"43386 ―";"—";"Участвуете в конкурсе";"1661601";"—"
"51";"2";"—";"—";"50890 ―";"—";"Участвуете в конкурсе";"1710660";"—"
"52";"3";"—";"—";"51754 ―";"—";"Участвуете в конкурсе";"1824461";"—"
"53";"1";"—";"—";"51927 ―";"—";"Участвуете в конкурсе";"1846789";"—"
"54";"3";"—";"—";"61051 ―";"—";"Участвуете в конкурсе";"1854322";"—"
"55";"1";"—";"—";"59315 √ ―";"—";"Участвуете в конкурсе";"1858741";"—"
"56";"1";"—";"—";"52406 ―";"—";"Участвуете в конкурсе";"1908612";"—"
"57";"5";"—";"—";"53514 ―";"—";"Участвуете в конкурсе";"1978251";"—"
"58";"1";"—";"—";"53896 ―";"—";"Участвуете в конкурсе";"2023503";"—"
"59";"1";"—";"—";"53948 ―";"—";"Участвуете в конкурсе";"2036694";"—"
"60";"1";"—";"—";"55639 ―";"—";"Участвуете в конкурсе";"2045416";"—"
"61";"3";"—";"—";"54207 ―";"—";"Участвуете в конкурсе";"2048617";"—"
"62";"2";"—";"—";"54290 ―";"—";"Участвуете в конкурсе";"2068450";"—"
"63";"3";"—";"—";"54303 ―";"—";"Участвуете в конкурсе";"2074776";"—"
"64";"1";"—";"—";"54521 ―";"—";"Участвуете в конкурсе";"2088998";"—"
"65";"1";"—";"—";"10608 ―";"—";"Участвуете в конкурсе";"2095260";"—"
"66";"1";"—";"—";"54772 ―";"—";"Участвуете в конкурсе";"2113650";"—"
"67";"2";"—";"—";"54766 ―";"—";"Участвуете в конкурсе";"2123320";"—"
"68";"2";"—";"—";"59343 ―";"—";"Участвуете в конкурсе";"2212566";"—"
"69";"2";"—";"—";"59344 ―";"—";"Участвуете в конкурсе";"2216290";"—"
"70";"3";"—";"—";"56939 ―";"—";"Участвуете в конкурсе";"2222493";"—"
"71";"2";"—";"—";"45122 ―";"—";"Участвуете в конкурсе";"2224228";"—"
"72";"4";"—";"—";"56976 ―";"—";"Участвуете в конкурсе";"2225799";"—"
"73";"4";"—";"—";"30310 √ ―";"—";"Участвуете в конкурсе";"2241172";"—"
"74";"2";"—";"—";"57313 ―";"—";"Участвуете в конкурсе";"2271505";"—"
"75";"3";"—";"—";"59359 ―";"—";"Участвуете в конкурсе";"2288093";"—"
"76";"2";"—";"—";"59433 ―";"—";"Участвуете в конкурсе";"2297642";"—"
"77";"1";"—";"—";"61070 ―";"—";"Участвуете в конкурсе";"2302983";"—"
"78";"2";"—";"—";"61227 ―";"—";"Участвуете в конкурсе";"2309772";"—"
"79";"2";"—";"—";"57677 ―";"—";"Участвуете в конкурсе";"2326756";"—"
"80";"2";"—";"—";"57662 ―";"—";"Участвуете в конкурсе";"2331422";"—"
"81";"2";"—";"—";"57683 ―";"—";"Участвуете в конкурсе";"2333714";"—"
"82";"2";"—";"—";"58435 ―";"—";"Участвуете в конкурсе";"2342142";"—"
"83";"2";"—";"—";"58439 ―";"—";"Участвуете в конкурсе";"2342873";"—"
"84";"2";"—";"—";"61250 ―";"—";"Участвуете в конкурсе";"2354429";"—"
"85";"3";"—";"—";"59086 ―";"—";"Участвуете в конкурсе";"2393266";"—"
"86";"3";"—";"—";"59021 ―";"—";"Участвуете в конкурсе";"2394455";"—"
"87";"2";"—";"—";"60471 ―";"—";"Участвуете в конкурсе";"2413425";"—"
"88";"2";"—";"—";"60418 ―";"—";"Участвуете в конкурсе";"2422154";"—"
"89";"2";"—";"—";"60728 ―";"—";"Участвуете в конкурсе";"2427737";"—"
"90";"2";"—";"—";"60732 ―";"—";"Участвуете в конкурсе";"2429895";"—"
"91";"3";"—";"—";"60722 ―";"—";"Участвуете в конкурсе";"2431349";"—"
"92";"4";"—";"—";"60710 ―";"—";"Участвуете в конкурсе";"2431792";"—"
"93";"1";"—";"—";"60855 ―";"—";"Участвуете в конкурсе";"2433255";"—"
"94";"3";"—";"—";"60919 ―";"—";"Участвуете в конкурсе";"2448360";"—"
"95";"2";"—";"—";"61042 ―";"—";"Участвуете в конкурсе";"2460191";"—"
"96";"2";"—";"—";"61133 √ ―";"—";"Участвуете в конкурсе";"2461070";"—"
"97";"8";"—";"—";"61055 ―";"—";"Участвуете в конкурсе";"2471275";"—"
"98";"2";"—";"—";"60976 ―";"—";"Участвуете в конкурсе";"2471884";"—"
"99";"1";"—";"—";"61080 ―";"—";"Участвуете в конкурсе";"2480964";"—"
"100";"1";"—";"—";"61128 ―";"—";"Участвуете в конкурсе";"2481196";"—"
"101";"6";"—";"—";"61127 ―";"—";"Участвуете в конкурсе";"2485138";"—"
"102";"1";"—";"—";"45376 ―";"—";"Участвуете в конкурсе";"943445";"—"
"103";"1";"—";"—";"45413 ―";"—";"Участвуете в конкурсе";"947389";"—"
"104";"1";"—";"—";"48911 ―";"—";"Участвуете в конкурсе";"950999";"—"
"105";"1";"—";"—";"45381 ―";"—";"Участвуете в конкурсе";"955498";"—"
"106";"1";"—";"—";"45417 ―";"—";"Участвуете в конкурсе";"958935";"—"
"107";"1";"—";"—";"45400 ―";"—";"Участвуете в конкурсе";"960586";"—"
"108";"1";"—";"—";"46210 ―";"—";"Участвуете в конкурсе";"963265";"—"
"109";"2";"—";"—";"45431 ―";"—";"Участвуете в конкурсе";"964853";"—"
"110";"2";"—";"—";"45463 ―";"—";"Участвуете в конкурсе";"966796";"—"
"111";"1";"—";"—";"45710 ―";"—";"Участвуете в конкурсе";"969289";"—"
