"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"195";"55856 100 95 Нет 1";"—";"Участвуете в конкурсе";"2154219";"—"
"2";"2";"—";"163";"46958 70 93 Нет 1";"—";"Участвуете в конкурсе";"1311398";"—"
"3";"1";"—";"131";"56474 80 51 Нет 1";"—";"Участвуете в конкурсе";"2169148";"—"
"4";"1";"Да";"130";"56400 80 50 Нет 1";"—";"Участвуете в конкурсе";"2286745";"—"
"5";"1";"Да";"105";"56674 50 55 Нет 1";"—";"Участвуете в конкурсе";"2292733";"—"
"6";"1";"—";"79";"57771 79 Нет 2 √";"—";"Участвуете в конкурсе";"2353327";"—"
"7";"2";"—";"76";"61018 27 49 Нет 2";"—";"Участвуете в конкурсе";"1556065";"—"
"8";"2";"—";"58";"57398 58 Нет √";"—";"Участвуете в конкурсе";"2179247";"—"
"9";"2";"—";"57";"56563 57 Нет √";"—";"Участвуете в конкурсе";"2298290";"—"
"10";"2";"—";"18";"54485 18 Нет √";"—";"Участвуете в конкурсе";"2112920";"—"
"11";"2";"—";"—";"60723 Нет";"—";"Участвуете в конкурсе";"1524172";"—"
"12";"3";"—";"—";"51567 Нет";"—";"Участвуете в конкурсе";"1721676";"—"
"13";"1";"—";"—";"61043 Нет √";"—";"Участвуете в конкурсе";"2479143";"—"
