"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"33";"51336 ―";"33";"Участвуете в конкурсе";"1790395";"—"
"2";"2";"Электронное";"23";"54504 ―";"23";"Участвуете в конкурсе";"2090986";"—"
"3";"1";"—";"20";"51809 ―";"20";"Участвуете в конкурсе";"1831356";"—"
"4";"7";"—";"13";"54288 √ ―";"13";"Участвуете в конкурсе";"1053584";"—"
"5";"3";"—";"10";"45720 √ ―";"10";"Участвуете в конкурсе";"1002753";"—"
"6";"1";"—";"10";"45768 √ ―";"10";"Участвуете в конкурсе";"1037268";"—"
"7";"6";"—";"10";"46275 √ ―";"10";"Участвуете в конкурсе";"1133737";"—"
"8";"7";"Электронное";"10";"46310 √ ―";"10";"Участвуете в конкурсе";"1141992";"—"
"9";"2";"Электронное";"10";"47576 ―";"10";"Участвуете в конкурсе";"1336029";"—"
"10";"2";"Электронное";"10";"48064 ―";"10";"Участвуете в конкурсе";"1411370";"—"
"11";"1";"—";"10";"48132 ―";"10";"Участвуете в конкурсе";"1439972";"—"
"12";"1";"Электронное";"10";"49929 ―";"10";"Участвуете в конкурсе";"1646242";"—"
"13";"4";"—";"10";"50023 ―";"10";"Участвуете в конкурсе";"1654526";"—"
"14";"1";"—";"10";"51223 ―";"10";"Участвуете в конкурсе";"1717958";"—"
"15";"1";"—";"10";"61105 ―";"10";"Участвуете в конкурсе";"1731334";"—"
"16";"1";"Электронное";"10";"50663 ―";"10";"Участвуете в конкурсе";"1751545";"—"
"17";"1";"—";"10";"52183 ―";"10";"Участвуете в конкурсе";"1839423";"—"
"18";"2";"—";"10";"51972 √ ―";"10";"Участвуете в конкурсе";"1841216";"—"
"19";"1";"—";"10";"51818 ―";"10";"Участвуете в конкурсе";"1854121";"—"
"20";"2";"Электронное";"10";"53886 ―";"10";"Участвуете в конкурсе";"2023167";"—"
"21";"1";"Электронное";"10";"54197 ―";"10";"Участвуете в конкурсе";"2047075";"—"
"22";"1";"—";"10";"54326 ―";"10";"Участвуете в конкурсе";"2065536";"—"
"23";"1";"—";"10";"58760 ―";"10";"Участвуете в конкурсе";"2293761";"—"
"24";"1";"Электронное";"10";"58802 ―";"10";"Участвуете в конкурсе";"2372157";"—"
"25";"1";"Электронное";"10";"58622 ―";"10";"Участвуете в конкурсе";"2374025";"—"
"26";"1";"—";"10";"60846 ―";"10";"Участвуете в конкурсе";"2453031";"—"
"27";"2";"Электронное";"10";"45638 ―";"10";"Участвуете в конкурсе";"942468";"—"
"28";"15";"—";"1";"55765 √ ―";"1";"Участвуете в конкурсе";"2170172";"—"
"29";"3";"Электронное";"—";"45736 ―";"—";"Участвуете в конкурсе";"1004973";"—"
"30";"2";"—";"—";"45741 ―";"—";"Участвуете в конкурсе";"1029092";"—"
"31";"1";"Электронное";"—";"45791 ―";"—";"Участвуете в конкурсе";"1034483";"—"
"32";"1";"Электронное";"—";"45801 ―";"—";"Участвуете в конкурсе";"1035705";"—"
"33";"1";"Электронное";"—";"46222 ―";"—";"Участвуете в конкурсе";"1037430";"—"
"34";"2";"—";"—";"46212 ―";"—";"Участвуете в конкурсе";"1041323";"—"
"35";"1";"—";"—";"45883 ―";"—";"Участвуете в конкурсе";"1055832";"—"
"36";"7";"—";"—";"46123 √ ―";"—";"Участвуете в конкурсе";"1107542";"—"
"37";"1";"Электронное";"—";"46141 ―";"—";"Участвуете в конкурсе";"1113727";"—"
"38";"2";"—";"—";"52957 ―";"—";"Участвуете в конкурсе";"1128880";"—"
"39";"8";"—";"—";"46277 √ ―";"—";"Участвуете в конкурсе";"1134005";"—"
"40";"4";"—";"—";"46341 √ ―";"—";"Участвуете в конкурсе";"1152622";"—"
"41";"2";"—";"—";"46573 ―";"—";"Участвуете в конкурсе";"1190918";"—"
"42";"1";"—";"—";"47547 ―";"—";"Участвуете в конкурсе";"1336933";"—"
"43";"2";"—";"—";"47475 ―";"—";"Участвуете в конкурсе";"1355969";"—"
"44";"1";"—";"—";"48080 ―";"—";"Участвуете в конкурсе";"1407204";"—"
"45";"3";"—";"—";"60748 ―";"—";"Участвуете в конкурсе";"1410548";"—"
"46";"2";"Электронное";"—";"48027 ―";"—";"Участвуете в конкурсе";"1412026";"—"
"47";"4";"—";"—";"48669 ―";"—";"Участвуете в конкурсе";"1500710";"—"
"48";"2";"—";"—";"48808 ―";"—";"Участвуете в конкурсе";"1519990";"—"
"49";"5";"—";"—";"56990 √ ―";"—";"Участвуете в конкурсе";"1580189";"—"
"50";"1";"—";"—";"49301 ―";"—";"Участвуете в конкурсе";"1611282";"—"
"51";"2";"Электронное";"—";"50482 ―";"—";"Участвуете в конкурсе";"1652296";"—"
"52";"1";"—";"—";"59311 ―";"—";"Участвуете в конкурсе";"1702395";"—"
"53";"1";"—";"—";"51119 ―";"—";"Участвуете в конкурсе";"1709583";"—"
"54";"1";"—";"—";"51222 ―";"—";"Участвуете в конкурсе";"1717929";"—"
"55";"1";"—";"—";"54733 ―";"—";"Участвуете в конкурсе";"1741848";"—"
"56";"10";"—";"—";"60490 √ ―";"—";"Участвуете в конкурсе";"1780918";"—"
"57";"1";"—";"—";"51301 ―";"—";"Участвуете в конкурсе";"1784159";"—"
"58";"3";"—";"—";"51565 ―";"—";"Участвуете в конкурсе";"1787851";"—"
"59";"1";"Электронное";"—";"51465 ―";"—";"Участвуете в конкурсе";"1795756";"—"
"60";"2";"—";"—";"51943 ―";"—";"Участвуете в конкурсе";"1835007";"—"
"61";"8";"—";"—";"53756 √ ―";"—";"Участвуете в конкурсе";"1900817";"—"
"62";"2";"—";"—";"52709 ―";"—";"Участвуете в конкурсе";"1935193";"—"
"63";"1";"—";"—";"60746 ―";"—";"Участвуете в конкурсе";"1948563";"—"
"64";"2";"Электронное";"—";"53457 ―";"—";"Участвуете в конкурсе";"1975052";"—"
"65";"2";"—";"—";"53675 ―";"—";"Участвуете в конкурсе";"1990802";"—"
