"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"Да";"294";"53827 95 98 99 Нет";"2";"Участвуете в конкурсе";"2024078";"—"
"2";"1";"—";"271";"58429 92 86 91 Нет";"2";"Участвуете в конкурсе";"2294987";"—"
"3";"3";"—";"270";"54851 71 100 89 Нет";"10";"Участвуете в конкурсе";"2027858";"—"
"4";"4";"—";"268";"46320 84 82 100 Нет";"2";"Участвуете в конкурсе";"1146076";"—"
"5";"1";"—";"264";"53476 83 92 89 Нет";"—";"Участвуете в конкурсе";"1721299";"—"
"6";"1";"Да";"263";"47252 83 79 91 Да";"10";"Участвуете в конкурсе";"1278038";"—"
"7";"2";"—";"262";"51085 93 74 92 Нет";"3";"Участвуете в конкурсе";"1715905";"—"
"8";"3";"—";"256";"58712 83 69 94 Нет";"10";"Участвуете в конкурсе";"2038577";"—"
"9";"3";"—";"256";"54591 81 82 83 Нет";"10";"Участвуете в конкурсе";"2118890";"—"
"10";"1";"Да";"255";"48102 66 88 91 Да";"10";"Участвуете в конкурсе";"1417905";"—"
"11";"1";"—";"253";"60094 83 79 81 Нет";"10";"Участвуете в конкурсе";"2425776";"—"
"12";"1";"—";"252";"59599 81 80 81 Нет";"10";"Участвуете в конкурсе";"2359037";"—"
"13";"3";"—";"251";"55360 81 82 78 Нет";"10";"Участвуете в конкурсе";"2040538";"—"
"14";"1";"—";"250";"53746 79 72 94 Нет";"5";"Участвуете в конкурсе";"1257920";"—"
"15";"1";"—";"250";"55967 86 71 83 Нет";"10";"Участвуете в конкурсе";"2055492";"—"
"16";"3";"—";"250";"59416 72 77 91 Нет";"10";"Участвуете в конкурсе";"2055529";"—"
"17";"1";"—";"250";"55772 94 95 61 Нет";"—";"Участвуете в конкурсе";"980843";"—"
"18";"1";"—";"247";"49766 85 74 78 Нет";"10";"Участвуете в конкурсе";"1617782";"—"
"19";"1";"—";"245";"56272 72 91 72 Нет";"10";"Участвуете в конкурсе";"1894093";"—"
"20";"3";"—";"244";"56514 77 71 86 Нет";"10";"Участвуете в конкурсе";"2006116";"—"
"21";"2";"—";"244";"54678 66 85 83 Нет";"10";"Участвуете в конкурсе";"2100863";"—"
"22";"5";"—";"243";"47749 75 85 73 Нет";"10";"Участвуете в конкурсе";"1377740";"—"
"23";"1";"—";"242";"52062 86 84 72 Нет";"—";"Участвуете в конкурсе";"1187339";"—"
"24";"1";"—";"242";"53285 72 80 86 Нет";"4";"Участвуете в конкурсе";"1261948";"—"
"25";"1";"—";"241";"46832 66 92 83 Нет";"—";"Участвуете в конкурсе";"1207631";"—"
"26";"1";"—";"241";"52328 77 81 83 Нет";"—";"Участвуете в конкурсе";"1425348";"—"
"27";"1";"—";"240";"53817 66 78 86 Нет";"10";"Участвуете в конкурсе";"2034220";"—"
