"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"10";"—";"10";"Подано";"1705195";"—"
"2";"1";"Электронное";"9";"—";"9";"Подано";"1955682";"—"
"27";"1";"Электронное";"291";"—";"291";"Подано";"2343910";"—"
"28";"1";"Электронное";"285";"—";"285";"Подано";"1991876";"—"
"30";"1";"Электронное";"217";"—";"217";"Подано";"1354549";"—"
"36";"1";"Электронное";"289";"—";"289";"Подано";"1206669";"—"
"41";"1";"Электронное";"200";"—";"200";"Подано";"2240116";"—"
"46";"1";"Электронное";"188";"—";"188";"Подано";"958199";"—"
"55";"1";"Электронное";"258";"—";"258";"Подано";"1384800";"—"
"56";"1";"Электронное";"285";"—";"285";"Подано";"1126752";"—"
"68";"1";"Электронное";"246";"—";"246";"Подано";"1631664";"—"
"70";"1";"Электронное";"284";"—";"284";"Подано";"1351389";"—"
"171";"1";"Электронное";"275";"—";"275";"Подано";"1223893";"—"
"240";"1";"Электронное";"271";"—";"271";"Подано";"1267930";"—"
"282";"1";"Электронное";"270";"—";"270";"Подано";"1639339";"—"
"297";"1";"Электронное";"270";"—";"270";"Подано";"2371607";"—"
"408";"1";"Электронное";"266";"—";"266";"Подано";"2239248";"—"
"457";"1";"Электронное";"265";"—";"265";"Подано";"2180737";"—"
"473";"1";"Электронное";"264";"—";"264";"Подано";"1412493";"—"
"500";"1";"Электронное";"264";"—";"264";"Подано";"1985539";"—"
"525";"1";"Электронное";"263";"—";"263";"Подано";"1693515";"—"
"535";"1";"Электронное";"263";"—";"263";"Подано";"1465994";"—"
"612";"1";"Электронное";"261";"—";"261";"Подано";"1725132";"—"
"676";"1";"Электронное";"260";"—";"260";"Подано";"1856727";"—"
"707";"1";"Электронное";"259";"—";"259";"Подано";"1911467";"—"
