"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"10";"—";"10";"Подано";"2173201";"—"
"14";"1";"Электронное";"0";"—";"0";"Подано";"2072474";"—"
"40";"1";"Электронное";"202";"—";"202";"Подано";"2243516";"—"
"53";"1";"Электронное";"173";"—";"173";"Подано";"2176844";"—"
"87";"2";"Электронное";"233";"—";"233";"Подано";"1362397";"—"
"100";"1";"Электронное";"278";"—";"278";"Подано";"1253485";"—"
"156";"3";"Электронное";"183";"—";"183";"Подано";"1351913";"—"
"157";"1";"Электронное";"275";"—";"275";"Подано";"1593257";"—"
"165";"1";"Электронное";"165";"—";"165";"Подано";"2183532";"—"
"201";"1";"Электронное";"273";"—";"273";"Подано";"1504463";"—"
"344";"1";"Электронное";"267";"—";"267";"Подано";"1650697";"—"
"347";"1";"Электронное";"267";"—";"267";"Подано";"2085299";"—"
"465";"1";"Электронное";"264";"—";"264";"Подано";"2223808";"—"
"485";"1";"Электронное";"264";"—";"264";"Подано";"1339830";"—"
"565";"1";"Электронное";"262";"—";"262";"Подано";"1914768";"—"
"587";"1";"Электронное";"261";"—";"261";"Подано";"1854683";"—"
"730";"2";"Электронное";"258";"—";"258";"Подано";"1252983";"—"
"737";"2";"Электронное";"258";"—";"258";"Подано";"1779439";"—"
"769";"1";"Электронное";"257";"—";"257";"Подано";"1716705";"—"
"896";"1";"Электронное";"255";"—";"255";"Подано";"1290569";"—"
"922";"1";"Электронное";"255";"—";"255";"Подано";"2001868";"—"
"932";"3";"Электронное";"254";"—";"254";"Подано";"2044275";"—"
"952";"2";"Электронное";"254";"—";"254";"Подано";"1180658";"—"
"985";"1";"Электронное";"253";"—";"253";"Подано";"1712967";"—"
"1002";"1";"Электронное";"252";"—";"252";"Подано";"1576222";"—"
"1029";"1";"Электронное";"252";"—";"252";"Подано";"1857881";"—"
"1039";"3";"Электронное";"252";"—";"252";"Подано";"1982960";"—"
"1048";"1";"Электронное";"252";"—";"252";"Подано";"1895594";"—"
"1132";"2";"Электронное";"250";"—";"250";"Подано";"1180625";"—"
"1154";"2";"Электронное";"250";"—";"250";"Подано";"1638500";"—"
"1217";"1";"Электронное";"249";"—";"249";"Подано";"1964715";"—"
"1219";"1";"Электронное";"249";"—";"249";"Подано";"2142650";"—"
"1335";"1";"Электронное";"247";"—";"247";"Подано";"1193404";"—"
"1343";"2";"Электронное";"247";"—";"247";"Подано";"2163674";"—"
"1344";"2";"Электронное";"247";"—";"247";"Подано";"2367846";"—"
"1358";"1";"Электронное";"247";"—";"247";"Подано";"1954362";"—"
"1386";"1";"Электронное";"246";"—";"246";"Подано";"2292220";"—"
"1405";"1";"Электронное";"246";"—";"246";"Подано";"2194935";"—"
"1418";"2";"Электронное";"246";"—";"246";"Подано";"2214355";"—"
"1513";"1";"Электронное";"244";"—";"244";"Подано";"1099270";"—"
"1543";"1";"Электронное";"243";"—";"243";"Подано";"2002478";"—"
"1552";"2";"Электронное";"243";"—";"243";"Подано";"1908993";"—"
"1577";"2";"Электронное";"243";"—";"243";"Подано";"2299661";"—"
"1589";"1";"Электронное";"242";"—";"242";"Подано";"1722610";"—"
"1603";"1";"Электронное";"242";"—";"242";"Подано";"2056412";"—"
"1604";"2";"Электронное";"242";"—";"242";"Подано";"1744405";"—"
