"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"13";"1";"Электронное";"0";"—";"0";"Подано";"1513309";"—"
"88";"1";"Электронное";"234";"—";"234";"Подано";"1208601";"—"
"127";"1";"Электронное";"277";"—";"277";"Подано";"1843661";"—"
"919";"1";"Электронное";"255";"—";"255";"Подано";"2331687";"—"
"1031";"1";"Электронное";"252";"—";"252";"Подано";"1472040";"—"
"1070";"1";"Электронное";"251";"—";"251";"Подано";"1876995";"—"
"1092";"1";"Электронное";"251";"—";"251";"Подано";"1648328";"—"
"1143";"1";"Электронное";"250";"—";"250";"Подано";"1849633";"—"
"1320";"1";"Электронное";"247";"—";"247";"Подано";"1948356";"—"
"1330";"1";"Электронное";"247";"—";"247";"Подано";"1584870";"—"
"1333";"1";"Электронное";"247";"—";"247";"Подано";"1785379";"—"
"1384";"1";"Электронное";"246";"—";"246";"Подано";"994037";"—"
"1398";"1";"Электронное";"246";"—";"246";"Подано";"1395006";"—"
"1429";"1";"Электронное";"245";"—";"245";"Подано";"1409728";"—"
"1435";"1";"Электронное";"245";"—";"245";"Подано";"1346519";"—"
"1451";"1";"Электронное";"245";"—";"245";"Подано";"1246362";"—"
"1460";"1";"Электронное";"245";"—";"245";"Подано";"1252225";"—"
"1472";"1";"Электронное";"245";"—";"245";"Подано";"1129874";"—"
"1604";"1";"Электронное";"242";"—";"242";"Подано";"2133495";"—"
"1611";"1";"Электронное";"242";"—";"242";"Подано";"2218784";"—"
"1627";"2";"Электронное";"242";"—";"242";"Подано";"2342721";"—"
"1724";"1";"Электронное";"240";"—";"240";"Подано";"1345059";"—"
"1760";"2";"Электронное";"239";"—";"239";"Подано";"1830306";"—"
"1803";"1";"Электронное";"239";"—";"239";"Подано";"1414576";"—"
"1805";"4";"Электронное";"239";"—";"239";"Подано";"1619748";"—"
"1863";"2";"Электронное";"237";"—";"237";"Подано";"2128872";"—"
"1874";"1";"Электронное";"237";"—";"237";"Подано";"1328147";"—"
"1946";"4";"Электронное";"236";"—";"236";"Подано";"2036458";"—"
"1948";"2";"Электронное";"236";"—";"236";"Подано";"1291607";"—"
"1961";"1";"Электронное";"236";"—";"236";"Подано";"1708804";"—"
"2017";"4";"Электронное";"234";"—";"234";"Подано";"1975140";"—"
"2099";"2";"Электронное";"233";"—";"233";"Подано";"1856670";"—"
"2122";"2";"Электронное";"232";"—";"232";"Подано";"1441108";"—"
"2134";"1";"Электронное";"231";"—";"231";"Подано";"2287208";"—"
"2136";"2";"Электронное";"231";"—";"231";"Подано";"1885901";"—"
"2153";"4";"Электронное";"230";"—";"230";"Подано";"1641367";"—"
"2165";"4";"Электронное";"230";"—";"230";"Подано";"1075700";"—"
"2206";"1";"Электронное";"229";"—";"229";"Подано";"1942868";"—"
"2212";"2";"Электронное";"229";"—";"229";"Подано";"2338994";"—"
"2234";"1";"Электронное";"228";"—";"228";"Подано";"1726710";"—"
"2256";"1";"Электронное";"227";"—";"227";"Подано";"1771465";"—"
"2284";"3";"Электронное";"227";"—";"227";"Подано";"1040407";"—"
"2319";"1";"Электронное";"225";"—";"225";"Подано";"1983237";"—"
"2343";"1";"Электронное";"224";"—";"224";"Подано";"1402200";"—"
"2352";"1";"Электронное";"224";"—";"224";"Подано";"1714526";"—"
"2372";"1";"Электронное";"223";"—";"223";"Подано";"1622660";"—"
"2410";"2";"Электронное";"222";"—";"222";"Подано";"1176469";"—"
"2419";"1";"Электронное";"221";"—";"221";"Подано";"2311241";"—"
"2442";"2";"Электронное";"220";"—";"220";"Подано";"1859787";"—"
"2444";"1";"Электронное";"220";"—";"220";"Подано";"2260153";"—"
