"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"14";"1";"Электронное";"0";"—";"0";"Подано";"2413748";"—"
"43";"1";"Электронное";"263";"—";"263";"Подано";"1425612";"—"
"201";"1";"Электронное";"274";"—";"274";"Подано";"1653311";"—"
"255";"1";"Электронное";"271";"—";"271";"Подано";"1699797";"—"
"371";"1";"Электронное";"267";"—";"267";"Подано";"2088091";"—"
"616";"1";"Электронное";"261";"—";"261";"Подано";"1788923";"—"
"722";"1";"Электронное";"259";"—";"259";"Подано";"1610699";"—"
"750";"1";"Электронное";"258";"—";"258";"Подано";"1206861";"—"
"772";"1";"Электронное";"258";"—";"258";"Подано";"1187547";"—"
"926";"2";"Электронное";"255";"—";"255";"Подано";"1444155";"—"
"1044";"1";"Электронное";"252";"—";"252";"Подано";"1888536";"—"
"1050";"1";"Электронное";"252";"—";"252";"Подано";"1906181";"—"
"1055";"2";"Электронное";"252";"—";"252";"Подано";"1652608";"—"
"1105";"3";"Электронное";"251";"—";"251";"Подано";"2266538";"—"
"1225";"2";"Электронное";"249";"—";"249";"Подано";"2311262";"—"
"1234";"2";"Электронное";"249";"—";"249";"Подано";"2263218";"—"
"1265";"1";"Электронное";"248";"—";"248";"Подано";"1858824";"—"
"1369";"1";"Электронное";"246";"—";"246";"Подано";"2222384";"—"
"1400";"1";"Электронное";"246";"—";"246";"Подано";"1178337";"—"
"1411";"2";"Электронное";"246";"—";"246";"Подано";"1833659";"—"
"1440";"3";"Электронное";"245";"—";"245";"Подано";"1889463";"—"
"1441";"1";"Электронное";"245";"—";"245";"Подано";"1414833";"—"
"1445";"1";"Электронное";"245";"—";"245";"Подано";"1511610";"—"
"1499";"1";"Электронное";"244";"—";"244";"Подано";"1984215";"—"
"1554";"1";"Электронное";"243";"—";"243";"Подано";"1694594";"—"
"1583";"1";"Электронное";"242";"—";"242";"Подано";"1126644";"—"
"1790";"2";"Электронное";"238";"—";"238";"Подано";"1566655";"—"
"1791";"1";"Электронное";"238";"—";"238";"Подано";"1363520";"—"
"1816";"1";"Электронное";"237";"—";"237";"Подано";"1212266";"—"
"1888";"1";"Электронное";"235";"—";"235";"Подано";"1040810";"—"
"1957";"1";"Электронное";"233";"—";"233";"Подано";"1255183";"—"
"1959";"3";"Электронное";"233";"—";"233";"Подано";"1617175";"—"
"1973";"1";"Электронное";"232";"—";"232";"Подано";"1467121";"—"
"1991";"4";"Электронное";"231";"—";"231";"Подано";"1791516";"—"
"2001";"3";"Электронное";"231";"—";"231";"Подано";"2367168";"—"
"2028";"1";"Электронное";"230";"—";"230";"Подано";"2182025";"—"
"2114";"1";"Электронное";"227";"—";"227";"Подано";"2344250";"—"
"2170";"2";"Электронное";"225";"—";"225";"Подано";"2251683";"—"
"2179";"1";"Электронное";"224";"—";"224";"Подано";"1043994";"—"
"2221";"4";"Электронное";"222";"—";"222";"Подано";"1697654";"—"
"2287";"2";"Электронное";"218";"—";"218";"Подано";"1520094";"—"
"2330";"1";"Электронное";"215";"—";"215";"Подано";"1564605";"—"
