"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"7";"1";"Электронное";"296";"—";"296";"Подано";"1099825";"—"
"17";"1";"Электронное";"237";"—";"237";"Подано";"2094831";"—"
"31";"1";"Электронное";"290";"—";"290";"Подано";"1858084";"—"
"91";"1";"Электронное";"235";"—";"235";"Подано";"2225096";"—"
"93";"1";"Электронное";"233";"—";"233";"Подано";"1901118";"—"
"108";"1";"Электронное";"229";"—";"229";"Подано";"1263530";"—"
"122";"1";"Электронное";"278";"—";"278";"Подано";"1327660";"—"
"148";"1";"Электронное";"200";"—";"200";"Подано";"2249267";"—"
"153";"1";"Электронное";"193";"—";"193";"Подано";"1996819";"—"
"168";"1";"Электронное";"172";"—";"172";"Подано";"1216076";"—"
"182";"1";"Электронное";"275";"—";"275";"Подано";"2073524";"—"
"196";"1";"Электронное";"275";"—";"275";"Подано";"1996248";"—"
"317";"1";"Электронное";"270";"—";"270";"Подано";"1616622";"—"
"424";"1";"Электронное";"266";"—";"266";"Подано";"1614623";"—"
"505";"1";"Электронное";"264";"—";"264";"Подано";"1690927";"—"
"578";"1";"Электронное";"262";"—";"262";"Подано";"1997352";"—"
"626";"1";"Электронное";"262";"—";"262";"Подано";"1580637";"—"
"669";"1";"Электронное";"261";"—";"261";"Подано";"1365624";"—"
"761";"1";"Электронное";"259";"—";"259";"Подано";"1191086";"—"
"863";"1";"Электронное";"257";"—";"257";"Подано";"1916480";"—"
"903";"1";"Электронное";"256";"—";"256";"Подано";"1654824";"—"
"911";"1";"Электронное";"256";"—";"256";"Подано";"1642627";"—"
"963";"3";"Электронное";"255";"—";"255";"Подано";"1860223";"—"
"971";"2";"Электронное";"255";"—";"255";"Подано";"2169802";"—"
"998";"2";"Электронное";"254";"—";"254";"Подано";"1432284";"—"
"1009";"1";"Электронное";"254";"—";"254";"Подано";"1624257";"—"
"1046";"1";"Электронное";"253";"—";"253";"Подано";"2360899";"—"
"1188";"1";"Электронное";"250";"—";"250";"Подано";"1961393";"—"
"1200";"1";"Электронное";"250";"—";"250";"Подано";"970676";"—"
"1219";"1";"Электронное";"250";"—";"250";"Подано";"1246030";"—"
"1231";"1";"Электронное";"250";"—";"250";"Подано";"1486305";"—"
"1283";"1";"Электронное";"249";"—";"249";"Подано";"1415032";"—"
"1297";"1";"Электронное";"249";"—";"249";"Подано";"1605208";"—"
"1361";"1";"Электронное";"248";"—";"248";"Подано";"2311688";"—"
"1487";"1";"Электронное";"246";"—";"246";"Подано";"1721907";"—"
"1550";"1";"Электронное";"244";"—";"244";"Подано";"2199101";"—"
"1581";"1";"Электронное";"244";"—";"244";"Подано";"1257514";"—"
"1602";"3";"Электронное";"243";"—";"243";"Подано";"1509465";"—"
"1612";"2";"Электронное";"243";"—";"243";"Подано";"1520964";"—"
"1698";"2";"Электронное";"242";"—";"242";"Подано";"2235038";"—"
"1723";"3";"Электронное";"241";"—";"241";"Подано";"1652786";"—"
"1773";"2";"Электронное";"240";"—";"240";"Подано";"1729461";"—"
"1778";"1";"Электронное";"240";"—";"240";"Подано";"1999016";"—"
"1801";"1";"Электронное";"239";"—";"239";"Подано";"2290286";"—"
"1821";"1";"Электронное";"239";"—";"239";"Подано";"1426400";"—"
"1825";"1";"Электронное";"239";"—";"239";"Подано";"1885972";"—"
"1827";"2";"Электронное";"239";"—";"239";"Подано";"1433513";"—"
"1860";"2";"Электронное";"238";"—";"238";"Подано";"1356246";"—"
"1945";"1";"Электронное";"236";"—";"236";"Подано";"2003167";"—"
"1962";"1";"Электронное";"236";"—";"236";"Подано";"991794";"—"
