"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"28";"1";"Электронное";"168";"—";"168";"Подано";"2327978";"—"
"187";"1";"Электронное";"260";"—";"260";"Подано";"1971186";"—"
"240";"2";"Электронное";"256";"—";"256";"Подано";"1953227";"—"
"383";"2";"Электронное";"247";"—";"247";"Подано";"2109176";"—"
"800";"1";"Электронное";"229";"—";"229";"Подано";"1621634";"—"
"806";"1";"Электронное";"229";"—";"229";"Подано";"1839012";"—"
"900";"1";"Электронное";"225";"—";"225";"Подано";"1431168";"—"
"946";"1";"Электронное";"224";"—";"224";"Подано";"2200331";"—"
"968";"3";"Электронное";"223";"—";"223";"Подано";"1192407";"—"
"1051";"2";"Электронное";"220";"—";"220";"Подано";"2298158";"—"
"1089";"3";"Электронное";"219";"—";"219";"Подано";"1417776";"—"
"1098";"4";"Электронное";"218";"—";"218";"Подано";"2230122";"—"
"1106";"3";"Электронное";"218";"—";"218";"Подано";"2049032";"—"
"1151";"2";"Электронное";"216";"—";"216";"Подано";"1287252";"—"
"1194";"2";"Электронное";"214";"—";"214";"Подано";"1443610";"—"
"1223";"2";"Электронное";"212";"—";"212";"Подано";"2424152";"—"
"1246";"3";"Электронное";"211";"—";"211";"Подано";"2382177";"—"
"1306";"1";"Электронное";"207";"—";"207";"Подано";"1181790";"—"
"1348";"5";"Электронное";"203";"—";"203";"Подано";"1324794";"—"
"1350";"3";"Электронное";"203";"—";"203";"Подано";"2049774";"—"
"1353";"4";"Электронное";"202";"—";"202";"Подано";"1477484";"—"
"1358";"1";"Электронное";"202";"—";"202";"Подано";"1687057";"—"
"1397";"6";"Электронное";"197";"—";"197";"Подано";"1950024";"—"
"1415";"1";"Электронное";"194";"—";"194";"Подано";"1990552";"—"
"1416";"2";"Электронное";"194";"—";"194";"Подано";"1174658";"—"
"1430";"4";"Электронное";"193";"—";"193";"Подано";"2030243";"—"
"1446";"1";"Электронное";"191";"—";"191";"Подано";"1684238";"—"
"1477";"4";"Электронное";"186";"—";"186";"Подано";"2161789";"—"
"1502";"6";"Электронное";"182";"—";"182";"Подано";"1679396";"—"
