"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"8";"1";"Электронное";"0";"—";"0";"Подано";"1256331";"—"
"12";"1";"Электронное";"0";"—";"0";"Подано";"1888987";"—"
"18";"1";"Электронное";"232";"—";"232";"Подано";"1059655";"—"
"25";"1";"Электронное";"222";"—";"222";"Подано";"1772505";"—"
"38";"1";"Электронное";"266";"—";"266";"Подано";"964745";"—"
"40";"1";"Электронное";"207";"—";"207";"Подано";"1838048";"—"
"47";"1";"Электронное";"197";"—";"197";"Подано";"1836804";"—"
"53";"1";"Электронное";"193";"—";"193";"Подано";"1603018";"—"
"70";"1";"Электронное";"246";"—";"246";"Подано";"1232005";"—"
"108";"1";"Электронное";"219";"—";"219";"Подано";"1078900";"—"
"111";"1";"Электронное";"217";"—";"217";"Подано";"1352690";"—"
"118";"1";"Электронное";"279";"—";"279";"Подано";"1241085";"—"
"154";"2";"Электронное";"195";"—";"195";"Подано";"1837385";"—"
"164";"1";"Электронное";"190";"—";"190";"Подано";"1903924";"—"
"172";"1";"Электронное";"178";"—";"178";"Подано";"956940";"—"
"246";"1";"Электронное";"270";"—";"270";"Подано";"1510011";"—"
"254";"1";"Электронное";"270";"—";"270";"Подано";"1883553";"—"
"334";"1";"Электронное";"267";"—";"267";"Подано";"1299748";"—"
"369";"1";"Электронное";"265";"—";"265";"Подано";"1772841";"—"
"420";"1";"Электронное";"264";"—";"264";"Подано";"2246764";"—"
"447";"1";"Электронное";"263";"—";"263";"Подано";"1262690";"—"
"471";"1";"Электронное";"262";"—";"262";"Подано";"1516316";"—"
"536";"1";"Электронное";"260";"—";"260";"Подано";"1441975";"—"
"617";"1";"Электронное";"258";"—";"258";"Подано";"1516691";"—"
"699";"1";"Электронное";"256";"—";"256";"Подано";"1818837";"—"
"747";"1";"Электронное";"255";"—";"255";"Подано";"1606471";"—"
"796";"2";"Электронное";"254";"—";"254";"Подано";"1574276";"—"
"845";"1";"Электронное";"253";"—";"253";"Подано";"2350147";"—"
"862";"1";"Электронное";"252";"—";"252";"Подано";"1724808";"—"
"898";"1";"Электронное";"251";"—";"251";"Подано";"1854598";"—"
"905";"2";"Электронное";"251";"—";"251";"Подано";"1601341";"—"
"1042";"1";"Электронное";"248";"—";"248";"Подано";"1693070";"—"
"1075";"1";"Электронное";"248";"—";"248";"Подано";"1826039";"—"
"1085";"1";"Электронное";"247";"—";"247";"Подано";"1583510";"—"
"1088";"1";"Электронное";"247";"—";"247";"Подано";"1320613";"—"
"1156";"1";"Электронное";"246";"—";"246";"Подано";"1539459";"—"
"1320";"1";"Электронное";"243";"—";"243";"Подано";"1602712";"—"
"1327";"1";"Электронное";"243";"—";"243";"Подано";"2183547";"—"
"1382";"1";"Электронное";"242";"—";"242";"Подано";"1774234";"—"
"1448";"1";"Электронное";"241";"—";"241";"Подано";"1797237";"—"
"1456";"1";"Электронное";"241";"—";"241";"Подано";"1500066";"—"
"1458";"1";"Электронное";"241";"—";"241";"Подано";"1565161";"—"
"1500";"1";"Электронное";"240";"—";"240";"Подано";"1235594";"—"
"1506";"1";"Электронное";"240";"—";"240";"Подано";"1357375";"—"
"1607";"1";"Электронное";"238";"—";"238";"Подано";"1619386";"—"
"1624";"1";"Электронное";"238";"—";"238";"Подано";"2246554";"—"
"1714";"1";"Электронное";"237";"—";"237";"Подано";"1443855";"—"
"1725";"1";"Электронное";"236";"—";"236";"Подано";"2056370";"—"
"1729";"1";"Электронное";"236";"—";"236";"Подано";"2160460";"—"
"1836";"1";"Электронное";"234";"—";"234";"Подано";"1196943";"—"
