"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"59";"1";"Электронное";"269";"—";"269";"Подано";"1488683";"—"
"60";"1";"Электронное";"155";"—";"155";"Подано";"1567363";"—"
"166";"1";"Электронное";"253";"—";"253";"Подано";"1329886";"—"
"217";"2";"Электронное";"247";"—";"247";"Подано";"1932506";"—"
"238";"2";"Электронное";"245";"—";"245";"Подано";"1871847";"—"
"239";"1";"Электронное";"245";"—";"245";"Подано";"1980332";"—"
"308";"2";"Электронное";"240";"—";"240";"Подано";"2255326";"—"
"336";"1";"Электронное";"238";"—";"238";"Подано";"1151967";"—"
"388";"2";"Электронное";"234";"—";"234";"Подано";"2064141";"—"
"559";"4";"Электронное";"226";"—";"226";"Подано";"1196599";"—"
"581";"3";"Электронное";"225";"—";"225";"Подано";"1262840";"—"
"603";"4";"Электронное";"223";"—";"223";"Подано";"2366476";"—"
"645";"1";"Электронное";"221";"—";"221";"Подано";"1719811";"—"
