"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"202";"1";"Электронное";"235";"—";"235";"Подано";"2423970";"—"
"310";"3";"Электронное";"227";"—";"227";"Подано";"1607391";"—"
"361";"1";"Электронное";"224";"—";"224";"Подано";"1831948";"—"
"382";"2";"Электронное";"223";"—";"223";"Подано";"1554184";"—"
"383";"2";"Электронное";"223";"—";"223";"Подано";"2183960";"—"
"758";"2";"Электронное";"205";"—";"205";"Подано";"1359056";"—"
"767";"2";"Электронное";"204";"—";"204";"Подано";"2037984";"—"
"770";"5";"Электронное";"204";"—";"204";"Подано";"1625076";"—"
"792";"2";"Электронное";"203";"—";"203";"Подано";"2324012";"—"
"795";"2";"Электронное";"202";"—";"202";"Подано";"1790317";"—"
"807";"3";"Электронное";"201";"—";"201";"Подано";"1633563";"—"
"813";"8";"Электронное";"201";"—";"201";"Подано";"2258108";"—"
"825";"1";"Электронное";"200";"—";"200";"Подано";"1628950";"—"
"827";"2";"Электронное";"200";"—";"200";"Подано";"1622976";"—"
"848";"3";"Электронное";"197";"—";"197";"Подано";"2203777";"—"
"869";"4";"Электронное";"194";"—";"194";"Подано";"1319657";"—"
"875";"4";"Электронное";"193";"—";"193";"Подано";"2230811";"—"
"883";"4";"Электронное";"191";"—";"191";"Подано";"1157585";"—"
"888";"1";"Электронное";"191";"—";"191";"Подано";"2028218";"—"
"905";"4";"Электронное";"186";"—";"186";"Подано";"1649662";"—"
"908";"4";"Электронное";"186";"—";"186";"Подано";"2378757";"—"
"910";"4";"Электронное";"186";"—";"186";"Подано";"1974405";"—"
"929";"1";"Электронное";"182";"—";"182";"Подано";"1420096";"—"
