"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;1;"—";307;"Без вступительных испытаний";10;"Участвуете в конкурсе";2415548;"24.07.2026 в 23:09"
2;1;"Электронное";293;"Без вступительных испытаний";0;"Участвуете в конкурсе";2411261;"25.07.2026 в 01:08"
3;1;"Электронное";292;"Без вступительных испытаний";10;"Участвуете в конкурсе";2361734;"22.07.2026 в 15:58"
4;1;"Электронное";292;"Без вступительных испытаний";10;"Участвуете в конкурсе";2416926;"25.07.2026 в 03:09"
5;1;"Электронное";291;"Без вступительных испытаний";10;"Участвуете в конкурсе";2028410;"13.07.2026 в 13:05"
6;1;"Электронное";291;"Без вступительных испытаний";10;"Участвуете в конкурсе";2046427;"13.07.2026 в 17:37"
7;1;"—";290;"Без вступительных испытаний";10;"Участвуете в конкурсе";972403;"22.07.2026 в 21:45"
8;1;"Электронное";288;"Без вступительных испытаний";10;"Участвуете в конкурсе";2423155;"25.07.2026 в 13:58"
9;1;"Электронное";286;"Без вступительных испытаний";10;"Участвуете в конкурсе";1904167;"09.07.2026 в 17:55"
10;1;"Электронное";285;"Без вступительных испытаний";10;"Участвуете в конкурсе";2053711;"25.07.2026 в 13:47"
11;1;"Электронное";284;"Без вступительных испытаний";10;"Участвуете в конкурсе";1998551;"12.07.2026 в 17:12"
12;1;"—";283;"Без вступительных испытаний";10;"Конкурсная группа исключена";2000686;"12.07.2026 в 18:34"
13;1;"Электронное";283;"Без вступительных испытаний";10;"Участвуете в конкурсе";2097953;"14.07.2026 в 21:33"
14;1;"—";280;"Без вступительных испытаний";10;"Участвуете в конкурсе";2097734;"24.07.2026 в 10:51"
15;1;"—";276;"Без вступительных испытаний";0;"Участвуете в конкурсе";2246068;"18.07.2026 в 15:43"
16;1;"Электронное";272;"Без вступительных испытаний";0;"Участвуете в конкурсе";1130808;"13.07.2026 в 20:59"
17;1;"Электронное";270;"Без вступительных испытаний";0;"Участвуете в конкурсе";2340871;"21.07.2026 в 20:38"
18;1;"Электронное";270;"Без вступительных испытаний";10;"Участвуете в конкурсе";1633717;"13.07.2026 в 16:08"
19;1;"Электронное";268;"Без вступительных испытаний";10;"Участвуете в конкурсе";1988409;"25.07.2026 в 02:58"
20;1;"Электронное";264;"Без вступительных испытаний";0;"Участвуете в конкурсе";2388731;"23.07.2026 в 17:56"
21;1;"—";264;"Без вступительных испытаний";0;"Участвуете в конкурсе";2411140;"24.07.2026 в 17:43"
22;1;"—";262;"Без вступительных испытаний";10;"Участвуете в конкурсе";2425501;"25.07.2026 в 16:23"
23;1;"Электронное";260;"Без вступительных испытаний";0;"Участвуете в конкурсе";1173885;"19.07.2026 в 12:26"
24;1;"Электронное";255;"Без вступительных испытаний";0;"Участвуете в конкурсе";2185552;"24.07.2026 в 22:46"
25;1;"Электронное";253;"Без вступительных испытаний";0;"Участвуете в конкурсе";1037981;"22.06.2026 в 18:49"
26;1;"Электронное";248;"Без вступительных испытаний";8;"Участвуете в конкурсе";1646351;"05.07.2026 в 18:15"
27;1;"Электронное";248;"Без вступительных испытаний";10;"Участвуете в конкурсе";2419179;"25.07.2026 в 10:20"
28;1;"—";240;"Без вступительных испытаний";8;"Участвуете в конкурсе";1078587;"18.07.2026 в 15:11"
29;1;"Электронное";239;"Без вступительных испытаний";5;"Участвуете в конкурсе";2416812;"25.07.2026 в 02:21"
30;1;"Электронное";226;"Без вступительных испытаний";0;"Участвуете в конкурсе";1324354;"30.06.2026 в 13:34"
31;1;"—";226;"Без вступительных испытаний";10;"Конкурсная группа исключена";1579966;"03.07.2026 в 20:23"
32;1;"—";218;"Без вступительных испытаний";10;"Участвуете в конкурсе";2288564;"20.07.2026 в 12:30"
33;1;"Электронное";216;"Без вступительных испытаний";5;"Участвуете в конкурсе";1576299;"03.07.2026 в 19:03"
34;1;"Электронное";195;"Без вступительных испытаний";10;"Участвуете в конкурсе";2386408;"23.07.2026 в 16:18"
35;1;"Электронное";194;"Без вступительных испытаний";10;"Участвуете в конкурсе";1912889;"09.07.2026 в 22:11"
36;1;"Электронное";193;"Без вступительных испытаний";5;"Участвуете в конкурсе";1646829;"05.07.2026 в 18:30"
37;1;"Электронное";179;"Без вступительных испытаний";10;"Участвуете в конкурсе";2226871;"17.07.2026 в 21:12"
38;1;"Электронное";168;"Без вступительных испытаний";0;"Участвуете в конкурсе";2159952;"19.07.2026 в 18:57"
39;1;"Электронное";155;"Без вступительных испытаний";10;"Участвуете в конкурсе";2338293;"21.07.2026 в 18:39"
40;1;"Электронное";154;"Без вступительных испытаний";0;"Участвуете в конкурсе";2366738;"22.07.2026 в 19:41"
41;1;"Электронное";151;"Без вступительных испытаний";0;"Участвуете в конкурсе";2386104;"23.07.2026 в 16:07"
42;1;"—";93;"Без вступительных испытаний";10;"Участвуете в конкурсе";1998524;"12.07.2026 в 17:12"
43;1;"Электронное";85;"Без вступительных испытаний";0;"Участвуете в конкурсе";2389794;"23.07.2026 в 19:04"
44;6;"—";310;"100 100 100";10;"Конкурсная группа исключена";1435158;"06.07.2026 в 23:56"
45;3;"—";307;"100 100 100";7;"Участвуете в конкурсе";1653569;"10.07.2026 в 15:00"
